year,age_gr,pgisced97,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Pre-primary Level,No,0.63005,313,313,0.57647,0.68362
2009,17-29 y.,Lower Secondary Level,No,0.90055,472,472,0.87352,0.92757
2009,17-29 y.,Upper Secondary Level,No,0.99248,1257,1257,0.98771,0.99726
2009,17-29 y.,Second Stage of Tertiary Education,No,0.99474,244,244,0.98564,1.00383
2009,30-45 y.,Lower Secondary Level,No,0.97076,264,264,0.95040,0.99112
2009,30-45 y.,Upper Secondary Level,Yes,0.01522,49,2331,0.01024,0.02019
2009,30-45 y.,Upper Secondary Level,No,0.98478,2282,2331,0.97981,0.98976
2009,30-45 y.,Post-secondary Non-tertiary Level,No,0.99302,431,431,0.98515,1.00089
2009,30-45 y.,First Stage of Tertiary Education,No,0.96557,421,421,0.94813,0.98301
2009,30-45 y.,Second Stage of Tertiary Education,No,0.99311,1140,1140,0.98831,0.99791
2009,46-65 y.,Primary Level,No,0.92387,46,46,0.84639,1.00136
2009,46-65 y.,Lower Secondary Level,Yes,0.09049,33,389,0.06195,0.11904
2009,46-65 y.,Lower Secondary Level,No,0.90951,356,389,0.88096,0.93805
2009,46-65 y.,Upper Secondary Level,Yes,0.08505,268,3294,0.07553,0.09458
2009,46-65 y.,Upper Secondary Level,No,0.91495,3026,3294,0.90542,0.92447
2009,46-65 y.,Post-secondary Non-tertiary Level,No,0.94504,265,265,0.91755,0.97253
2009,46-65 y.,First Stage of Tertiary Education,Yes,0.06953,36,545,0.04815,0.09090
2009,46-65 y.,First Stage of Tertiary Education,No,0.93047,509,545,0.90910,0.95185
2009,46-65 y.,Second Stage of Tertiary Education,Yes,0.04768,94,1759,0.03772,0.05765
2009,46-65 y.,Second Stage of Tertiary Education,No,0.95232,1665,1759,0.94235,0.96228
2009,66 and older,Primary Level,No,0.94823,36,36,0.87482,1.02163
2009,66 and older,Lower Secondary Level,Yes,0.23373,143,652,0.20122,0.26624
2009,66 and older,Lower Secondary Level,No,0.76627,509,652,0.73376,0.79878
2009,66 and older,Upper Secondary Level,Yes,0.17831,404,2173,0.16222,0.19441
2009,66 and older,Upper Secondary Level,No,0.82169,1769,2173,0.80559,0.83778
2009,66 and older,Post-secondary Non-tertiary Level,No,0.83558,80,80,0.75385,0.91732
