year,sex,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.06393,705,8598,0.05876,0.06910
2009,male,No,0.77186,7893,8598,0.76299,0.78073
2009,female,Yes,0.05713,593,9420,0.05244,0.06182
2009,female,No,0.79405,8827,9420,0.78589,0.80222
2011,male,Yes,0.06708,908,9789,0.06212,0.07204
2011,male,No,0.69919,8881,9789,0.69010,0.70827
2011,female,Yes,0.05925,748,10956,0.05483,0.06367
2011,female,No,0.70833,10208,10956,0.69981,0.71684
2013,male,Yes,0.07032,935,8834,0.06499,0.07565
2013,male,No,0.63622,7899,8834,0.62618,0.64625
2013,female,Yes,0.05898,752,10032,0.05437,0.06359
2013,female,No,0.65711,9280,10032,0.64782,0.66639
2015,male,Yes,0.07684,986,11458,0.07196,0.08172
2015,male,No,0.74031,10472,11458,0.73228,0.74834
2015,female,Yes,0.06132,843,13582,0.05728,0.06535
2015,female,No,0.77174,12739,13582,0.76469,0.77880
2017,male,Yes,0.07860,1058,12261,0.07384,0.08337
2017,male,No,0.74621,11203,12261,0.73850,0.75391
2017,female,Yes,0.06198,882,14288,0.05802,0.06593
2017,female,No,0.78112,13406,14288,0.77434,0.78790
2019,male,Yes,0.07629,1072,12278,0.07159,0.08098
2019,male,No,0.74617,11206,12278,0.73847,0.75387
2019,female,Yes,0.06558,861,13440,0.06140,0.06977
2019,female,No,0.77472,12579,13440,0.76765,0.78178
2021,male,Yes,0.07211,808,9291,0.06685,0.07737
2021,male,No,0.74576,8483,9291,0.73691,0.75462
2021,female,Yes,0.06360,660,9865,0.05879,0.06842
2021,female,No,0.76447,9205,9865,0.75610,0.77285
