year,sampreg,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.05604,872,13477,0.05216,0.05993
2009,West,No,0.78182,12605,13477,0.77484,0.78879
2009,East,Yes,0.08032,426,4541,0.07242,0.08823
2009,East,No,0.78911,4115,4541,0.77724,0.80098
2011,West,Yes,0.05793,1129,15840,0.05430,0.06157
2011,West,No,0.70240,14711,15840,0.69528,0.70952
2011,East,Yes,0.08708,527,4905,0.07919,0.09497
2011,East,No,0.71053,4378,4905,0.69784,0.72323
2013,West,Yes,0.05825,1140,14414,0.05443,0.06207
2013,West,No,0.63842,13274,14414,0.63058,0.64627
2013,East,Yes,0.09422,547,4452,0.08564,0.10280
2013,East,No,0.68656,3905,4452,0.67294,0.70019
2015,West,Yes,0.06309,1277,19787,0.05970,0.06648
2015,West,No,0.75789,18510,19787,0.75192,0.76386
2015,East,Yes,0.09667,552,5253,0.08868,0.10467
2015,East,No,0.74853,4701,5253,0.73680,0.76027
2017,West,Yes,0.06565,1357,20959,0.06230,0.06900
2017,West,No,0.76661,19602,20959,0.76088,0.77234
2017,East,Yes,0.09232,583,5590,0.08473,0.09991
2017,East,No,0.75013,5007,5590,0.73878,0.76148
2019,West,Yes,0.06714,1383,20103,0.06368,0.07060
2019,West,No,0.76202,18720,20103,0.75614,0.76791
2019,East,Yes,0.08930,548,5546,0.08179,0.09680
2019,East,No,0.75206,4998,5546,0.74069,0.76342
2021,West,Yes,0.06498,1097,15316,0.06107,0.06888
2021,West,No,0.75737,14219,15316,0.75058,0.76416
2021,East,Yes,0.08164,371,3847,0.07298,0.09029
2021,East,No,0.74477,3476,3847,0.73099,0.75855
