year,regtyp,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Urban regions,West,Yes,0.06826,426,6879,0.06230,0.07422
2006,Urban regions,West,No,0.88013,6453,6879,0.87246,0.88781
2006,Urban regions,East,Yes,0.15552,142,949,0.13245,0.17859
2006,Urban regions,East,No,0.79787,807,949,0.77231,0.82343
2006,Rural regions,West,Yes,0.06744,133,2081,0.05666,0.07821
2006,Rural regions,West,No,0.88307,1948,2081,0.86926,0.89688
2006,Rural regions,East,Yes,0.14805,284,1821,0.13174,0.16437
2006,Rural regions,East,No,0.79040,1537,1821,0.77170,0.80910
2007,Urban regions,West,Yes,0.08001,466,6396,0.07336,0.08666
2007,Urban regions,West,No,0.86490,5930,6396,0.85652,0.87327
2007,Urban regions,East,Yes,0.16219,151,903,0.13813,0.18624
2007,Urban regions,East,No,0.77996,752,903,0.75293,0.80700
2007,Rural regions,West,Yes,0.08158,154,1937,0.06939,0.09377
2007,Rural regions,West,No,0.85553,1783,1937,0.83986,0.87119
2007,Rural regions,East,Yes,0.17109,307,1734,0.15336,0.18882
2007,Rural regions,East,No,0.77616,1427,1734,0.75654,0.79578
2008,Urban regions,West,Yes,0.07211,385,5982,0.06555,0.07867
2008,Urban regions,West,No,0.87157,5597,5982,0.86309,0.88005
2008,Urban regions,East,Yes,0.15583,131,882,0.13188,0.17978
2008,Urban regions,East,No,0.78312,751,882,0.75591,0.81034
2008,Rural regions,West,Yes,0.07307,124,1797,0.06104,0.08511
2008,Rural regions,West,No,0.85533,1673,1797,0.83906,0.87160
2008,Rural regions,East,Yes,0.17318,280,1650,0.15491,0.19144
2008,Rural regions,East,No,0.77355,1370,1650,0.75334,0.79375
2009,Urban regions,West,Yes,0.06943,345,5798,0.06289,0.07598
2009,Urban regions,West,No,0.93000,5453,5798,0.92343,0.93657
2009,Urban regions,East,Yes,0.15420,120,898,0.13056,0.17783
2009,Urban regions,East,No,0.84580,778,898,0.82217,0.86944
2009,Rural regions,West,Yes,0.05805,107,1819,0.04730,0.06880
2009,Rural regions,West,No,0.94104,1712,1819,0.93021,0.95187
2009,Rural regions,East,Yes,0.16122,238,1657,0.14350,0.17893
2009,Rural regions,East,No,0.83878,1419,1657,0.82107,0.85650
2010,Urban regions,West,Yes,0.07160,836,7966,0.06594,0.07727
2010,Urban regions,West,No,0.92840,7130,7966,0.92273,0.93406
2010,Urban regions,East,Yes,0.12627,192,1119,0.10680,0.14575
2010,Urban regions,East,No,0.87292,927,1119,0.85339,0.89244
2010,Rural regions,West,Yes,0.05900,280,2672,0.05007,0.06794
2010,Rural regions,West,No,0.93948,2392,2672,0.93043,0.94852
2010,Rural regions,East,Yes,0.15164,397,2039,0.13607,0.16721
2010,Rural regions,East,No,0.84836,1642,2039,0.83279,0.86393
2011,Urban regions,West,Yes,0.07052,953,9278,0.06531,0.07573
2011,Urban regions,West,No,0.90943,8325,9278,0.90359,0.91527
2011,Urban regions,East,Yes,0.13370,236,1309,0.11526,0.15215
2011,Urban regions,East,No,0.84454,1073,1309,0.82490,0.86418
2011,Rural regions,West,Yes,0.06245,343,3386,0.05430,0.07060
2011,Rural regions,West,No,0.91630,3043,3386,0.90697,0.92563
2011,Rural regions,East,Yes,0.15106,469,2361,0.13661,0.16551
2011,Rural regions,East,No,0.82063,1892,2361,0.80515,0.83611
2012,Urban regions,West,Yes,0.06843,878,8993,0.06321,0.07365
2012,Urban regions,West,No,0.91135,8115,8993,0.90548,0.91723
2012,Urban regions,East,Yes,0.13130,223,1274,0.11275,0.14986
2012,Urban regions,East,No,0.83976,1051,1274,0.81961,0.85992
2012,Rural regions,West,Yes,0.05692,298,3396,0.04912,0.06471
2012,Rural regions,West,No,0.92478,3098,3396,0.91591,0.93365
2012,Rural regions,East,Yes,0.15599,467,2356,0.14133,0.17064
2012,Rural regions,East,No,0.81964,1889,2356,0.80411,0.83517
2013,Urban regions,West,Yes,0.07439,1183,10369,0.06934,0.07944
2013,Urban regions,West,No,0.90472,9186,10369,0.89907,0.91038
2013,Urban regions,East,Yes,0.12404,225,1288,0.10603,0.14205
2013,Urban regions,East,No,0.85293,1063,1288,0.83358,0.87228
2013,Rural regions,West,Yes,0.06569,354,3610,0.05761,0.07378
2013,Rural regions,West,No,0.90498,3256,3610,0.89542,0.91455
2013,Rural regions,East,Yes,0.14386,431,2284,0.12946,0.15826
2013,Rural regions,East,No,0.82998,1853,2284,0.81457,0.84538
2014,Urban regions,West,Yes,0.07531,1007,9099,0.06989,0.08074
2014,Urban regions,West,No,0.91055,8092,9099,0.90469,0.91642
2014,Urban regions,East,Yes,0.12090,186,1212,0.10254,0.13927
2014,Urban regions,East,No,0.87752,1026,1212,0.85905,0.89598
2014,Rural regions,West,Yes,0.07231,312,3228,0.06337,0.08124
2014,Rural regions,West,No,0.90792,2916,3228,0.89795,0.91790
2014,Rural regions,East,Yes,0.13837,357,2140,0.12374,0.15300
2014,Rural regions,East,No,0.84773,1783,2140,0.83250,0.86295
2015,Urban regions,West,Yes,0.07827,1011,8999,0.07272,0.08382
2015,Urban regions,West,No,0.89830,7988,8999,0.89205,0.90454
2015,Urban regions,East,Yes,0.12716,191,1182,0.10816,0.14616
2015,Urban regions,East,No,0.84730,991,1182,0.82679,0.86782
2015,Rural regions,West,Yes,0.06011,314,3221,0.05190,0.06832
2015,Rural regions,West,No,0.90337,2907,3221,0.89317,0.91358
2015,Rural regions,East,Yes,0.14240,337,2018,0.12715,0.15765
2015,Rural regions,East,No,0.81932,1681,2018,0.80253,0.83611
2016,Urban regions,West,Yes,0.07609,869,8165,0.07034,0.08184
