"hlc0052","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2006","1","Staedtischer Raum","","","",""
"Ja","2006","1","Laendlicher Raum","","","",""
"Ja","2006","2","Staedtischer Raum","963","0.357802223321118","0.339899378827844","0.375705067814392"
"Ja","2006","2","Laendlicher Raum","725","0.335503092651026","0.315088678372964","0.355917506929087"
"Ja","2006","3","Staedtischer Raum","305","0.0599111878401197","0.0532635738411215","0.0665588018391179"
"Ja","2006","3","Laendlicher Raum","254","0.0710277529703075","0.0618572770539088","0.0801982288867061"
"Ja","2006","4","Staedtischer Raum","124","0.0281797111292774","0.0234755764013924","0.0328838458571624"
"Ja","2006","4","Laendlicher Raum","58","0.0204688010793709","0.0149160626818463","0.0260215394768955"
"Ja","2006","5","Staedtischer Raum","49","0.010011726896538","0.00737270449788641","0.0126507492951895"
"Ja","2006","5","Laendlicher Raum","","","",""
"Nein","2006","1","Staedtischer Raum","","","",""
"Nein","2006","1","Laendlicher Raum","","","",""
"Nein","2006","2","Staedtischer Raum","1791","0.642197776678882","0.624294932185609","0.660100621172156"
"Nein","2006","2","Laendlicher Raum","1330","0.664496907348974","0.644082493070913","0.684911321627036"
"Nein","2006","3","Staedtischer Raum","4591","0.94008881215988","0.933441198160882","0.946736426158878"
"Nein","2006","3","Laendlicher Raum","2760","0.928972247029693","0.919801771113294","0.938142722946091"
"Nein","2006","4","Staedtischer Raum","4630","0.971820288870723","0.967116154142838","0.976524423598608"
"Nein","2006","4","Laendlicher Raum","2440","0.979531198920629","0.973978460523105","0.985083937318154"
"Nein","2006","5","Staedtischer Raum","5418","0.989988273103462","0.98734925070481","0.992627295502114"
"Nein","2006","5","Laendlicher Raum","1742","0.992771994835237","0.988804293223462","0.996739696447012"
"Ja","2007","1","Staedtischer Raum","","","",""
"Ja","2007","1","Laendlicher Raum","","","",""
"Ja","2007","2","Staedtischer Raum","941","0.412303393633633","0.392642425653228","0.431964361614038"
