,Unnamed: 0,year,regtyp,rentown,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2006,Urban regions,Owner,Yes,0.01571,59,11728,0.01236,0.02053
1,1,2006,Urban regions,Owner,No,0.98429,3479,11728,0.95832,1.01963
2,2,2006,Urban regions,Tenant,Yes,0.11956,508,11728,0.11147,0.12658
3,3,2006,Urban regions,Tenant,No,0.88044,3759,11728,0.85886,0.89774
4,4,2006,Rural regions,Owner,Yes,0.04219,104,11728,0.0363,0.04862
5,5,2006,Rural regions,Owner,No,0.95781,2081,11728,0.92876,0.99634
6,6,2006,Rural regions,Tenant,Yes,0.1663,314,11728,0.15498,0.18019
7,7,2006,Rural regions,Tenant,No,0.8337,1424,11728,0.80527,0.8624
8,8,2007,Urban regions,Owner,Yes,0.01778,65,10970,0.01454,0.02177
9,9,2007,Urban regions,Owner,No,0.98222,3254,10970,0.95254,1.00981
10,10,2007,Urban regions,Tenant,Yes,0.14071,551,10970,0.13284,0.14914
11,11,2007,Urban regions,Tenant,No,0.85929,3411,10970,0.83804,0.87956
12,12,2007,Rural regions,Owner,Yes,0.04415,118,10970,0.03887,0.05074
13,13,2007,Rural regions,Owner,No,0.95585,1946,10970,0.91985,0.99032
14,14,2007,Rural regions,Tenant,Yes,0.20431,344,10970,0.18856,0.22045
15,15,2007,Rural regions,Tenant,No,0.79569,1281,10970,0.76637,0.82752
16,16,2008,Urban regions,Owner,Yes,0.01672,53,10311,0.01317,0.02054
17,17,2008,Urban regions,Owner,No,0.98328,3077,10311,0.9563,1.01534
18,18,2008,Urban regions,Tenant,Yes,0.12949,463,10311,0.1209,0.13845
19,19,2008,Urban regions,Tenant,No,0.87051,3253,10311,0.84364,0.89288
20,20,2008,Rural regions,Owner,Yes,0.03915,91,10311,0.0324,0.04811
21,21,2008,Rural regions,Owner,No,0.96085,1881,10311,0.92875,0.99756
22,22,2008,Rural regions,Tenant,Yes,0.20316,313,10311,0.18533,0.21769
23,23,2008,Rural regions,Tenant,No,0.79684,1180,10311,0.76147,0.8282
24,24,2009,Urban regions,Owner,Yes,0.01589,44,10172,0.01239,0.01944
25,25,2009,Urban regions,Owner,No,0.98411,3048,10172,0.94879,1.01878
26,26,2009,Urban regions,Tenant,Yes,0.12137,421,10172,0.11302,0.13099
27,27,2009,Urban regions,Tenant,No,0.87863,3167,10172,0.86097,0.9013
28,28,2009,Rural regions,Owner,Yes,0.03049,67,10172,0.02234,0.03851
29,29,2009,Rural regions,Owner,No,0.96951,1902,10172,0.93599,1.0074
30,30,2009,Rural regions,Tenant,Yes,0.16969,278,10172,0.152,0.18713
31,31,2009,Rural regions,Tenant,No,0.83031,1245,10172,0.79703,0.86273
32,32,2010,Urban regions,Owner,Yes,0.01115,52,13796,0.00827,0.01528
33,33,2010,Urban regions,Owner,No,0.98885,3769,13796,0.95702,1.02288
34,34,2010,Urban regions,Tenant,Yes,0.12497,974,13796,0.1146,0.13627
35,35,2010,Urban regions,Tenant,No,0.87503,4266,13796,0.84138,0.90309
36,36,2010,Rural regions,Owner,Yes,0.03396,103,13796,0.02524,0.04432
37,37,2010,Rural regions,Owner,No,0.96604,2407,13796,0.92328,1.0088
38,38,2010,Rural regions,Tenant,Yes,0.16123,576,13796,0.14409,0.17936
39,39,2010,Rural regions,Tenant,No,0.83877,1649,13796,0.79328,0.88093
40,40,2011,Urban regions,Owner,Yes,0.01008,62,16334,0.00738,0.0127
41,41,2011,Urban regions,Owner,No,0.98992,4449,16334,0.96317,1.02436
