year,rentown,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Owner,West,Yes,0.01567,68,4585,0.01207,0.01927
2006,Owner,West,No,0.98433,4517,4585,0.98073,0.98793
2006,Owner,East,Yes,0.08502,95,1138,0.06881,0.10123
2006,Owner,East,No,0.91498,1043,1138,0.89877,0.93119
2006,Tenant,West,Yes,0.11480,491,4374,0.10535,0.12425
2006,Tenant,West,No,0.88520,3883,4374,0.87575,0.89465
2006,Tenant,East,Yes,0.19512,331,1631,0.17588,0.21436
2006,Tenant,East,No,0.80488,1300,1631,0.78564,0.82412
2007,Owner,West,Yes,0.01822,83,4295,0.01422,0.02222
2007,Owner,West,No,0.98178,4212,4295,0.97778,0.98578
2007,Owner,East,Yes,0.08316,100,1088,0.06675,0.09958
2007,Owner,East,No,0.91684,988,1088,0.90042,0.93325
2007,Tenant,West,Yes,0.13945,537,4038,0.12876,0.15013
2007,Tenant,West,No,0.86055,3501,4038,0.84987,0.87124
2007,Tenant,East,Yes,0.22381,358,1549,0.20305,0.24457
2007,Tenant,East,No,0.77619,1191,1549,0.75543,0.79695
2008,Owner,West,Yes,0.01528,64,4049,0.01150,0.01906
2008,Owner,West,No,0.98472,3985,4049,0.98094,0.98850
2008,Owner,East,Yes,0.08247,80,1053,0.06585,0.09910
2008,Owner,East,No,0.91753,973,1053,0.90090,0.93415
2008,Tenant,West,Yes,0.12790,445,3730,0.11718,0.13862
2008,Tenant,West,No,0.87210,3285,3730,0.86138,0.88282
2008,Tenant,East,Yes,0.22497,331,1479,0.20368,0.24626
2008,Tenant,East,No,0.77503,1148,1479,0.75374,0.79632
2009,Owner,West,Yes,0.01384,57,3977,0.01020,0.01747
2009,Owner,West,No,0.98616,3920,3977,0.98253,0.98980
2009,Owner,East,Yes,0.06391,54,1084,0.04934,0.07848
2009,Owner,East,No,0.93609,1030,1084,0.92152,0.95066
2009,Tenant,West,Yes,0.11317,395,3640,0.10288,0.12347
2009,Tenant,West,No,0.88683,3245,3640,0.87653,0.89712
2009,Tenant,East,Yes,0.21041,304,1471,0.18957,0.23125
2009,Tenant,East,No,0.78959,1167,1471,0.76875,0.81043
2010,Owner,West,Yes,0.01305,83,5091,0.00993,0.01616
2010,Owner,West,No,0.98695,5008,5091,0.98384,0.99007
2010,Owner,East,Yes,0.05691,72,1240,0.04401,0.06981
2010,Owner,East,No,0.94309,1168,1240,0.93019,0.95599
2010,Tenant,West,Yes,0.11950,1033,5547,0.11096,0.12804
2010,Tenant,West,No,0.88050,4514,5547,0.87196,0.88904
2010,Tenant,East,Yes,0.19059,517,1918,0.17300,0.20817
2010,Tenant,East,No,0.80941,1401,1918,0.79183,0.82700
2011,Owner,West,Yes,0.00945,88,6179,0.00704,0.01187
2011,Owner,West,No,0.99055,6091,6179,0.98813,0.99296
2011,Owner,East,Yes,0.06313,84,1382,0.05031,0.07596
2011,Owner,East,No,0.93687,1298,1382,0.92404,0.94969
2011,Tenant,West,Yes,0.12512,1208,6485,0.11706,0.13317
2011,Tenant,West,No,0.87488,5277,6485,0.86683,0.88294
2011,Tenant,East,Yes,0.19473,621,2288,0.17850,0.21096
2011,Tenant,East,No,0.80527,1667,2288,0.78904,0.82150
2012,Owner,West,Yes,0.00899,81,6107,0.00662,0.01136
2012,Owner,West,No,0.99101,6026,6107,0.98864,0.99338
2012,Owner,East,Yes,0.06347,78,1339,0.05041,0.07654
2012,Owner,East,No,0.93653,1261,1339,0.92346,0.94959
2012,Tenant,West,Yes,0.12022,1095,6282,0.11217,0.12826
2012,Tenant,West,No,0.87978,5187,6282,0.87174,0.88783
2012,Tenant,East,Yes,0.19717,612,2291,0.18087,0.21346
2012,Tenant,East,No,0.80283,1679,2291,0.78654,0.81913
2013,Owner,West,Yes,0.01060,81,6244,0.00806,0.01314
2013,Owner,West,No,0.98940,6163,6244,0.98686,0.99194
2013,Owner,East,Yes,0.05582,65,1297,0.04332,0.06831
2013,Owner,East,No,0.94418,1232,1297,0.93169,0.95668
2013,Tenant,West,Yes,0.13108,1456,7735,0.12356,0.13860
