year,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Owner,Yes,0.02572,163,5723,0.02162,0.02982
2006,Owner,No,0.97428,5560,5723,0.97018,0.97838
2006,Tenant,Yes,0.13214,822,6005,0.12357,0.14070
2006,Tenant,No,0.86786,5183,6005,0.85930,0.87643
2007,Owner,Yes,0.02765,183,5383,0.02326,0.03203
2007,Owner,No,0.97235,5200,5383,0.96797,0.97674
2007,Tenant,Yes,0.15799,895,5587,0.14843,0.16756
2007,Tenant,No,0.84201,4692,5587,0.83244,0.85157
2008,Owner,Yes,0.02512,144,5102,0.02083,0.02942
2008,Owner,No,0.97488,4958,5102,0.97058,0.97917
2008,Tenant,Yes,0.14904,776,5209,0.13937,0.15871
2008,Tenant,No,0.85096,4433,5209,0.84129,0.86063
2009,Owner,Yes,0.02129,111,5061,0.01732,0.02527
2009,Owner,No,0.97871,4950,5061,0.97473,0.98268
2009,Tenant,Yes,0.13451,699,5111,0.12516,0.14387
2009,Tenant,No,0.86549,4412,5111,0.85613,0.87484
2010,Owner,Yes,0.01943,155,6331,0.01603,0.02283
2010,Owner,No,0.98057,6176,6331,0.97717,0.98397
2010,Tenant,Yes,0.13488,1550,7465,0.12713,0.14263
2010,Tenant,No,0.86512,5915,7465,0.85737,0.87287
2011,Owner,Yes,0.01701,172,7561,0.01409,0.01992
2011,Owner,No,0.98299,7389,7561,0.98008,0.98591
2011,Tenant,Yes,0.14020,1829,8773,0.13293,0.14746
2011,Tenant,No,0.85980,6944,8773,0.85254,0.86707
2012,Owner,Yes,0.01649,159,7446,0.01360,0.01938
2012,Owner,No,0.98351,7287,7446,0.98062,0.98640
2012,Tenant,Yes,0.13703,1707,8573,0.12975,0.14431
2012,Tenant,No,0.86297,6866,8573,0.85569,0.87025
2013,Owner,Yes,0.01709,146,7541,0.01416,0.02002
2013,Owner,No,0.98291,7395,7541,0.97998,0.98584
2013,Tenant,Yes,0.14314,2047,10010,0.13628,0.15000
2013,Tenant,No,0.85686,7963,10010,0.85000,0.86372
2014,Owner,Yes,0.01559,139,6971,0.01268,0.01850
2014,Owner,No,0.98441,6832,6971,0.98150,0.98732
2014,Tenant,Yes,0.14479,1723,8708,0.13740,0.15219
2014,Tenant,No,0.85521,6985,8708,0.84781,0.86260
2015,Owner,Yes,0.01677,128,6548,0.01366,0.01988
2015,Owner,No,0.98323,6420,6548,0.98012,0.98634
2015,Tenant,Yes,0.14668,1725,8872,0.13932,0.15405
2015,Tenant,No,0.85332,7147,8872,0.84595,0.86068
2016,Owner,Yes,0.01506,108,6187,0.01202,0.01809
2016,Owner,No,0.98494,6079,6187,0.98191,0.98798
2016,Tenant,Yes,0.14307,1492,7920,0.13536,0.15078
2016,Tenant,No,0.85693,6428,7920,0.84922,0.86464
2017,Owner,Yes,0.01075,103,6962,0.00833,0.01317
2017,Owner,No,0.98925,6859,6962,0.98683,0.99167
2017,Tenant,Yes,0.13747,2085,10118,0.13076,0.14418
2017,Tenant,No,0.86253,8033,10118,0.85582,0.86924
2018,Owner,Yes,0.01203,94,6688,0.00942,0.01464
2018,Owner,No,0.98797,6594,6688,0.98536,0.99058
2018,Tenant,Yes,0.13244,2855,11024,0.12611,0.13877
2018,Tenant,No,0.86756,8169,11024,0.86123,0.87389
2019,Owner,Yes,0.00945,75,7807,0.00731,0.01160
2019,Owner,No,0.99055,7732,7807,0.98840,0.99269
2019,Tenant,Yes,0.12464,2750,10482,0.11831,0.13096
2019,Tenant,No,0.87536,7732,10482,0.86904,0.88169
2020,Owner,Yes,0.00886,73,6847,0.00664,0.01108
2020,Owner,No,0.99114,6774,6847,0.98892,0.99336
2020,Tenant,Yes,0.12083,3058,12215,0.11505,0.12661
2020,Tenant,No,0.87917,9157,12215,0.87339,0.88495
2021,Owner,Yes,0.01300,70,5065,0.00988,0.01612
2021,Owner,No,0.98700,4995,5065,0.98388,0.99012
2021,Tenant,Yes,0.10428,1456,7416,0.09732,0.11124
2021,Tenant,No,0.89572,5960,7416,0.88876,0.90268
2022,Owner,Yes,0.00774,58,7773,0.00579,0.00969
2022,Owner,No,0.99226,7715,7773,0.99031,0.99421
2022,Tenant,Yes,0.08650,1363,12402,0.08156,0.09145
2022,Tenant,No,0.91350,11039,12402,0.90855,0.91844
