,Unnamed: 0,year,quintil_oecd_hh,regtyp,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2006,1st Quintile,Urban regions,Yes,0.29429,380,11677,0.27396,0.31436
1,1,2006,1st Quintile,Urban regions,No,0.70571,876,11677,0.67942,0.7425
2,2,2006,1st Quintile,Rural regions,Yes,0.3261,264,11677,0.30172,0.3542
3,3,2006,1st Quintile,Rural regions,No,0.6739,457,11677,0.63677,0.70884
4,4,2006,2nd Quintile,Urban regions,Yes,0.06537,84,11677,0.05524,0.07527
5,5,2006,2nd Quintile,Urban regions,No,0.93463,1183,11677,0.89256,0.9724
6,6,2006,2nd Quintile,Rural regions,Yes,0.08206,86,11677,0.0675,0.09424
7,7,2006,2nd Quintile,Rural regions,No,0.91794,777,11677,0.87399,0.96919
8,8,2006,3rd Quintile,Urban regions,Yes,0.03061,48,11677,0.0258,0.03631
9,9,2006,3rd Quintile,Urban regions,No,0.96939,1397,11677,0.93288,1.00875
10,10,2006,3rd Quintile,Rural regions,Yes,0.0438,42,11677,0.03375,0.05497
11,11,2006,3rd Quintile,Rural regions,No,0.9562,819,11677,0.91745,1.0016
12,12,2006,4th Quintile,Urban regions,Yes,0.02374,32,11677,0.01814,0.03083
13,13,2006,4th Quintile,Urban regions,No,0.97626,1564,11677,0.93543,1.00852
14,14,2006,4th Quintile,Rural regions,No,1.0,742,11677,0.94292,1.05383
15,15,2006,5th Quintile,Urban regions,No,1.0,2216,11677,0.96561,1.03246
16,16,2006,5th Quintile,Rural regions,No,1.0,710,11677,0.94276,1.06623
17,17,2007,1st Quintile,Urban regions,Yes,0.30507,360,10924,0.28265,0.32518
18,18,2007,1st Quintile,Urban regions,No,0.69493,799,10924,0.66351,0.73564
19,19,2007,1st Quintile,Rural regions,Yes,0.36902,284,10924,0.33924,0.39921
20,20,2007,1st Quintile,Rural regions,No,0.63098,402,10924,0.59587,0.68126
21,21,2007,2nd Quintile,Urban regions,Yes,0.09913,121,10924,0.08566,0.1124
22,22,2007,2nd Quintile,Urban regions,No,0.90087,1120,10924,0.86853,0.9361
23,23,2007,2nd Quintile,Rural regions,Yes,0.09758,98,10924,0.0849,0.11272
24,24,2007,2nd Quintile,Rural regions,No,0.90242,698,10924,0.86434,0.95529
25,25,2007,3rd Quintile,Urban regions,Yes,0.04495,59,10924,0.03704,0.0525
26,26,2007,3rd Quintile,Urban regions,No,0.95505,1254,10924,0.92112,0.99851
27,27,2007,3rd Quintile,Rural regions,Yes,0.04133,38,10924,0.03185,0.0533
28,28,2007,3rd Quintile,Rural regions,No,0.95867,756,10924,0.91648,1.00481
29,29,2007,4th Quintile,Urban regions,Yes,0.02348,42,10924,0.01837,0.02882
30,30,2007,4th Quintile,Urban regions,No,0.97652,1450,10924,0.93058,1.01128
31,31,2007,4th Quintile,Rural regions,No,1.0,715,10924,0.9424,1.06308
32,32,2007,5th Quintile,Urban regions,Yes,0.01699,34,10924,0.01131,0.02286
33,33,2007,5th Quintile,Urban regions,No,0.98301,2038,10924,0.94138,1.01867
34,34,2007,5th Quintile,Rural regions,No,1.0,656,10924,0.92958,1.07038
35,35,2008,1st Quintile,Urban regions,Yes,0.2799,314,10252,0.25233,0.3078
36,36,2008,1st Quintile,Urban regions,No,0.7201,809,10252,0.68655,0.7554
37,37,2008,1st Quintile,Rural regions,Yes,0.34685,254,10252,0.31929,0.3845
38,38,2008,1st Quintile,Rural regions,No,0.65315,411,10252,0.61143,0.6933
39,39,2008,2nd Quintile,Urban regions,Yes,0.09094,104,10252,0.07815,0.10549
40,40,2008,2nd Quintile,Urban regions,No,0.90906,1026,10252,0.86341,0.95078
41,41,2008,2nd Quintile,Rural regions,Yes,0.09665,72,10252,0.08025,0.11449
42,42,2008,2nd Quintile,Rural regions,No,0.90335,673,10252,0.84269,0.96053
43,43,2008,3rd Quintile,Urban regions,Yes,0.03588,38,10252,0.02672,0.04443
44,44,2008,3rd Quintile,Urban regions,No,0.96412,1231,10252,0.91973,0.99872
45,45,2008,3rd Quintile,Rural regions,Yes,0.04765,42,10252,0.0358,0.06298
46,46,2008,3rd Quintile,Rural regions,No,0.95235,731,10252,0.8988,1.01415
47,47,2008,4th Quintile,Urban regions,Yes,0.02767,39,10252,0.01977,0.03454
48,48,2008,4th Quintile,Urban regions,No,0.97233,1341,10252,0.93593,1.00956
49,49,2008,4th Quintile,Rural regions,No,1.0,625,10252,0.93557,1.06984
50,50,2008,5th Quintile,Urban regions,No,1.0,1922,10252,0.9658,1.04484
51,51,2008,5th Quintile,Rural regions,No,1.0,620,10252,0.92121,1.06906
52,52,2009,1st Quintile,Urban regions,Yes,0.26129,298,10095,0.23475,0.28682
53,53,2009,1st Quintile,Urban regions,No,0.73871,839,10095,0.70084,0.78086
54,54,2009,1st Quintile,Rural regions,Yes,0.29753,219,10095,0.26878,0.3294
55,55,2009,1st Quintile,Rural regions,No,0.70247,430,10095,0.66079,0.74744
56,56,2009,2nd Quintile,Urban regions,Yes,0.0772,86,10095,0.06542,0.08868
57,57,2009,2nd Quintile,Urban regions,No,0.9228,1055,10095,0.88444,0.97593
58,58,2009,2nd Quintile,Rural regions,Yes,0.08027,67,10095,0.06327,0.10116
59,59,2009,2nd Quintile,Rural regions,No,0.91973,696,10095,0.8666,0.96667
60,60,2009,3rd Quintile,Urban regions,Yes,0.02888,35,10095,0.02137,0.03775
61,61,2009,3rd Quintile,Urban regions,No,0.97112,1157,10095,0.91952,1.02013
62,62,2009,3rd Quintile,Rural regions,Yes,0.0439,31,10095,0.03025,0.06039
63,63,2009,3rd Quintile,Rural regions,No,0.9561,743,10095,0.90322,1.01983
64,64,2009,4th Quintile,Urban regions,No,1.0,1327,10095,0.95858,1.04612
