year,hhtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Single-person household,Yes,0.07666,253,3193,0.06743,0.08589
2006,Single-person household,No,0.92334,2940,3193,0.91411,0.93257
2006,Couple without children,Yes,0.04189,165,4046,0.03571,0.04806
2006,Couple without children,No,0.95811,3881,4046,0.95194,0.96429
2006,Single parent,Yes,0.31192,207,734,0.27838,0.34546
2006,Single parent,No,0.68808,527,734,0.65454,0.72162
2006,Couple with children,Yes,0.10783,342,3557,0.09764,0.11803
2006,Couple with children,No,0.89217,3215,3557,0.88197,0.90236
2006,Multi-generational household,No,0.82857,83,83,0.74700,0.91015
2006,Other Combinations,No,0.98028,99,99,0.95275,1.00781
2007,Single-person household,Yes,0.09002,278,2993,0.07976,0.10027
2007,Single-person household,No,0.90998,2715,2993,0.89973,0.92024
2007,Couple without children,Yes,0.05139,189,3759,0.04433,0.05845
2007,Couple without children,No,0.94861,3570,3759,0.94155,0.95567
2007,Single parent,Yes,0.36932,223,678,0.33296,0.40567
2007,Single parent,No,0.63068,455,678,0.59433,0.66704
2007,Couple with children,Yes,0.11569,364,3365,0.10488,0.12649
2007,Couple with children,No,0.88431,3001,3365,0.87351,0.89512
2007,Multi-generational household,No,0.70469,66,66,0.59378,0.81559
2007,Other Combinations,No,0.93764,85,85,0.88593,0.98935
2008,Single-person household,Yes,0.08898,254,2873,0.07856,0.09939
2008,Single-person household,No,0.91102,2619,2873,0.90061,0.92144
2008,Couple without children,Yes,0.04570,153,3617,0.03889,0.05250
2008,Couple without children,No,0.95430,3464,3617,0.94750,0.96111
2008,Single parent,Yes,0.32906,199,651,0.29294,0.36518
2008,Single parent,No,0.67094,452,651,0.63482,0.70706
2008,Couple with children,Yes,0.10633,294,3023,0.09534,0.11732
2008,Couple with children,No,0.89367,2729,3023,0.88268,0.90466
2008,Multi-generational household,No,0.74653,58,58,0.63360,0.85946
2008,Other Combinations,No,0.93783,69,69,0.88044,0.99522
2009,Single-person household,Yes,0.08146,237,2846,0.07141,0.09151
2009,Single-person household,No,0.91854,2609,2846,0.90849,0.92859
2009,Couple without children,Yes,0.04368,134,3549,0.03695,0.05040
2009,Couple without children,No,0.95632,3415,3549,0.94960,0.96305
2009,Single parent,Yes,0.30901,178,633,0.27298,0.34504
2009,Single parent,No,0.69099,455,633,0.65496,0.72702
2009,Couple with children,Yes,0.08204,246,3007,0.07223,0.09185
2009,Couple with children,No,0.91796,2761,3007,0.90815,0.92777
2009,Multi-generational household,No,0.76985,54,54,0.65652,0.88317
2009,Other Combinations,No,0.98116,68,68,0.94860,1.01372
2010,Single-person household,Yes,0.07866,211,2698,0.06850,0.08882
2010,Single-person household,No,0.92134,2487,2698,0.91118,0.93150
2010,Couple without children,Yes,0.03392,108,3371,0.02781,0.04003
2010,Couple without children,No,0.96608,3263,3371,0.95997,0.97219
2010,Single parent,Yes,0.31730,676,1848,0.29607,0.33853
2010,Single parent,No,0.68270,1172,1848,0.66147,0.70393
2010,Couple with children,Yes,0.08619,679,5712,0.07891,0.09346
2010,Couple with children,No,0.91381,5033,5712,0.90654,0.92109
2010,Multi-generational household,No,0.78910,77,77,0.69738,0.88081
2010,Other Combinations,No,0.89170,59,59,0.81173,0.97168
2011,Single-person household,Yes,0.08386,303,3503,0.07468,0.09304
2011,Single-person household,No,0.91614,3200,3503,0.90696,0.92532
2011,Couple without children,Yes,0.03706,155,4336,0.03144,0.04269
2011,Couple without children,No,0.96294,4181,4336,0.95731,0.96856
2011,Single parent,Yes,0.32062,832,2287,0.30148,0.33975
2011,Single parent,No,0.67938,1455,2287,0.66025,0.69852
2011,Couple with children,Yes,0.08186,667,5994,0.07492,0.08880
2011,Couple with children,No,0.91814,5327,5994,0.91120,0.92508
2011,Multi-generational household,No,0.86801,90,90,0.79769,0.93833
2011,Other Combinations,No,0.78811,80,80,0.69799,0.87822
2012,Single-person household,Yes,0.08872,338,3660,0.07950,0.09793
2012,Single-person household,No,0.91128,3322,3660,0.90207,0.92050
2012,Couple without children,Yes,0.03207,163,4405,0.02686,0.03727
2012,Couple without children,No,0.96793,4242,4405,0.96273,0.97314
2012,Single parent,Yes,0.31153,749,2149,0.29195,0.33112
2012,Single parent,No,0.68847,1400,2149,0.66888,0.70805
2012,Couple with children,Yes,0.07528,571,5592,0.06837,0.08220
2012,Couple with children,No,0.92472,5021,5592,0.91780,0.93163
2012,Multi-generational household,No,0.80071,87,87,0.71629,0.88514
2012,Other Combinations,No,0.84641,81,81,0.76741,0.92542
2013,Single-person household,Yes,0.09193,392,3802,0.08274,0.10111
2013,Single-person household,No,0.90807,3410,3802,0.89889,0.91726
2013,Couple without children,Yes,0.03598,215,4579,0.03059,0.04138
2013,Couple without children,No,0.96402,4364,4579,0.95862,0.96941
2013,Single parent,Yes,0.30574,758,2218,0.28656,0.32492
2013,Single parent,No,0.69426,1460,2218,0.67508,0.71344
2013,Couple with children,Yes,0.07838,726,6456,0.07182,0.08493
2013,Couple with children,No,0.92162,5730,6456,0.91507,0.92818
2013,Multi-generational household,Yes,0.20295,36,142,0.13656,0.26933
2013,Multi-generational household,No,0.79705,106,142,0.73067,0.86344
2013,Other Combinations,Yes,0.15931,66,354,0.12113,0.19749
2013,Other Combinations,No,0.84069,288,354,0.80251,0.87887
2014,Single-person household,Yes,0.09562,365,3532,0.08593,0.10532
2014,Single-person household,No,0.90438,3167,3532,0.89468,0.91407
2014,Couple without children,Yes,0.03560,184,4322,0.03007,0.04112
2014,Couple without children,No,0.96440,4138,4322,0.95888,0.96993
2014,Single parent,Yes,0.30031,621,1807,0.27917,0.32145
2014,Single parent,No,0.69969,1186,1807,0.67855,0.72083
2014,Couple with children,Yes,0.06949,597,5639,0.06285,0.07613
2014,Couple with children,No,0.93051,5042,5639,0.92387,0.93715
2014,Multi-generational household,Yes,0.20720,31,120,0.13437,0.28002
2014,Multi-generational household,No,0.79280,89,120,0.71998,0.86563
2014,Other Combinations,Yes,0.20793,64,259,0.15841,0.25745
