year,hhtyp,regtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Single-person household,Urban regions,Yes,0.06851,143,2198,0.05794,0.07907
2006,Single-person household,Urban regions,No,0.93149,2055,2198,0.92093,0.94206
2006,Single-person household,Rural regions,Yes,0.09708,110,995,0.07867,0.11548
2006,Single-person household,Rural regions,No,0.90292,885,995,0.88452,0.92133
2006,Couple without children,Urban regions,Yes,0.03814,93,2723,0.03095,0.04534
2006,Couple without children,Urban regions,No,0.96186,2630,2723,0.95466,0.96905
2006,Couple without children,Rural regions,Yes,0.04997,72,1323,0.03823,0.06172
2006,Couple without children,Rural regions,No,0.95003,1251,1323,0.93828,0.96177
2006,Single parent,Urban regions,Yes,0.29821,129,470,0.25681,0.33961
2006,Single parent,Urban regions,No,0.70179,341,470,0.66039,0.74319
2006,Single parent,Rural regions,Yes,0.33796,78,264,0.28079,0.39512
2006,Single parent,Rural regions,No,0.66204,186,264,0.60488,0.71921
2006,Couple with children,Urban regions,Yes,0.10325,195,2318,0.09086,0.11565
2006,Couple with children,Urban regions,No,0.89675,2123,2318,0.88435,0.90914
2006,Couple with children,Rural regions,Yes,0.11704,147,1239,0.09914,0.13495
2006,Couple with children,Rural regions,No,0.88296,1092,1239,0.86505,0.90086
2006,Multi-generational household,Urban regions,No,0.88987,50,50,0.80221,0.97752
2006,Multi-generational household,Rural regions,No,0.76074,33,33,0.61292,0.90856
2006,Other Combinations,Urban regions,No,0.97863,61,61,0.94203,1.01522
2006,Other Combinations,Rural regions,No,0.98306,38,38,0.94148,1.02464
2007,Single-person household,Urban regions,Yes,0.07779,156,2044,0.06618,0.08941
2007,Single-person household,Urban regions,No,0.92221,1888,2044,0.91059,0.93382
2007,Single-person household,Rural regions,Yes,0.11979,122,949,0.09912,0.14046
2007,Single-person household,Rural regions,No,0.88021,827,949,0.85954,0.90088
2007,Couple without children,Urban regions,Yes,0.04708,105,2499,0.03877,0.05539
2007,Couple without children,Urban regions,No,0.95292,2394,2499,0.94461,0.96123
2007,Couple without children,Rural regions,Yes,0.06033,84,1260,0.04718,0.07348
2007,Couple without children,Rural regions,No,0.93967,1176,1260,0.92652,0.95282
2007,Single parent,Urban regions,Yes,0.34737,137,436,0.30262,0.39211
2007,Single parent,Urban regions,No,0.65263,299,436,0.60789,0.69738
2007,Single parent,Rural regions,Yes,0.41430,86,242,0.35210,0.47649
2007,Single parent,Rural regions,No,0.58570,156,242,0.52351,0.64790
2007,Couple with children,Urban regions,Yes,0.11113,212,2214,0.09804,0.12423
2007,Couple with children,Urban regions,No,0.88887,2002,2214,0.87577,0.90196
2007,Couple with children,Rural regions,Yes,0.12526,152,1151,0.10613,0.14440
2007,Couple with children,Rural regions,No,0.87474,999,1151,0.85560,0.89387
2007,Multi-generational household,Urban regions,No,0.81669,45,45,0.70236,0.93102
2007,Other Combinations,Urban regions,No,0.94619,54,54,0.88544,1.00694
2007,Other Combinations,Rural regions,No,0.92607,31,31,0.83243,1.01970
