year,hhtyp,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Single-person household,Owner,No,0.98282,910,910,0.97437,0.99127
2006,Single-person household,Tenant,Yes,0.09974,233,2262,0.08739,0.11209
2006,Single-person household,Tenant,No,0.90026,2029,2262,0.88791,0.91261
2006,Couple without children,Owner,Yes,0.01891,40,2245,0.01328,0.02455
2006,Couple without children,Owner,No,0.98109,2205,2245,0.97545,0.98672
2006,Couple without children,Tenant,Yes,0.06631,125,1801,0.05481,0.07780
2006,Couple without children,Tenant,No,0.93369,1676,1801,0.92220,0.94519
2006,Single parent,Owner,No,0.93435,207,207,0.90053,0.96817
2006,Single parent,Tenant,Yes,0.39014,193,513,0.34789,0.43239
2006,Single parent,Tenant,No,0.60986,320,513,0.56761,0.65211
2006,Couple with children,Owner,Yes,0.03439,81,2195,0.02677,0.04202
2006,Couple with children,Owner,No,0.96561,2114,2195,0.95798,0.97323
2006,Couple with children,Tenant,Yes,0.19687,261,1361,0.17574,0.21801
2006,Couple with children,Tenant,No,0.80313,1100,1361,0.78199,0.82426
2006,Multi-generational household,Owner,No,0.87536,64,64,0.79379,0.95692
2006,Other Combinations,Tenant,No,0.95363,39,39,0.88676,1.02049
2007,Single-person household,Owner,No,0.98317,846,846,0.97450,0.99184
2007,Single-person household,Tenant,Yes,0.11868,258,2127,0.10494,0.13243
2007,Single-person household,Tenant,No,0.88132,1869,2127,0.86757,0.89506
2007,Couple without children,Owner,Yes,0.02425,51,2117,0.01769,0.03080
2007,Couple without children,Owner,No,0.97575,2066,2117,0.96920,0.98231
2007,Couple without children,Tenant,Yes,0.08267,138,1642,0.06935,0.09600
2007,Couple without children,Tenant,No,0.91733,1504,1642,0.90400,0.93065
2007,Single parent,Owner,No,0.88314,176,176,0.83555,0.93074
2007,Single parent,Tenant,Yes,0.44574,200,479,0.40118,0.49030
2007,Single parent,Tenant,No,0.55426,279,479,0.50970,0.59882
2007,Couple with children,Owner,Yes,0.02616,79,2090,0.01931,0.03300
2007,Couple with children,Owner,No,0.97384,2011,2090,0.96700,0.98069
2007,Couple with children,Tenant,Yes,0.23174,285,1275,0.20857,0.25491
2007,Couple with children,Tenant,No,0.76826,990,1275,0.74509,0.79143
2007,Multi-generational household,Owner,No,0.82002,53,53,0.71560,0.92444
2007,Other Combinations,Owner,No,0.94489,48,48,0.87965,1.01013
2007,Other Combinations,Tenant,No,0.92803,37,37,0.84360,1.01245
2008,Single-person household,Owner,No,0.98732,851,851,0.97979,0.99484
2008,Single-person household,Tenant,Yes,0.12065,238,2006,0.10639,0.13491
2008,Single-person household,Tenant,No,0.87935,1768,2006,0.86509,0.89361
2008,Couple without children,Owner,Yes,0.02040,38,2048,0.01428,0.02652
2008,Couple without children,Owner,No,0.97960,2010,2048,0.97348,0.98572
2008,Couple without children,Tenant,Yes,0.07503,115,1569,0.06199,0.08807
2008,Couple without children,Tenant,No,0.92497,1454,1569,0.91193,0.93801
2008,Single parent,Owner,No,0.94035,172,172,0.90486,0.97585
2008,Single parent,Tenant,Yes,0.41050,183,463,0.36564,0.45535
2008,Single parent,Tenant,No,0.58950,280,463,0.54465,0.63436
2008,Couple with children,Owner,Yes,0.03553,68,1907,0.02722,0.04384
2008,Couple with children,Owner,No,0.96447,1839,1907,0.95616,0.97278
2008,Couple with children,Tenant,Yes,0.20350,226,1116,0.17987,0.22713
2008,Couple with children,Tenant,No,0.79650,890,1116,0.77287,0.82013
2008,Multi-generational household,Owner,No,0.86428,44,44,0.76191,0.96665
2009,Single-person household,Owner,No,0.98436,851,851,0.97602,0.99270
2009,Single-person household,Tenant,Yes,0.10998,222,1980,0.09620,0.12377
2009,Single-person household,Tenant,No,0.89002,1758,1980,0.87623,0.90380
2009,Couple without children,Owner,Yes,0.02004,34,2001,0.01389,0.02618
2009,Couple without children,Owner,No,0.97996,1967,2001,0.97382,0.98611
2009,Couple without children,Tenant,Yes,0.07204,100,1548,0.05916,0.08493
2009,Couple without children,Tenant,No,0.92796,1448,1548,0.91507,0.94084
2009,Single parent,Owner,No,0.93805,180,180,0.90274,0.97337
2009,Single parent,Tenant,Yes,0.39263,164,439,0.34690,0.43837
2009,Single parent,Tenant,No,0.60737,275,439,0.56163,0.65310
2009,Couple with children,Owner,Yes,0.02054,41,1916,0.01419,0.02689
2009,Couple with children,Owner,No,0.97946,1875,1916,0.97311,0.98581
2009,Couple with children,Tenant,Yes,0.17680,205,1091,0.15415,0.19945
2009,Couple with children,Tenant,No,0.82320,886,1091,0.80055,0.84585
2009,Multi-generational household,Owner,No,0.85663,40,40,0.74664,0.96662
2009,Other Combinations,Owner,No,0.98250,37,37,0.93966,1.02534
2009,Other Combinations,Tenant,No,0.97966,31,31,0.92915,1.03017
2010,Single-person household,Owner,No,0.99072,845,845,0.98425,0.99719
2010,Single-person household,Tenant,Yes,0.11094,199,1841,0.09659,0.12529
2010,Single-person household,Tenant,No,0.88906,1642,1841,0.87471,0.90341
2010,Couple without children,Owner,No,0.98321,1891,1891,0.97742,0.98900
2010,Couple without children,Tenant,Yes,0.05569,82,1454,0.04390,0.06749
2010,Couple without children,Tenant,No,0.94431,1372,1454,0.93251,0.95610
2010,Single parent,Owner,Yes,0.08805,31,407,0.06049,0.11561
2010,Single parent,Owner,No,0.91195,376,407,0.88439,0.93951
2010,Single parent,Tenant,Yes,0.39359,645,1441,0.36836,0.41882
2010,Single parent,Tenant,No,0.60641,796,1441,0.58118,0.63164
2010,Couple with children,Owner,Yes,0.02014,77,3049,0.01515,0.02513
2010,Couple with children,Owner,No,0.97986,2972,3049,0.97487,0.98485
2010,Couple with children,Tenant,Yes,0.19052,602,2663,0.17560,0.20544
2010,Couple with children,Tenant,No,0.80948,2061,2663,0.79456,0.82440
2010,Multi-generational household,Owner,No,0.82645,56,56,0.72636,0.92654
2010,Other Combinations,Owner,No,0.97871,36,36,0.93089,1.02653
2011,Single-person household,Owner,No,0.99001,1056,1056,0.98401,0.99601
2011,Single-person household,Tenant,Yes,0.11739,288,2432,0.10459,0.13018
2011,Single-person household,Tenant,No,0.88261,2144,2432,0.86982,0.89541
2011,Couple without children,Owner,Yes,0.01367,31,2492,0.00911,0.01823
2011,Couple without children,Owner,No,0.98633,2461,2492,0.98177,0.99089
2011,Couple without children,Tenant,Yes,0.06790,124,1844,0.05641,0.07938
2011,Couple without children,Tenant,No,0.93210,1720,1844,0.92062,0.94359
2011,Single parent,Owner,Yes,0.08186,34,507,0.05797,0.10574
2011,Single parent,Owner,No,0.91814,473,507,0.89426,0.94203
2011,Single parent,Tenant,Yes,0.40367,798,1780,0.38087,0.42647
2011,Single parent,Tenant,No,0.59633,982,1780,0.57353,0.61913
2011,Couple with children,Owner,Yes,0.01764,83,3374,0.01320,0.02208
2011,Couple with children,Owner,No,0.98236,3291,3374,0.97792,0.98680
2011,Couple with children,Tenant,Yes,0.17995,584,2620,0.16524,0.19466
2011,Couple with children,Tenant,No,0.82005,2036,2620,0.80534,0.83476
2011,Multi-generational household,Owner,No,0.95963,67,67,0.91215,1.00712
2011,Other Combinations,Owner,No,0.86576,41,41,0.76011,0.97141
2011,Other Combinations,Tenant,No,0.71967,39,39,0.57685,0.86248
2012,Single-person household,Owner,No,0.98508,1064,1064,0.97779,0.99237
2012,Single-person household,Tenant,Yes,0.12144,315,2573,0.10882,0.13406
2012,Single-person household,Tenant,No,0.87856,2258,2573,0.86594,0.89118
2012,Couple without children,Owner,No,0.98736,2503,2503,0.98298,0.99173
2012,Couple without children,Tenant,Yes,0.05774,134,1873,0.04717,0.06831
2012,Couple without children,Tenant,No,0.94226,1739,1873,0.93169,0.95283
2012,Single parent,Owner,No,0.94009,457,457,0.91831,0.96188
2012,Single parent,Tenant,Yes,0.40156,720,1663,0.37799,0.42512
2012,Single parent,Tenant,No,0.59844,943,1663,0.57488,0.62201
2012,Couple with children,Owner,Yes,0.01495,68,3224,0.01076,0.01913
2012,Couple with children,Owner,No,0.98505,3156,3224,0.98087,0.98924
2012,Couple with children,Tenant,Yes,0.17066,503,2368,0.15551,0.18582
2012,Couple with children,Tenant,No,0.82934,1865,2368,0.81418,0.84449
2012,Multi-generational household,Owner,No,0.94644,65,65,0.89128,1.00160
2012,Other Combinations,Owner,No,0.89532,42,42,0.80161,0.98903
2012,Other Combinations,Tenant,No,0.78562,39,39,0.65514,0.91611
2013,Single-person household,Owner,No,0.98554,1028,1028,0.97824,0.99284
2013,Single-person household,Tenant,Yes,0.12774,371,2753,0.11527,0.14021
2013,Single-person household,Tenant,No,0.87226,2382,2753,0.85979,0.88473
2013,Couple without children,Owner,No,0.98381,2465,2465,0.97883,0.98879
2013,Couple without children,Tenant,Yes,0.06296,187,2086,0.05253,0.07338
2013,Couple without children,Tenant,No,0.93704,1899,2086,0.92662,0.94747
2013,Single parent,Owner,No,0.95370,460,460,0.93447,0.97292
2013,Single parent,Tenant,Yes,0.40352,729,1729,0.38039,0.42666
2013,Single parent,Tenant,No,0.59648,1000,1729,0.57334,0.61961
2013,Couple with children,Owner,Yes,0.01254,54,3334,0.00876,0.01631
2013,Couple with children,Owner,No,0.98746,3280,3334,0.98369,0.99124
2013,Couple with children,Tenant,Yes,0.17503,672,3122,0.16170,0.18836
2013,Couple with children,Tenant,No,0.82497,2450,3122,0.81164,0.83830
2013,Multi-generational household,Owner,No,0.94088,69,69,0.88483,0.99694
2013,Multi-generational household,Tenant,No,0.60393,37,37,0.44416,0.76369
