"pli0089","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","4","","",""
"Täglich","1995","(noch) kein Abschluss","2","","","",""
"Täglich","1995","(noch) kein Abschluss","3","2","","",""
"Täglich","1995","(noch) kein Abschluss","4","","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","Hauptschule","2","2","","",""
"Täglich","1995","Hauptschule","3","1","","",""
"Täglich","1995","Hauptschule","4","2","","",""
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","Realschule","2","2","","",""
"Täglich","1995","Realschule","3","","","",""
"Täglich","1995","Realschule","4","3","","",""
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","(Fach-)Abitur","2","","","",""
"Täglich","1995","(Fach-)Abitur","3","","","",""
"Täglich","1995","(Fach-)Abitur","4","","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","1","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","AkademikerIn","2","1","","",""
"Täglich","1995","AkademikerIn","3","1","","",""
"Täglich","1995","AkademikerIn","4","","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","26","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","8","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","10","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","4","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Min 1x pro Woche","1995","Hauptschule","1 Einkommensschwächstes Quintil","110","0.0383472500804465","0.0308317033984813","0.0458627967624117"
"Min 1x pro Woche","1995","Hauptschule","2","85","0.0525363349523745","0.0424377941853092","0.0626348757194399"
"Min 1x pro Woche","1995","Hauptschule","3","51","0.0461321199310628","0.0327928485848543","0.0594713912772713"
"Min 1x pro Woche","1995","Hauptschule","4","41","0.0721786860364128","0.0507834741633617","0.093573897909464"
"Min 1x pro Woche","1995","Hauptschule","5 Einkommensstärkstes Quintil","6","","",""
"Min 1x pro Woche","1995","Realschule","1 Einkommensschwächstes Quintil","51","0.0491982610821332","0.036287300039581","0.0621092221246854"
