year,bula_h,migback,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,No migration background,Seldom,0.28529,69,209,0.22393,0.34666
1990,Schleswig-Holstein,No migration background,Never,0.55368,140,209,0.48613,0.62124
1990,Hamburg,No migration background,Seldom,0.23054,31,107,0.15036,0.31072
1990,Hamburg,No migration background,Never,0.66286,76,107,0.57287,0.75286
1990,Lower Saxony,No migration background,At least once per week,0.07015,58,798,0.05242,0.08788
1990,Lower Saxony,No migration background,At least once per month,0.07227,69,798,0.05429,0.09024
1990,Lower Saxony,No migration background,Seldom,0.28920,235,798,0.25772,0.32067
1990,Lower Saxony,No migration background,Never,0.56493,436,798,0.53052,0.59935
1990,Lower Saxony,Direct migration background,Seldom,0.19694,31,128,0.12777,0.26610
1990,Lower Saxony,Direct migration background,Never,0.69511,97,128,0.61504,0.77517
1990,Bremen,No migration background,Never,0.72647,58,58,0.61074,0.84219
1990,North Rhine-Westphalia,No migration background,At least once per week,0.06612,124,1794,0.05462,0.07762
1990,North Rhine-Westphalia,No migration background,At least once per month,0.08841,161,1794,0.07527,0.10155
1990,North Rhine-Westphalia,No migration background,Seldom,0.26988,511,1794,0.24933,0.29043
1990,North Rhine-Westphalia,No migration background,Never,0.57159,998,1794,0.54868,0.59449
1990,North Rhine-Westphalia,Direct migration background,At least once per week,0.04806,41,664,0.03178,0.06435
1990,North Rhine-Westphalia,Direct migration background,At least once per month,0.06742,43,664,0.04833,0.08651
1990,North Rhine-Westphalia,Direct migration background,Seldom,0.18801,99,664,0.15827,0.21776
1990,North Rhine-Westphalia,Direct migration background,Never,0.69321,481,664,0.65811,0.72832
1990,North Rhine-Westphalia,Indirect migration background,Never,0.40748,39,39,0.25125,0.56371
1990,Hesse,No migration background,At least once per week,0.08325,51,602,0.06116,0.10533
1990,Hesse,No migration background,At least once per month,0.08682,51,602,0.06431,0.10933
1990,Hesse,No migration background,Seldom,0.28438,184,602,0.24832,0.32045
1990,Hesse,No migration background,Never,0.54555,316,602,0.50574,0.58536
1990,Hesse,Direct migration background,Seldom,0.15002,40,311,0.11027,0.18977
1990,Hesse,Direct migration background,Never,0.78114,271,311,0.73511,0.82717
1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.07543,46,539,0.05312,0.09775
1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.08661,46,539,0.06284,0.11038
1990,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.21526,122,539,0.18053,0.24999
1990,"Rhineland-Palatinate, Saarland",No migration background,Never,0.62269,325,539,0.58173,0.66365
1990,"Rhineland-Palatinate, Saarland",Direct migration background,Never,0.78227,87,87,0.69504,0.86949
