year,migback,regtyp,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Urban regions,At least once per week,0.06188,324,5014,0.05521,0.06855
1990,No migration background,Urban regions,At least once per month,0.08871,474,5014,0.08083,0.09658
1990,No migration background,Urban regions,Seldom,0.25791,1358,5014,0.24580,0.27002
1990,No migration background,Urban regions,Never,0.58937,2858,5014,0.57576,0.60299
1990,No migration background,Rural regions,At least once per week,0.07945,132,1590,0.06616,0.09275
1990,No migration background,Rural regions,At least once per month,0.08539,138,1590,0.07165,0.09913
1990,No migration background,Rural regions,Seldom,0.28469,476,1590,0.26250,0.30688
1990,No migration background,Rural regions,Never,0.54879,844,1590,0.52433,0.57326
1990,Direct migration background,Urban regions,At least once per week,0.04949,147,2186,0.04040,0.05859
1990,Direct migration background,Urban regions,At least once per month,0.07979,186,2186,0.06843,0.09115
1990,Direct migration background,Urban regions,Seldom,0.21304,366,2186,0.19587,0.23020
1990,Direct migration background,Urban regions,Never,0.65611,1487,2186,0.63619,0.67603
1990,Direct migration background,Rural regions,At least once per week,0.11217,38,290,0.07578,0.14855
1990,Direct migration background,Rural regions,Seldom,0.22909,66,290,0.18064,0.27754
1990,Direct migration background,Rural regions,Never,0.56421,186,290,0.50704,0.62138
1990,Indirect migration background,Urban regions,At least once per week,0.12692,38,252,0.08574,0.16810
1990,Indirect migration background,Urban regions,At least once per month,0.14051,39,252,0.09751,0.18350
1990,Indirect migration background,Urban regions,Seldom,0.26856,71,252,0.21373,0.32339
1990,Indirect migration background,Urban regions,Never,0.46401,104,252,0.40232,0.52571
1995,No migration background,Urban regions,At least once per week,0.04606,278,5948,0.04073,0.05138
1995,No migration background,Urban regions,At least once per month,0.07025,448,5948,0.06375,0.07674
1995,No migration background,Urban regions,Seldom,0.27332,1686,5948,0.26200,0.28465
1995,No migration background,Urban regions,Never,0.60933,3536,5948,0.59693,0.62173
1995,No migration background,Rural regions,At least once per week,0.05208,199,3965,0.04517,0.05900
1995,No migration background,Rural regions,At least once per month,0.08143,312,3965,0.07291,0.08994
1995,No migration background,Rural regions,Seldom,0.28482,1201,3965,0.27077,0.29887
1995,No migration background,Rural regions,Never,0.58052,2253,3965,0.56515,0.59588
1995,Direct migration background,Urban regions,At least once per week,0.04794,106,2284,0.03917,0.05670
1995,Direct migration background,Urban regions,At least once per month,0.06116,150,2284,0.05133,0.07099
1995,Direct migration background,Urban regions,Seldom,0.19857,440,2284,0.18221,0.21493
1995,Direct migration background,Urban regions,Never,0.69070,1588,2284,0.67174,0.70966
1995,Direct migration background,Rural regions,At least once per month,0.06588,32,440,0.04267,0.08908
1995,Direct migration background,Rural regions,Seldom,0.24596,91,440,0.20568,0.28625
1995,Direct migration background,Rural regions,Never,0.64164,317,440,0.59678,0.68650
1995,Indirect migration background,Urban regions,At least once per week,0.11601,50,413,0.08509,0.14693
1995,Indirect migration background,Urban regions,At least once per month,0.11139,71,413,0.08101,0.14177
1995,Indirect migration background,Urban regions,Seldom,0.25145,106,413,0.20956,0.29334
1995,Indirect migration background,Urban regions,Never,0.50201,186,413,0.45373,0.55029
1995,Indirect migration background,Rural regions,Seldom,0.42393,34,34,0.25532,0.59254
1998,No migration background,Urban regions,At least once per week,0.04471,305,6722,0.03977,0.04965
1998,No migration background,Urban regions,At least once per month,0.07959,542,6722,0.07312,0.08606
1998,No migration background,Urban regions,Seldom,0.30387,2114,6722,0.29287,0.31487
1998,No migration background,Urban regions,Never,0.57029,3761,6722,0.55846,0.58213
1998,No migration background,Rural regions,At least once per week,0.05890,249,4396,0.05194,0.06586
1998,No migration background,Rural regions,At least once per month,0.08186,362,4396,0.07376,0.08997
1998,No migration background,Rural regions,Seldom,0.30058,1402,4396,0.28703,0.31414
1998,No migration background,Rural regions,Never,0.55811,2383,4396,0.54343,0.57279
1998,Direct migration background,Urban regions,At least once per week,0.04457,88,1967,0.03545,0.05369
1998,Direct migration background,Urban regions,At least once per month,0.05474,115,1967,0.04468,0.06479
1998,Direct migration background,Urban regions,Seldom,0.23558,429,1967,0.21682,0.25434
1998,Direct migration background,Urban regions,Never,0.66443,1335,1967,0.64355,0.68530
1998,Direct migration background,Rural regions,Seldom,0.22374,90,359,0.18057,0.26691
1998,Direct migration background,Rural regions,Never,0.66725,269,359,0.61844,0.71606
1998,Indirect migration background,Urban regions,At least once per week,0.10545,43,497,0.07842,0.13247
1998,Indirect migration background,Urban regions,At least once per month,0.10505,60,497,0.07806,0.13203
1998,Indirect migration background,Urban regions,Seldom,0.36709,178,497,0.32467,0.40951
1998,Indirect migration background,Urban regions,Never,0.42165,216,497,0.37819,0.46511
1998,Indirect migration background,Rural regions,Seldom,0.33304,39,39,0.18319,0.48289
2003,No migration background,Urban regions,At least once per week,0.04241,564,11812,0.03878,0.04605
2003,No migration background,Urban regions,At least once per month,0.07907,983,11812,0.07420,0.08394
2003,No migration background,Urban regions,Seldom,0.29103,3629,11812,0.28284,0.29922
2003,No migration background,Urban regions,Never,0.58658,6636,11812,0.57770,0.59546
2003,No migration background,Rural regions,At least once per week,0.05196,363,6788,0.04668,0.05724
2003,No migration background,Rural regions,At least once per month,0.07802,552,6788,0.07164,0.08440
2003,No migration background,Rural regions,Seldom,0.31002,2172,6788,0.29901,0.32102
2003,No migration background,Rural regions,Never,0.55897,3701,6788,0.54716,0.57078
2003,Direct migration background,Urban regions,At least once per week,0.04532,100,2130,0.03648,0.05415
2003,Direct migration background,Urban regions,At least once per month,0.04544,115,2130,0.03659,0.05429
2003,Direct migration background,Urban regions,Seldom,0.18976,401,2130,0.17311,0.20642
2003,Direct migration background,Urban regions,Never,0.71771,1514,2130,0.69859,0.73683
