year,regtyp,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,At least once per week,0.09349,387,3671,0.08407,0.10291
1990,Urban regions,male,At least once per month,0.12577,488,3671,0.11504,0.13650
1990,Urban regions,male,Seldom,0.30937,1051,3671,0.29442,0.32433
1990,Urban regions,male,Never,0.46757,1745,3671,0.45143,0.48371
1990,Urban regions,female,At least once per week,0.03135,122,3781,0.02579,0.03691
1990,Urban regions,female,At least once per month,0.05375,211,3781,0.04656,0.06093
1990,Urban regions,female,Seldom,0.20018,744,3781,0.18742,0.21293
1990,Urban regions,female,Never,0.71431,2704,3781,0.69991,0.72871
1990,Rural regions,male,At least once per week,0.12074,125,956,0.10008,0.14141
1990,Rural regions,male,At least once per month,0.12491,118,956,0.10394,0.14587
1990,Rural regions,male,Seldom,0.32743,305,956,0.29767,0.35720
1990,Rural regions,male,Never,0.42371,408,956,0.39237,0.45505
1990,Rural regions,female,At least once per week,0.04572,49,989,0.03270,0.05875
1990,Rural regions,female,At least once per month,0.04851,49,989,0.03511,0.06191
1990,Rural regions,female,Seldom,0.23625,249,989,0.20977,0.26274
1990,Rural regions,female,Never,0.66891,642,989,0.63957,0.69826
1995,Urban regions,male,At least once per week,0.06873,313,4153,0.06104,0.07643
1995,Urban regions,male,At least once per month,0.09614,446,4153,0.08717,0.10511
1995,Urban regions,male,Seldom,0.32200,1315,4153,0.30779,0.33621
1995,Urban regions,male,Never,0.51002,2079,4153,0.49482,0.52523
1995,Urban regions,female,At least once per week,0.02865,121,4492,0.02378,0.03353
1995,Urban regions,female,At least once per month,0.04519,223,4492,0.03912,0.05127
1995,Urban regions,female,Seldom,0.20375,917,4492,0.19197,0.21553
1995,Urban regions,female,Never,0.72232,3231,4492,0.70922,0.73541
1995,Rural regions,male,At least once per week,0.08142,182,2187,0.06996,0.09289
1995,Rural regions,male,At least once per month,0.11853,247,2187,0.10498,0.13208
1995,Rural regions,male,Seldom,0.34147,761,2187,0.32159,0.36135
1995,Rural regions,male,Never,0.45693,997,2187,0.43605,0.47782
1995,Rural regions,female,At least once per week,0.02402,51,2322,0.01779,0.03024
1995,Rural regions,female,At least once per month,0.04552,109,2322,0.03704,0.05400
1995,Rural regions,female,Seldom,0.22722,565,2322,0.21017,0.24427
1995,Rural regions,female,Never,0.70275,1597,2322,0.68416,0.72135
1998,Urban regions,male,At least once per week,0.07071,326,4437,0.06317,0.07826
1998,Urban regions,male,At least once per month,0.11218,501,4437,0.10289,0.12146
1998,Urban regions,male,Seldom,0.34784,1543,4437,0.33382,0.36185
1998,Urban regions,male,Never,0.46686,2067,4437,0.45218,0.48154
1998,Urban regions,female,At least once per week,0.02398,110,4749,0.01963,0.02834
1998,Urban regions,female,At least once per month,0.04282,216,4749,0.03706,0.04858
1998,Urban regions,female,Seldom,0.24520,1178,4749,0.23297,0.25744
1998,Urban regions,female,Never,0.68759,3245,4749,0.67441,0.70078
1998,Rural regions,male,At least once per week,0.08779,200,2396,0.07646,0.09913
1998,Rural regions,male,At least once per month,0.12008,285,2396,0.10706,0.13310
1998,Rural regions,male,Seldom,0.33357,845,2396,0.31469,0.35245
1998,Rural regions,male,Never,0.45796,1066,2396,0.43800,0.47791
1998,Rural regions,female,At least once per week,0.03407,85,2503,0.02696,0.04118
1998,Rural regions,female,At least once per month,0.04133,117,2503,0.03353,0.04913
1998,Rural regions,female,Seldom,0.25805,686,2503,0.24090,0.27519
1998,Rural regions,female,Never,0.66550,1615,2503,0.64701,0.68399
2003,Urban regions,male,At least once per week,0.06381,453,7018,0.05809,0.06953
2003,Urban regions,male,At least once per month,0.10917,782,7018,0.10188,0.11647
2003,Urban regions,male,Seldom,0.33497,2419,7018,0.32392,0.34601
2003,Urban regions,male,Never,0.49056,3364,7018,0.47886,0.50226
2003,Urban regions,female,At least once per week,0.02790,259,7588,0.02420,0.03161
2003,Urban regions,female,At least once per month,0.04290,396,7588,0.03834,0.04746
2003,Urban regions,female,Seldom,0.21847,1809,7588,0.20917,0.22776
2003,Urban regions,female,Never,0.70963,5124,7588,0.69942,0.71985
2003,Rural regions,male,At least once per week,0.07015,264,3556,0.06176,0.07855
2003,Rural regions,male,At least once per month,0.11160,392,3556,0.10125,0.12195
2003,Rural regions,male,Seldom,0.36058,1291,3556,0.34479,0.37636
2003,Rural regions,male,Never,0.45617,1609,3556,0.43979,0.47254
2003,Rural regions,female,At least once per week,0.03272,125,3789,0.02705,0.03838
2003,Rural regions,female,At least once per month,0.04729,203,3789,0.04053,0.05405
2003,Rural regions,female,Seldom,0.24476,1000,3789,0.23106,0.25845
2003,Rural regions,female,Never,0.67375,2461,3789,0.65882,0.68868
2008,Urban regions,male,At least once per week,0.05744,339,5977,0.05154,0.06334
2008,Urban regions,male,At least once per month,0.12214,706,5977,0.11383,0.13044
2008,Urban regions,male,Seldom,0.34957,2099,5977,0.33748,0.36166
2008,Urban regions,male,Never,0.46946,2833,5977,0.45681,0.48211
2008,Urban regions,female,At least once per week,0.02979,212,6636,0.02570,0.03388
2008,Urban regions,female,At least once per month,0.05122,360,6636,0.04592,0.05653
2008,Urban regions,female,Seldom,0.24044,1707,6636,0.23015,0.25072
2008,Urban regions,female,Never,0.67801,4357,6636,0.66677,0.68925
2008,Rural regions,male,At least once per week,0.08269,234,3164,0.07309,0.09229
2008,Rural regions,male,At least once per month,0.10575,355,3164,0.09503,0.11646
2008,Rural regions,male,Seldom,0.33245,1067,3164,0.31604,0.34887
2008,Rural regions,male,Never,0.47650,1508,3164,0.45909,0.49390
2008,Rural regions,female,At least once per week,0.03972,133,3406,0.03316,0.04629
2008,Rural regions,female,At least once per month,0.05447,183,3406,0.04685,0.06209
2008,Rural regions,female,Seldom,0.24216,866,3406,0.22777,0.25655
2008,Rural regions,female,Never,0.66332,2224,3406,0.64744,0.67919
2013,Urban regions,male,At least once per week,0.07517,560,7245,0.06910,0.08124
2013,Urban regions,male,At least once per month,0.12676,922,7245,0.11910,0.13442
2013,Urban regions,male,Seldom,0.34531,2463,7245,0.33436,0.35626
2013,Urban regions,male,Never,0.44910,3300,7245,0.43765,0.46056
2013,Urban regions,female,At least once per week,0.03824,433,8857,0.03424,0.04223
