year,age_gr,sex,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,male,At least once per week,0.14620,240,9333,0.14592,0.14647
1990,17-29 y.,male,At least once per month,0.18339,247,9333,0.18309,0.18369
1990,17-29 y.,male,Seldom,0.36563,458,9333,0.36525,0.36600
1990,17-29 y.,male,Never,0.30479,430,9333,0.30443,0.30515
1990,17-29 y.,female,At least once per week,0.07391,82,9333,0.07370,0.07412
1990,17-29 y.,female,At least once per month,0.09647,116,9333,0.09623,0.09671
1990,17-29 y.,female,Seldom,0.33481,394,9333,0.33443,0.33519
1990,17-29 y.,female,Never,0.49481,732,9333,0.49441,0.49522
1990,30-45 y.,male,At least once per week,0.11837,154,9333,0.11813,0.11861
1990,30-45 y.,male,At least once per month,0.12530,179,9333,0.12506,0.12555
1990,30-45 y.,male,Seldom,0.35516,443,9333,0.35480,0.35551
1990,30-45 y.,male,Never,0.40117,590,9333,0.40081,0.40154
1990,30-45 y.,female,At least once per week,0.04644,61,9333,0.04629,0.04660
1990,30-45 y.,female,At least once per month,0.06951,90,9333,0.06932,0.06970
1990,30-45 y.,female,Seldom,0.27956,346,9333,0.27922,0.27989
1990,30-45 y.,female,Never,0.60448,911,9333,0.60412,0.60485
1990,46-65 y.,male,At least once per week,0.07933,109,9333,0.07914,0.07951
1990,46-65 y.,male,At least once per month,0.11061,158,9333,0.11040,0.11083
1990,46-65 y.,male,Seldom,0.30770,393,9333,0.30739,0.30802
1990,46-65 y.,male,Never,0.50236,816,9333,0.50202,0.50270
1990,46-65 y.,female,At least once per month,0.04183,49,9333,0.04170,0.04197
1990,46-65 y.,female,Seldom,0.17610,222,9333,0.17584,0.17636
1990,46-65 y.,female,Never,0.78207,1121,9333,0.78179,0.78235
1990,66 and older,male,Seldom,0.15671,62,9333,0.15629,0.15712
1990,66 and older,male,Never,0.84329,317,9333,0.84288,0.84371
1990,66 and older,female,Seldom,0.04729,31,9333,0.04712,0.04746
1990,66 and older,female,Never,0.95271,582,9333,0.95254,0.95288
1995,17-29 y.,male,At least once per week,0.11706,206,13125,0.11681,0.11731
1995,17-29 y.,male,At least once per month,0.15621,262,13125,0.15593,0.15649
1995,17-29 y.,male,Seldom,0.39118,609,13125,0.39080,0.39155
1995,17-29 y.,male,Never,0.33555,531,13125,0.33519,0.33591
1995,17-29 y.,female,At least once per week,0.06095,83,13125,0.06077,0.06114
1995,17-29 y.,female,At least once per month,0.10038,154,13125,0.10015,0.10062
1995,17-29 y.,female,Seldom,0.30101,504,13125,0.30065,0.30137
1995,17-29 y.,female,Never,0.53765,958,13125,0.53726,0.53805
1995,30-45 y.,male,At least once per week,0.07210,152,13125,0.07194,0.07226
1995,30-45 y.,male,At least once per month,0.10585,229,13125,0.10566,0.10604
1995,30-45 y.,male,Seldom,0.38128,768,13125,0.38098,0.38158
1995,30-45 y.,male,Never,0.44076,991,13125,0.44045,0.44107
1995,30-45 y.,female,At least once per week,0.02661,52,13125,0.02651,0.02671
1995,30-45 y.,female,At least once per month,0.05876,116,13125,0.05862,0.05891
1995,30-45 y.,female,Seldom,0.28929,584,13125,0.28900,0.28957
1995,30-45 y.,female,Never,0.62534,1520,13125,0.62504,0.62564
1995,46-65 y.,male,At least once per week,0.06639,122,13125,0.06624,0.06654
1995,46-65 y.,male,At least once per month,0.08778,170,13125,0.08760,0.08795
1995,46-65 y.,male,Seldom,0.31781,616,13125,0.31753,0.31810
1995,46-65 y.,male,Never,0.52802,1101,13125,0.52772,0.52833
1995,46-65 y.,female,At least once per week,0.02437,32,13125,0.02427,0.02446
1995,46-65 y.,female,At least once per month,0.02602,53,13125,0.02592,0.02612
1995,46-65 y.,female,Seldom,0.19247,336,13125,0.19223,0.19271
1995,46-65 y.,female,Never,0.75714,1505,13125,0.75688,0.75740
1995,66 and older,male,At least once per month,0.06003,32,13125,0.05981,0.06025
1995,66 and older,male,Seldom,0.15456,83,13125,0.15422,0.15489
1995,66 and older,male,Never,0.78541,453,13125,0.78503,0.78579
1995,66 and older,female,Seldom,0.06188,58,13125,0.06170,0.06205
1995,66 and older,female,Never,0.93812,845,13125,0.93795,0.93830
1998,17-29 y.,male,At least once per week,0.13933,207,14041,0.13906,0.13961
1998,17-29 y.,male,At least once per month,0.16761,267,14041,0.16731,0.16790
1998,17-29 y.,male,Seldom,0.38978,606,14041,0.38940,0.39017
1998,17-29 y.,male,Never,0.30327,472,14041,0.30291,0.30364
1998,17-29 y.,female,At least once per week,0.04178,65,14041,0.04162,0.04194
1998,17-29 y.,female,At least once per month,0.09251,129,14041,0.09228,0.09275
1998,17-29 y.,female,Seldom,0.36286,549,14041,0.36247,0.36325
1998,17-29 y.,female,Never,0.50285,835,14041,0.50244,0.50325
1998,30-45 y.,male,At least once per week,0.08256,183,14041,0.08239,0.08273
