,Unnamed: 0,year,pgisced97,sex,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Pre-primary Level,male,Seldom,1.0,36,8925,0.80451,1.19506
1,1,1990,Pre-primary Level,female,Seldom,1.0,35,8925,0.85661,1.15843
2,2,1990,Primary Level,male,At least once per month,0.20838,34,8925,0.13478,0.28699
3,3,1990,Primary Level,male,Seldom,0.1823,39,8925,0.1334,0.25009
4,4,1990,Primary Level,male,Never,0.60932,164,8925,0.51883,0.71184
5,5,1990,Primary Level,female,Seldom,0.07819,31,8925,0.05624,0.09892
6,6,1990,Primary Level,female,Never,0.92181,327,8925,0.81741,1.02792
7,7,1990,Lower Secondary Level,male,At least once per week,0.10705,112,8925,0.08975,0.12552
8,8,1990,Lower Secondary Level,male,At least once per month,0.14048,117,8925,0.12007,0.1612
9,9,1990,Lower Secondary Level,male,Seldom,0.26927,215,8925,0.2393,0.299
10,10,1990,Lower Secondary Level,male,Never,0.4832,412,8925,0.44528,0.52597
11,11,1990,Lower Secondary Level,female,At least once per week,0.02773,50,8925,0.0228,0.03275
12,12,1990,Lower Secondary Level,female,At least once per month,0.04,77,8925,0.03469,0.04696
13,13,1990,Lower Secondary Level,female,Seldom,0.15449,257,8925,0.14515,0.16489
14,14,1990,Lower Secondary Level,female,Never,0.77778,1209,8925,0.75016,0.80452
15,15,1990,Upper Secondary Level,male,At least once per week,0.10406,275,8925,0.09738,0.11294
16,16,1990,Upper Secondary Level,male,At least once per month,0.13537,352,8925,0.12727,0.14567
17,17,1990,Upper Secondary Level,male,Seldom,0.31154,731,8925,0.30124,0.32151
18,18,1990,Upper Secondary Level,male,Never,0.44903,1078,8925,0.43396,0.46341
19,19,1990,Upper Secondary Level,female,At least once per week,0.04072,88,8925,0.03605,0.04473
20,20,1990,Upper Secondary Level,female,At least once per month,0.06178,136,8925,0.05596,0.06718
21,21,1990,Upper Secondary Level,female,Seldom,0.24297,527,8925,0.23307,0.25365
22,22,1990,Upper Secondary Level,female,Never,0.65452,1321,8925,0.63635,0.67202
23,23,1990,Post-secondary Non-tertiary Level,male,Seldom,0.49009,57,8925,0.41438,0.57539
24,24,1990,Post-secondary Non-tertiary Level,male,Never,0.50991,69,8925,0.42432,0.60749
25,25,1990,Post-secondary Non-tertiary Level,female,Never,1.0,82,8925,0.87132,1.14757
26,26,1990,First Stage of Tertiary Education,male,Seldom,0.44315,100,8925,0.3992,0.47703
27,27,1990,First Stage of Tertiary Education,male,Never,0.55685,132,8925,0.51584,0.59881
28,28,1990,First Stage of Tertiary Education,female,Seldom,0.23883,55,8925,0.2057,0.27674
29,29,1990,First Stage of Tertiary Education,female,Never,0.76117,151,8925,0.69734,0.82505
30,30,1990,Second Stage of Tertiary Education,male,At least once per month,0.07652,33,8925,0.06439,0.08959
31,31,1990,Second Stage of Tertiary Education,male,Seldom,0.35632,157,8925,0.3283,0.38482
32,32,1990,Second Stage of Tertiary Education,male,Never,0.56717,247,8925,0.54038,0.60227
33,33,1990,Second Stage of Tertiary Education,female,Seldom,0.21125,46,8925,0.18383,0.2413
34,34,1990,Second Stage of Tertiary Education,female,Never,0.78875,173,8925,0.73644,0.851
35,35,1995,Pre-primary Level,male,Seldom,0.59019,54,12681,0.48178,0.69976
36,36,1995,Pre-primary Level,male,Never,0.40981,36,12681,0.33252,0.50502
37,37,1995,Pre-primary Level,female,Seldom,0.59281,61,12681,0.48484,0.69068
38,38,1995,Pre-primary Level,female,Never,0.40719,48,12681,0.34469,0.48185
39,39,1995,Primary Level,male,Seldom,0.26836,47,12681,0.18935,0.35443
40,40,1995,Primary Level,male,Never,0.73164,135,12681,0.62425,0.83252
41,41,1995,Primary Level,female,Never,1.0,286,12681,0.88365,1.16083
42,42,1995,Lower Secondary Level,male,At least once per week,0.08186,79,12681,0.06757,0.09497
43,43,1995,Lower Secondary Level,male,At least once per month,0.1072,106,12681,0.08981,0.12984
44,44,1995,Lower Secondary Level,male,Seldom,0.27887,236,12681,0.241,0.30843
45,45,1995,Lower Secondary Level,male,Never,0.53207,435,12681,0.49542,0.5765
46,46,1995,Lower Secondary Level,female,At least once per week,0.0235,39,12681,0.01876,0.0284
47,47,1995,Lower Secondary Level,female,At least once per month,0.03731,66,12681,0.03098,0.04431
48,48,1995,Lower Secondary Level,female,Seldom,0.14178,251,12681,0.13186,0.15295
49,49,1995,Lower Secondary Level,female,Never,0.79741,1252,12681,0.76818,0.82943
50,50,1995,Upper Secondary Level,male,At least once per week,0.07923,284,12681,0.0713,0.08866
51,51,1995,Upper Secondary Level,male,At least once per month,0.1075,373,12681,0.10027,0.11544
52,52,1995,Upper Secondary Level,male,Seldom,0.32965,1117,12681,0.31728,0.34436
53,53,1995,Upper Secondary Level,male,Never,0.48362,1587,12681,0.46847,0.49931
54,54,1995,Upper Secondary Level,female,At least once per week,0.02601,85,12681,0.0218,0.03009
55,55,1995,Upper Secondary Level,female,At least once per month,0.04725,170,12681,0.04265,0.0523
56,56,1995,Upper Secondary Level,female,Seldom,0.22813,765,12681,0.21699,0.24069
