year,quintil_oecd,regtyp,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,At least once per week,0.04329,76,1465,0.03287,0.05372
1990,1st Quintile,Urban regions,At least once per month,0.05463,97,1465,0.04299,0.06627
1990,1st Quintile,Urban regions,Seldom,0.17189,246,1465,0.15257,0.19122
1990,1st Quintile,Urban regions,Never,0.72883,1046,1465,0.70606,0.75160
1990,1st Quintile,Rural regions,At least once per week,0.05644,31,402,0.03385,0.07902
1990,1st Quintile,Rural regions,Seldom,0.21598,92,402,0.17570,0.25625
1990,1st Quintile,Rural regions,Never,0.68658,279,402,0.64117,0.73198
1990,2nd Quintile,Urban regions,At least once per week,0.06674,103,1479,0.05402,0.07947
1990,2nd Quintile,Urban regions,At least once per month,0.08229,138,1479,0.06828,0.09630
1990,2nd Quintile,Urban regions,Seldom,0.22123,326,1479,0.20007,0.24239
1990,2nd Quintile,Urban regions,Never,0.62709,912,1479,0.60244,0.65175
1990,2nd Quintile,Rural regions,At least once per week,0.08561,38,397,0.05805,0.11317
1990,2nd Quintile,Rural regions,At least once per month,0.08855,37,397,0.06057,0.11653
1990,2nd Quintile,Rural regions,Seldom,0.28921,116,397,0.24455,0.33387
1990,2nd Quintile,Rural regions,Never,0.53547,206,397,0.48635,0.58460
1990,3rd Quintile,Urban regions,At least once per week,0.05777,111,1534,0.04609,0.06945
1990,3rd Quintile,Urban regions,At least once per month,0.09658,156,1534,0.08180,0.11137
1990,3rd Quintile,Urban regions,Seldom,0.27880,387,1534,0.25636,0.30125
1990,3rd Quintile,Urban regions,Never,0.56492,880,1534,0.54010,0.58973
1990,3rd Quintile,Rural regions,At least once per week,0.12144,40,349,0.08712,0.15575
1990,3rd Quintile,Rural regions,At least once per month,0.12974,44,349,0.09443,0.16504
1990,3rd Quintile,Rural regions,Seldom,0.21828,77,349,0.17488,0.26169
1990,3rd Quintile,Rural regions,Never,0.53054,188,349,0.47811,0.58298
1990,4th Quintile,Urban regions,At least once per week,0.07288,119,1472,0.05960,0.08617
1990,4th Quintile,Urban regions,At least once per month,0.09850,149,1472,0.08327,0.11373
1990,4th Quintile,Urban regions,Seldom,0.26257,382,1472,0.24008,0.28506
1990,4th Quintile,Urban regions,Never,0.56435,822,1472,0.53901,0.58969
1990,4th Quintile,Rural regions,At least once per week,0.07971,39,462,0.05498,0.10443
1990,4th Quintile,Rural regions,At least once per month,0.09782,40,462,0.07070,0.12494
1990,4th Quintile,Rural regions,Seldom,0.32901,155,462,0.28612,0.37190
1990,4th Quintile,Rural regions,Never,0.49321,228,462,0.44757,0.53885
1990,5th Quintile,Urban regions,At least once per week,0.06198,100,1499,0.04977,0.07419
1990,5th Quintile,Urban regions,At least once per month,0.10134,159,1499,0.08606,0.11662
1990,5th Quintile,Urban regions,Seldom,0.30549,454,1499,0.28216,0.32881
1990,5th Quintile,Urban regions,Never,0.52873,786,1499,0.50345,0.55401
1990,5th Quintile,Rural regions,Seldom,0.35661,114,263,0.29860,0.41461
1990,5th Quintile,Rural regions,Never,0.47980,149,263,0.41930,0.54029
1995,1st Quintile,Urban regions,At least once per week,0.04467,69,1596,0.03453,0.05480
1995,1st Quintile,Urban regions,At least once per month,0.05833,95,1596,0.04683,0.06984
1995,1st Quintile,Urban regions,Seldom,0.18456,297,1596,0.16552,0.20359
1995,1st Quintile,Urban regions,Never,0.71208,1135,1596,0.68985,0.73430
1995,1st Quintile,Rural regions,At least once per week,0.04133,32,911,0.02839,0.05426
1995,1st Quintile,Rural regions,At least once per month,0.05063,52,911,0.03639,0.06488
1995,1st Quintile,Rural regions,Seldom,0.22857,206,911,0.20129,0.25585
1995,1st Quintile,Rural regions,Never,0.67713,621,911,0.64675,0.70751
1995,2nd Quintile,Urban regions,At least once per week,0.03679,85,1789,0.02806,0.04552
1995,2nd Quintile,Urban regions,At least once per month,0.07010,134,1789,0.05827,0.08194
1995,2nd Quintile,Urban regions,Seldom,0.22120,399,1789,0.20196,0.24043
1995,2nd Quintile,Urban regions,Never,0.67067,1171,1789,0.64889,0.69246
1995,2nd Quintile,Rural regions,At least once per week,0.04880,59,1069,0.03588,0.06172
1995,2nd Quintile,Rural regions,At least once per month,0.07698,76,1069,0.06099,0.09297
1995,2nd Quintile,Rural regions,Seldom,0.25109,285,1069,0.22508,0.27709
1995,2nd Quintile,Rural regions,Never,0.62202,649,1069,0.59294,0.65110
1995,3rd Quintile,Urban regions,At least once per week,0.05346,85,1665,0.04265,0.06426
1995,3rd Quintile,Urban regions,At least once per month,0.07330,141,1665,0.06078,0.08582
1995,3rd Quintile,Urban regions,Seldom,0.25711,438,1665,0.23611,0.27811
1995,3rd Quintile,Urban regions,Never,0.61320,1001,1665,0.58980,0.63660
1995,3rd Quintile,Rural regions,At least once per week,0.04276,51,1033,0.03042,0.05511
1995,3rd Quintile,Rural regions,At least once per month,0.08613,78,1033,0.06901,0.10325
1995,3rd Quintile,Rural regions,Seldom,0.31708,339,1033,0.28868,0.34547
1995,3rd Quintile,Rural regions,Never,0.55331,565,1033,0.52298,0.58364
1995,4th Quintile,Urban regions,At least once per week,0.06477,114,1755,0.05325,0.07629
1995,4th Quintile,Urban regions,At least once per month,0.06543,147,1755,0.05385,0.07700
1995,4th Quintile,Urban regions,Seldom,0.28508,500,1755,0.26395,0.30621
1995,4th Quintile,Urban regions,Never,0.58362,994,1755,0.56055,0.60669
1995,4th Quintile,Rural regions,At least once per week,0.07919,63,889,0.06143,0.09696
1995,4th Quintile,Rural regions,At least once per month,0.10971,100,889,0.08916,0.13027
1995,4th Quintile,Rural regions,Seldom,0.31732,294,889,0.28671,0.34793
1995,4th Quintile,Rural regions,Never,0.49293,432,889,0.46005,0.52581
1995,5th Quintile,Urban regions,At least once per week,0.03911,81,1836,0.03024,0.04798
1995,5th Quintile,Urban regions,At least once per month,0.07810,152,1836,0.06582,0.09038
1995,5th Quintile,Urban regions,Seldom,0.32275,598,1836,0.30136,0.34414
1995,5th Quintile,Urban regions,Never,0.55821,1005,1836,0.53548,0.58093
1995,5th Quintile,Rural regions,At least once per month,0.08247,50,579,0.06004,0.10489
1995,5th Quintile,Rural regions,Seldom,0.30714,202,579,0.26953,0.34475
1995,5th Quintile,Rural regions,Never,0.56245,327,579,0.52201,0.60290
1998,1st Quintile,Urban regions,At least once per week,0.04331,71,1540,0.03314,0.05348
1998,1st Quintile,Urban regions,At least once per month,0.06942,93,1540,0.05672,0.08211
1998,1st Quintile,Urban regions,Seldom,0.22359,351,1540,0.20277,0.24440
1998,1st Quintile,Urban regions,Never,0.66262,1025,1540,0.63900,0.68624
1998,1st Quintile,Rural regions,At least once per week,0.05186,43,768,0.03617,0.06756
1998,1st Quintile,Rural regions,At least once per month,0.06709,52,768,0.04939,0.08480
1998,1st Quintile,Rural regions,Seldom,0.24084,199,768,0.21058,0.27110
1998,1st Quintile,Rural regions,Never,0.64021,474,768,0.60624,0.67417
1998,2nd Quintile,Urban regions,At least once per week,0.04711,80,1530,0.03649,0.05774
1998,2nd Quintile,Urban regions,At least once per month,0.05988,107,1530,0.04798,0.07177
1998,2nd Quintile,Urban regions,Seldom,0.26094,423,1530,0.23893,0.28295
1998,2nd Quintile,Urban regions,Never,0.63072,920,1530,0.60653,0.65491
1998,2nd Quintile,Rural regions,At least once per week,0.04497,47,947,0.03176,0.05818
1998,2nd Quintile,Rural regions,At least once per month,0.07343,81,947,0.05681,0.09005
1998,2nd Quintile,Rural regions,Seldom,0.27626,277,947,0.24777,0.30476
1998,2nd Quintile,Rural regions,Never,0.60346,542,947,0.57228,0.63463
1998,3rd Quintile,Urban regions,At least once per week,0.05087,64,1526,0.03984,0.06189
1998,3rd Quintile,Urban regions,At least once per month,0.06811,113,1526,0.05547,0.08076
1998,3rd Quintile,Urban regions,Seldom,0.30920,465,1526,0.28600,0.33239
1998,3rd Quintile,Urban regions,Never,0.57105,884,1526,0.54621,0.59589
1998,3rd Quintile,Rural regions,At least once per week,0.05222,53,1029,0.03862,0.06582
1998,3rd Quintile,Rural regions,At least once per month,0.07773,80,1029,0.06136,0.09409
1998,3rd Quintile,Rural regions,Seldom,0.28622,326,1029,0.25859,0.31385
1998,3rd Quintile,Rural regions,Never,0.58384,570,1029,0.55370,0.61397
1998,4th Quintile,Urban regions,At least once per week,0.04565,86,1683,0.03568,0.05563
1998,4th Quintile,Urban regions,At least once per month,0.07487,140,1683,0.06230,0.08745
1998,4th Quintile,Urban regions,Seldom,0.32340,545,1683,0.30104,0.34575
1998,4th Quintile,Urban regions,Never,0.55325,912,1683,0.52949,0.57701
1998,4th Quintile,Rural regions,At least once per week,0.06172,50,899,0.04598,0.07746
1998,4th Quintile,Rural regions,At least once per month,0.06945,67,899,0.05282,0.08608
1998,4th Quintile,Rural regions,Seldom,0.34216,325,899,0.31113,0.37319
1998,4th Quintile,Rural regions,Never,0.52667,457,899,0.49402,0.55933
1998,5th Quintile,Urban regions,At least once per week,0.04075,72,1641,0.03118,0.05032
1998,5th Quintile,Urban regions,At least once per month,0.08853,150,1641,0.07478,0.10228
1998,5th Quintile,Urban regions,Seldom,0.34777,579,1641,0.32472,0.37082
1998,5th Quintile,Urban regions,Never,0.52294,840,1641,0.49877,0.54712
1998,5th Quintile,Rural regions,At least once per week,0.07753,36,635,0.05671,0.09835
1998,5th Quintile,Rural regions,At least once per month,0.08128,54,635,0.06001,0.10255
1998,5th Quintile,Rural regions,Seldom,0.35871,232,635,0.32138,0.39605
1998,5th Quintile,Rural regions,Never,0.48128,313,635,0.44238,0.52017
2003,1st Quintile,Urban regions,At least once per week,0.03716,80,2158,0.02918,0.04515
2003,1st Quintile,Urban regions,At least once per month,0.05325,124,2158,0.04377,0.06273
2003,1st Quintile,Urban regions,Seldom,0.18273,403,2158,0.16642,0.19904
2003,1st Quintile,Urban regions,Never,0.72569,1551,2158,0.70686,0.74451
2003,1st Quintile,Rural regions,At least once per week,0.03255,39,1205,0.02252,0.04257
2003,1st Quintile,Rural regions,At least once per month,0.04851,68,1205,0.03638,0.06065
2003,1st Quintile,Rural regions,Seldom,0.22700,277,1205,0.20334,0.25066
2003,1st Quintile,Rural regions,Never,0.68969,821,1205,0.66356,0.71582
