"pli0089","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1994","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Bayern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Berlin","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Thueringen","Laendlicher Raum","","","",""
"Seltener","1994","Schleswig-Holstein","Staedtischer Raum","","","",""
"Seltener","1994","Schleswig-Holstein","Laendlicher Raum","","","",""
"Seltener","1994","Hamburg","Staedtischer Raum","","","",""
"Seltener","1994","Hamburg","Laendlicher Raum","","","",""
"Seltener","1994","Niedersachsen","Staedtischer Raum","","","",""
"Seltener","1994","Niedersachsen","Laendlicher Raum","","","",""
"Seltener","1994","Bremen","Staedtischer Raum","","","",""
"Seltener","1994","Bremen","Laendlicher Raum","","","",""
"Seltener","1994","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Seltener","1994","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Seltener","1994","Hessen","Staedtischer Raum","","","",""
"Seltener","1994","Hessen","Laendlicher Raum","","","",""
"Seltener","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Seltener","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Seltener","1994","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Seltener","1994","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Seltener","1994","Bayern","Staedtischer Raum","","","",""
"Seltener","1994","Bayern","Laendlicher Raum","","","",""
"Seltener","1994","Saarland","Staedtischer Raum","","","",""
"Seltener","1994","Saarland","Laendlicher Raum","","","",""
"Seltener","1994","Berlin","Staedtischer Raum","","","",""
"Seltener","1994","Berlin","Laendlicher Raum","","","",""
"Seltener","1994","Brandenburg","Staedtischer Raum","","","",""
"Seltener","1994","Brandenburg","Laendlicher Raum","","","",""
"Seltener","1994","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Seltener","1994","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Seltener","1994","Sachsen","Staedtischer Raum","","","",""
"Seltener","1994","Sachsen","Laendlicher Raum","","","",""
"Seltener","1994","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Seltener","1994","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Seltener","1994","Thueringen","Staedtischer Raum","","","",""
"Seltener","1994","Thueringen","Laendlicher Raum","","","",""
"Nie","1994","Schleswig-Holstein","Staedtischer Raum","","","",""
"Nie","1994","Schleswig-Holstein","Laendlicher Raum","","","",""
"Nie","1994","Hamburg","Staedtischer Raum","","","",""
"Nie","1994","Hamburg","Laendlicher Raum","","","",""
"Nie","1994","Niedersachsen","Staedtischer Raum","","","",""
"Nie","1994","Niedersachsen","Laendlicher Raum","","","",""
"Nie","1994","Bremen","Staedtischer Raum","","","",""
"Nie","1994","Bremen","Laendlicher Raum","","","",""
"Nie","1994","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Nie","1994","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Nie","1994","Hessen","Staedtischer Raum","","","",""
"Nie","1994","Hessen","Laendlicher Raum","","","",""
"Nie","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Nie","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Nie","1994","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Nie","1994","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Nie","1994","Bayern","Staedtischer Raum","","","",""
"Nie","1994","Bayern","Laendlicher Raum","","","",""
"Nie","1994","Saarland","Staedtischer Raum","","","",""
"Nie","1994","Saarland","Laendlicher Raum","","","",""
"Nie","1994","Berlin","Staedtischer Raum","","","",""
"Nie","1994","Berlin","Laendlicher Raum","","","",""
"Nie","1994","Brandenburg","Staedtischer Raum","","","",""
"Nie","1994","Brandenburg","Laendlicher Raum","","","",""
"Nie","1994","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","1994","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","1994","Sachsen","Staedtischer Raum","","","",""
"Nie","1994","Sachsen","Laendlicher Raum","","","",""
"Nie","1994","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","1994","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","1994","Thueringen","Staedtischer Raum","","","",""
"Nie","1994","Thueringen","Laendlicher Raum","","","",""
"Taeglich","1995","Schleswig-Holstein","Staedtischer Raum","1","","",""
"Taeglich","1995","Schleswig-Holstein","Laendlicher Raum","","","",""
"Taeglich","1995","Hamburg","Staedtischer Raum","","","",""
"Taeglich","1995","Hamburg","Laendlicher Raum","","","",""
"Taeglich","1995","Niedersachsen","Staedtischer Raum","1","","",""
"Taeglich","1995","Niedersachsen","Laendlicher Raum","","","",""
"Taeglich","1995","Bremen","Staedtischer Raum","1","","",""
"Taeglich","1995","Bremen","Laendlicher Raum","","","",""
"Taeglich","1995","Nordrhein-Westfalen","Staedtischer Raum","7","","",""
"Taeglich","1995","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Taeglich","1995","Hessen","Staedtischer Raum","4","","",""
"Taeglich","1995","Hessen","Laendlicher Raum","","","",""
"Taeglich","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","2","","",""
"Taeglich","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Taeglich","1995","Baden-Wuerttemberg","Staedtischer Raum","1","","",""
"Taeglich","1995","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Taeglich","1995","Bayern","Staedtischer Raum","1","","",""
"Taeglich","1995","Bayern","Laendlicher Raum","1","","",""
"Taeglich","1995","Saarland","Staedtischer Raum","","","",""
"Taeglich","1995","Saarland","Laendlicher Raum","","","",""
"Taeglich","1995","Berlin","Staedtischer Raum","","","",""
"Taeglich","1995","Berlin","Laendlicher Raum","","","",""
"Taeglich","1995","Brandenburg","Staedtischer Raum","","","",""
"Taeglich","1995","Brandenburg","Laendlicher Raum","1","","",""
"Taeglich","1995","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Taeglich","1995","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Taeglich","1995","Sachsen","Staedtischer Raum","1","","",""
"Taeglich","1995","Sachsen","Laendlicher Raum","","","",""
"Taeglich","1995","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Taeglich","1995","Sachsen-Anhalt","Laendlicher Raum","1","","",""
"Taeglich","1995","Thueringen","Staedtischer Raum","","","",""
"Taeglich","1995","Thueringen","Laendlicher Raum","1","","",""
"Min 1x pro Woche","1995","Schleswig-Holstein","Staedtischer Raum","7","","",""
"Min 1x pro Woche","1995","Schleswig-Holstein","Laendlicher Raum","8","","",""
"Min 1x pro Woche","1995","Hamburg","Staedtischer Raum","3","","",""
"Min 1x pro Woche","1995","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1995","Niedersachsen","Staedtischer Raum","32","0.049793820720351","0.0310620056318666","0.0685256358088354"
"Min 1x pro Woche","1995","Niedersachsen","Laendlicher Raum","27","","",""
"Min 1x pro Woche","1995","Bremen","Staedtischer Raum","2","","",""
"Min 1x pro Woche","1995","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1995","Nordrhein-Westfalen","Staedtischer Raum","158","0.0639246542242743","0.0543280983158594","0.0735212101326892"
"Min 1x pro Woche","1995","Nordrhein-Westfalen","Laendlicher Raum","4","","",""
"Min 1x pro Woche","1995","Hessen","Staedtischer Raum","45","0.0733051745896631","0.0551303498944924","0.0914799992848338"
"Min 1x pro Woche","1995","Hessen","Laendlicher Raum","13","","",""
"Min 1x pro Woche","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","36","0.0523270571676258","0.0340938453962844","0.0705602689389673"
"Min 1x pro Woche","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","9","","",""
"Min 1x pro Woche","1995","Baden-Wuerttemberg","Staedtischer Raum","76","0.0416118700361554","0.0316957061882889","0.0515280338840218"
"Min 1x pro Woche","1995","Baden-Wuerttemberg","Laendlicher Raum","13","","",""
"Min 1x pro Woche","1995","Bayern","Staedtischer Raum","28","","",""
"Min 1x pro Woche","1995","Bayern","Laendlicher Raum","62","0.0701574133485764","0.0530970602304787","0.0872177664666741"
"Min 1x pro Woche","1995","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1995","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1995","Berlin","Staedtischer Raum","15","","",""
"Min 1x pro Woche","1995","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Woche","1995","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1995","Brandenburg","Laendlicher Raum","17","","",""
"Min 1x pro Woche","1995","Mecklenburg-Vorpommern","Staedtischer Raum","2","","",""
"Min 1x pro Woche","1995","Mecklenburg-Vorpommern","Laendlicher Raum","9","","",""
"Min 1x pro Woche","1995","Sachsen","Staedtischer Raum","19","","",""
"Min 1x pro Woche","1995","Sachsen","Laendlicher Raum","19","","",""
"Min 1x pro Woche","1995","Sachsen-Anhalt","Staedtischer Raum","3","","",""
"Min 1x pro Woche","1995","Sachsen-Anhalt","Laendlicher Raum","20","","",""
"Min 1x pro Woche","1995","Thueringen","Staedtischer Raum","8","","",""
"Min 1x pro Woche","1995","Thueringen","Laendlicher Raum","32","0.0669140624009309","0.0440797101775406","0.0897484146243212"
"Min 1x pro Monat","1995","Schleswig-Holstein","Staedtischer Raum","6","","",""
"Min 1x pro Monat","1995","Schleswig-Holstein","Laendlicher Raum","11","","",""
"Min 1x pro Monat","1995","Hamburg","Staedtischer Raum","11","","",""
"Min 1x pro Monat","1995","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1995","Niedersachsen","Staedtischer Raum","41","0.075291175375218","0.0525685896406677","0.0980137611097682"
"Min 1x pro Monat","1995","Niedersachsen","Laendlicher Raum","53","0.104701472490389","0.0783862680073282","0.131016676973449"
"Min 1x pro Monat","1995","Bremen","Staedtischer Raum","5","","",""
"Min 1x pro Monat","1995","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1995","Nordrhein-Westfalen","Staedtischer Raum","216","0.0846471289363885","0.0737270396156153","0.0955672182571616"
"Min 1x pro Monat","1995","Nordrhein-Westfalen","Laendlicher Raum","3","","",""
"Min 1x pro Monat","1995","Hessen","Staedtischer Raum","48","0.0616431435757199","0.0448720666785682","0.0784142204728716"
"Min 1x pro Monat","1995","Hessen","Laendlicher Raum","13","","",""
"Min 1x pro Monat","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","33","0.0502852491947134","0.0323920632508406","0.0681784351385862"
"Min 1x pro Monat","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","9","","",""
"Min 1x pro Monat","1995","Baden-Wuerttemberg","Staedtischer Raum","184","0.0990696298624891","0.0842348793065104","0.113904380418468"
"Min 1x pro Monat","1995","Baden-Wuerttemberg","Laendlicher Raum","21","","",""
"Min 1x pro Monat","1995","Bayern","Staedtischer Raum","57","0.0542908325104799","0.0386960359335114","0.0698856290874484"
"Min 1x pro Monat","1995","Bayern","Laendlicher Raum","93","0.102895053757615","0.0826011596420668","0.123188947873163"
"Min 1x pro Monat","1995","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1995","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1995","Berlin","Staedtischer Raum","17","","",""
"Min 1x pro Monat","1995","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Monat","1995","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1995","Brandenburg","Laendlicher Raum","26","","",""
"Min 1x pro Monat","1995","Mecklenburg-Vorpommern","Staedtischer Raum","6","","",""
"Min 1x pro Monat","1995","Mecklenburg-Vorpommern","Laendlicher Raum","25","","",""
"Min 1x pro Monat","1995","Sachsen","Staedtischer Raum","27","","",""
"Min 1x pro Monat","1995","Sachsen","Laendlicher Raum","30","0.046046108281843","0.0280149108224479","0.0640773057412381"
"Min 1x pro Monat","1995","Sachsen-Anhalt","Staedtischer Raum","10","","",""
"Min 1x pro Monat","1995","Sachsen-Anhalt","Laendlicher Raum","40","0.0668917791887294","0.0461252901687741","0.0876582682086848"
"Min 1x pro Monat","1995","Thueringen","Staedtischer Raum","5","","",""
"Min 1x pro Monat","1995","Thueringen","Laendlicher Raum","35","0.083416371798582","0.0581477898037229","0.108684953793441"
"Seltener","1995","Schleswig-Holstein","Staedtischer Raum","36","0.321845444842179","0.244457716542821","0.399233173141537"
"Seltener","1995","Schleswig-Holstein","Laendlicher Raum","48","0.340256471224988","0.262601218283277","0.417911724166699"
"Seltener","1995","Hamburg","Staedtischer Raum","33","0.309434137719396","0.230872788109598","0.387995487329195"
"Seltener","1995","Hamburg","Laendlicher Raum","","","",""
"Seltener","1995","Niedersachsen","Staedtischer Raum","147","0.315230148751097","0.275220070553284","0.355240226948909"
"Seltener","1995","Niedersachsen","Laendlicher Raum","165","0.287021996657548","0.248140580423226","0.32590341289187"
"Seltener","1995","Bremen","Staedtischer Raum","30","0.293941069771733","0.201352531641168","0.386529607902299"
"Seltener","1995","Bremen","Laendlicher Raum","","","",""
"Seltener","1995","Nordrhein-Westfalen","Staedtischer Raum","658","0.269062126906731","0.251664407645494","0.286459846167968"
"Seltener","1995","Nordrhein-Westfalen","Laendlicher Raum","34","0.530993917875709","0.41324482872652","0.648743007024899"
"Seltener","1995","Hessen","Staedtischer Raum","195","0.261374751547762","0.230735479948437","0.292014023147087"
"Seltener","1995","Hessen","Laendlicher Raum","36","0.241898596972062","0.170962972213422","0.312834221730702"
"Seltener","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","108","0.180949495703641","0.149428145676104","0.212470845731179"
"Seltener","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","53","0.380042989936915","0.297857936386317","0.462228043487513"
"Seltener","1995","Baden-Wuerttemberg","Staedtischer Raum","442","0.271175125749545","0.249100117088438","0.293250134410652"
"Seltener","1995","Baden-Wuerttemberg","Laendlicher Raum","53","0.28818856434522","0.228065556914571","0.348311571775869"
"Seltener","1995","Bayern","Staedtischer Raum","198","0.239043648499357","0.209690402012798","0.268396894985915"
"Seltener","1995","Bayern","Laendlicher Raum","258","0.288112216835075","0.257861677481746","0.318362756188403"
"Seltener","1995","Saarland","Staedtischer Raum","","","",""
"Seltener","1995","Saarland","Laendlicher Raum","","","",""
"Seltener","1995","Berlin","Staedtischer Raum","137","0.244485129053482","0.208889078894073","0.28008117921289"
"Seltener","1995","Berlin","Laendlicher Raum","","","",""
"Seltener","1995","Brandenburg","Staedtischer Raum","2","","",""
"Seltener","1995","Brandenburg","Laendlicher Raum","153","0.264694836011141","0.228285305293727","0.301104366728554"
"Seltener","1995","Mecklenburg-Vorpommern","Staedtischer Raum","10","","",""
"Seltener","1995","Mecklenburg-Vorpommern","Laendlicher Raum","106","0.289055598482872","0.242227626203714","0.33588357076203"
"Seltener","1995","Sachsen","Staedtischer Raum","156","0.249510531490308","0.214048238111006","0.28497282486961"
"Seltener","1995","Sachsen","Laendlicher Raum","129","0.213911370290521","0.178632302226478","0.249190438354565"
"Seltener","1995","Sachsen-Anhalt","Staedtischer Raum","24","","",""
"Seltener","1995","Sachsen-Anhalt","Laendlicher Raum","159","0.234622750145001","0.199399167202301","0.2698463330877"
"Seltener","1995","Thueringen","Staedtischer Raum","45","0.221249871236591","0.161915035357924","0.280584707115258"
"Seltener","1995","Thueringen","Laendlicher Raum","143","0.264537535105582","0.224229364974517","0.304845705236647"
"Nie","1995","Schleswig-Holstein","Staedtischer Raum","90","0.617363630406401","0.536854021416281","0.69787323939652"
"Nie","1995","Schleswig-Holstein","Laendlicher Raum","76","0.487784621350743","0.405858870381894","0.569710372319593"
"Nie","1995","Hamburg","Staedtischer Raum","86","0.640851494816608","0.559317634881054","0.722385354752162"
"Nie","1995","Hamburg","Laendlicher Raum","","","",""
"Nie","1995","Niedersachsen","Staedtischer Raum","297","0.559483671734465","0.516731525233719","0.60223581823521"
"Nie","1995","Niedersachsen","Laendlicher Raum","275","0.565134071670339","0.522525217439698","0.60774292590098"
"Nie","1995","Bremen","Staedtischer Raum","55","0.645820892960349","0.548619132325555","0.743022653595142"
"Nie","1995","Bremen","Laendlicher Raum","","","",""
"Nie","1995","Nordrhein-Westfalen","Staedtischer Raum","1457","0.58056641611169","0.561207396668083","0.599925435555297"
"Nie","1995","Nordrhein-Westfalen","Laendlicher Raum","28","","",""
"Nie","1995","Hessen","Staedtischer Raum","498","0.600783391095875","0.566632833035122","0.634933949156628"
"Nie","1995","Hessen","Laendlicher Raum","78","0.564906707218418","0.48278392902838","0.647029485408457"
"Nie","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","394","0.714333169851115","0.677346000450039","0.751320339252191"
"Nie","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","63","0.472999353369803","0.388465330035052","0.557533376704553"
"Nie","1995","Baden-Wuerttemberg","Staedtischer Raum","855","0.587155874369457","0.562708392981012","0.611603355757903"
"Nie","1995","Baden-Wuerttemberg","Laendlicher Raum","131","0.581729640485474","0.51624959304594","0.647209687925008"
"Nie","1995","Bayern","Staedtischer Raum","527","0.671761740302147","0.639444081074351","0.704079399529943"
"Nie","1995","Bayern","Laendlicher Raum","447","0.536840294589905","0.503533376208326","0.570147212971483"
"Nie","1995","Saarland","Staedtischer Raum","","","",""
"Nie","1995","Saarland","Laendlicher Raum","","","",""
"Nie","1995","Berlin","Staedtischer Raum","391","0.702588057025684","0.664727791001691","0.740448323049677"
"Nie","1995","Berlin","Laendlicher Raum","","","",""
"Nie","1995","Brandenburg","Staedtischer Raum","17","","",""
"Nie","1995","Brandenburg","Laendlicher Raum","367","0.663952533173326","0.624969343756544","0.702935722590107"
"Nie","1995","Mecklenburg-Vorpommern","Staedtischer Raum","36","0.626605459468262","0.497592814155604","0.75561810478092"
"Nie","1995","Mecklenburg-Vorpommern","Laendlicher Raum","220","0.63178396651937","0.581960666618033","0.681607266420708"
"Nie","1995","Sachsen","Staedtischer Raum","369","0.673230793250972","0.63479351526541","0.711668071236534"
"Nie","1995","Sachsen","Laendlicher Raum","341","0.713737688929889","0.674849670507444","0.752625707352334"
"Nie","1995","Sachsen-Anhalt","Staedtischer Raum","91","0.72334771242871","0.645850907928848","0.800844516928573"
"Nie","1995","Sachsen-Anhalt","Laendlicher Raum","336","0.655044147463092","0.615532263347593","0.694556031578592"
"Nie","1995","Thueringen","Staedtischer Raum","130","0.724634672161457","0.660781371791511","0.788487972531403"
"Nie","1995","Thueringen","Laendlicher Raum","249","0.582753215641154","0.537691469805041","0.627814961477268"
"Taeglich","1996","Schleswig-Holstein","Staedtischer Raum","","","",""
"Taeglich","1996","Schleswig-Holstein","Laendlicher Raum","","","",""
"Taeglich","1996","Hamburg","Staedtischer Raum","","","",""
"Taeglich","1996","Hamburg","Laendlicher Raum","","","",""
"Taeglich","1996","Niedersachsen","Staedtischer Raum","","","",""
"Taeglich","1996","Niedersachsen","Laendlicher Raum","","","",""
"Taeglich","1996","Bremen","Staedtischer Raum","","","",""
"Taeglich","1996","Bremen","Laendlicher Raum","","","",""
"Taeglich","1996","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Taeglich","1996","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Taeglich","1996","Hessen","Staedtischer Raum","","","",""
"Taeglich","1996","Hessen","Laendlicher Raum","","","",""
"Taeglich","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Taeglich","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Taeglich","1996","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Taeglich","1996","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Taeglich","1996","Bayern","Staedtischer Raum","","","",""
"Taeglich","1996","Bayern","Laendlicher Raum","","","",""
"Taeglich","1996","Saarland","Staedtischer Raum","","","",""
"Taeglich","1996","Saarland","Laendlicher Raum","","","",""
"Taeglich","1996","Berlin","Staedtischer Raum","","","",""
"Taeglich","1996","Berlin","Laendlicher Raum","","","",""
"Taeglich","1996","Brandenburg","Staedtischer Raum","","","",""
"Taeglich","1996","Brandenburg","Laendlicher Raum","","","",""
"Taeglich","1996","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Taeglich","1996","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Taeglich","1996","Sachsen","Staedtischer Raum","","","",""
"Taeglich","1996","Sachsen","Laendlicher Raum","","","",""
"Taeglich","1996","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Taeglich","1996","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Taeglich","1996","Thueringen","Staedtischer Raum","","","",""
"Taeglich","1996","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Hamburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Niedersachsen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Niedersachsen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Bremen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Bayern","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Berlin","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Schleswig-Holstein","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Schleswig-Holstein","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Hamburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Niedersachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Niedersachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Bremen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Bayern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Berlin","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Thueringen","Laendlicher Raum","","","",""
"Seltener","1996","Schleswig-Holstein","Staedtischer Raum","","","",""
"Seltener","1996","Schleswig-Holstein","Laendlicher Raum","","","",""
"Seltener","1996","Hamburg","Staedtischer Raum","","","",""
"Seltener","1996","Hamburg","Laendlicher Raum","","","",""
"Seltener","1996","Niedersachsen","Staedtischer Raum","","","",""
"Seltener","1996","Niedersachsen","Laendlicher Raum","","","",""
"Seltener","1996","Bremen","Staedtischer Raum","","","",""
"Seltener","1996","Bremen","Laendlicher Raum","","","",""
