year,bula_h,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,male,Seldom,0.39551,50,106,0.30199,0.48904
1990,Schleswig-Holstein,male,Never,0.38554,56,106,0.29244,0.47864
1990,Schleswig-Holstein,female,Never,0.73210,108,108,0.64818,0.81601
1990,Hamburg,male,Never,0.49463,37,37,0.33130,0.65795
1990,Hamburg,female,Never,0.81871,64,64,0.72358,0.91385
1990,Lower Saxony,male,At least once per week,0.09971,52,482,0.07293,0.12648
1990,Lower Saxony,male,At least once per month,0.08784,56,482,0.06255,0.11314
1990,Lower Saxony,male,Seldom,0.31730,148,482,0.27571,0.35889
1990,Lower Saxony,male,Never,0.48953,226,482,0.44486,0.53421
1990,Lower Saxony,female,Seldom,0.24816,125,437,0.20761,0.28870
1990,Lower Saxony,female,Never,0.65622,312,437,0.61164,0.70080
1990,Bremen,female,Never,0.76977,42,42,0.64091,0.89863
1990,North Rhine-Westphalia,male,At least once per week,0.09826,134,1251,0.08175,0.11476
1990,North Rhine-Westphalia,male,At least once per month,0.12705,156,1251,0.10859,0.14552
1990,North Rhine-Westphalia,male,Seldom,0.30932,367,1251,0.28370,0.33494
1990,North Rhine-Westphalia,male,Never,0.45734,594,1251,0.42972,0.48496
1990,North Rhine-Westphalia,female,At least once per week,0.03496,45,1290,0.02493,0.04499
1990,North Rhine-Westphalia,female,At least once per month,0.05238,60,1290,0.04022,0.06455
1990,North Rhine-Westphalia,female,Seldom,0.21686,261,1290,0.19436,0.23935
1990,North Rhine-Westphalia,female,Never,0.69559,924,1290,0.67047,0.72071
1990,Hesse,male,At least once per week,0.12412,62,485,0.09474,0.15349
1990,Hesse,male,At least once per month,0.10826,47,485,0.08058,0.13595
1990,Hesse,male,Seldom,0.31881,132,485,0.27730,0.36033
1990,Hesse,male,Never,0.44863,244,485,0.40432,0.49294
1990,Hesse,female,Seldom,0.20454,97,453,0.16736,0.24173
1990,Hesse,female,Never,0.71756,356,453,0.67606,0.75907
1990,"Rhineland-Palatinate, Saarland",male,At least once per week,0.11771,39,321,0.08240,0.15302
1990,"Rhineland-Palatinate, Saarland",male,At least once per month,0.14108,40,321,0.10294,0.17922
1990,"Rhineland-Palatinate, Saarland",male,Seldom,0.26424,87,321,0.21593,0.31255
1990,"Rhineland-Palatinate, Saarland",male,Never,0.47697,155,321,0.42224,0.53170
1990,"Rhineland-Palatinate, Saarland",female,Seldom,0.16057,59,321,0.12034,0.20079
1990,"Rhineland-Palatinate, Saarland",female,Never,0.77454,262,321,0.72875,0.82032
1990,Baden-Wuerttemberg,male,At least once per week,0.11035,117,891,0.08977,0.13094
1990,Baden-Wuerttemberg,male,At least once per month,0.13800,135,891,0.11534,0.16066
1990,Baden-Wuerttemberg,male,Seldom,0.33667,261,891,0.30562,0.36772
1990,Baden-Wuerttemberg,male,Never,0.41472,378,891,0.38235,0.44708
