,Unnamed: 0,year,migback,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,At least once per week,0.06627,456,9397,0.06382,0.06884
1,1,1990,No migration background,At least once per month,0.0881,612,9397,0.0851,0.09117
2,2,1990,No migration background,Seldom,0.26489,1834,9397,0.25919,0.27007
3,3,1990,No migration background,Never,0.58074,3702,9397,0.57366,0.59131
4,4,1990,Direct migration background,At least once per week,0.05879,185,9397,0.05102,0.06771
5,5,1990,Direct migration background,At least once per month,0.08144,211,9397,0.0695,0.09551
6,6,1990,Direct migration background,Seldom,0.21576,432,9397,0.19349,0.23545
7,7,1990,Direct migration background,Never,0.64401,1673,9397,0.60932,0.68065
8,8,1990,Indirect migration background,At least once per week,0.12755,42,9397,0.09718,0.16636
9,9,1990,Indirect migration background,At least once per month,0.12995,43,9397,0.09239,0.17682
10,10,1990,Indirect migration background,Seldom,0.2685,83,9397,0.20986,0.34398
11,11,1990,Indirect migration background,Never,0.47401,124,9397,0.35582,0.60057
12,12,1995,No migration background,At least once per week,0.04814,477,13154,0.04539,0.05122
13,13,1995,No migration background,At least once per month,0.07414,760,13154,0.07067,0.07778
14,14,1995,No migration background,Seldom,0.27753,2887,13154,0.2706,0.2842
15,15,1995,No migration background,Never,0.60019,5788,13154,0.5903,0.61088
16,16,1995,Direct migration background,At least once per week,0.04772,133,13154,0.03787,0.05482
17,17,1995,Direct migration background,At least once per month,0.06213,182,13154,0.05356,0.07104
18,18,1995,Direct migration background,Seldom,0.20796,531,13154,0.18775,0.2255
19,19,1995,Direct migration background,Never,0.68219,1905,13154,0.64995,0.7092
20,20,1995,Indirect migration background,At least once per week,0.11289,57,13154,0.09007,0.14007
21,21,1995,Indirect migration background,At least once per month,0.12485,83,13154,0.10246,0.15552
22,22,1995,Indirect migration background,Seldom,0.28414,140,13154,0.23438,0.33388
23,23,1995,Indirect migration background,Never,0.47812,211,13154,0.41131,0.55305
24,24,1998,No migration background,At least once per week,0.04959,554,14085,0.04709,0.05237
25,25,1998,No migration background,At least once per month,0.0803,902,14085,0.07643,0.08339
26,26,1998,No migration background,Seldom,0.30315,3516,14085,0.29722,0.31004
27,27,1998,No migration background,Never,0.56696,6144,14085,0.55881,0.57733
28,28,1998,Direct migration background,At least once per week,0.04632,112,14085,0.03846,0.05421
29,29,1998,Direct migration background,At least once per month,0.05411,144,14085,0.04581,0.06551
30,30,1998,Direct migration background,Seldom,0.23376,519,14085,0.21365,0.25371
31,31,1998,Direct migration background,Never,0.66581,1604,14085,0.63898,0.69496
32,32,1998,Indirect migration background,At least once per week,0.11955,55,14085,0.09587,0.1449
33,33,1998,Indirect migration background,At least once per month,0.11042,73,14085,0.08366,0.14862
34,34,1998,Indirect migration background,Seldom,0.36156,217,14085,0.31525,0.42519
35,35,1998,Indirect migration background,Never,0.40847,245,14085,0.36352,0.46551
36,36,2003,No migration background,At least once per week,0.04574,927,21951,0.04339,0.04813
37,37,2003,No migration background,At least once per month,0.07876,1535,21951,0.07617,0.08154
38,38,2003,No migration background,Seldom,0.29788,5802,21951,0.29131,0.30393
39,39,2003,No migration background,Never,0.57762,10338,21951,0.56998,0.58531
40,40,2003,Direct migration background,At least once per week,0.04318,118,21951,0.03747,0.04954
41,41,2003,Direct migration background,At least once per month,0.05161,148,21951,0.04437,0.06022
42,42,2003,Direct migration background,Seldom,0.19296,493,21951,0.1776,0.20636
43,43,2003,Direct migration background,Never,0.71225,1828,21951,0.6897,0.73425
44,44,2003,Indirect migration background,At least once per week,0.10499,56,21951,0.08174,0.13107
45,45,2003,Indirect migration background,At least once per month,0.11307,90,21951,0.09178,0.13595
46,46,2003,Indirect migration background,Seldom,0.27698,224,21951,0.23972,0.30244
47,47,2003,Indirect migration background,Never,0.50496,392,21951,0.46156,0.56575
48,48,2008,No migration background,At least once per week,0.04799,796,19183,0.04545,0.05138
49,49,2008,No migration background,At least once per month,0.08461,1399,19183,0.08011,0.08873
50,50,2008,No migration background,Seldom,0.30394,5122,19183,0.29767,0.31106
51,51,2008,No migration background,Never,0.56346,9219,19183,0.55341,0.57312
52,52,2008,Direct migration background,At least once per week,0.04162,73,19183,0.03464,0.05075
53,53,2008,Direct migration background,At least once per month,0.05891,108,19183,0.05203,0.06722
54,54,2008,Direct migration background,Seldom,0.20073,380,19183,0.18501,0.2168
55,55,2008,Direct migration background,Never,0.69874,1336,19183,0.67111,0.73366
56,56,2008,Indirect migration background,At least once per week,0.08464,49,19183,0.06137,0.10436
57,57,2008,Indirect migration background,At least once per month,0.1398,97,19183,0.11946,0.16638
58,58,2008,Indirect migration background,Seldom,0.32074,237,19183,0.28368,0.36984
59,59,2008,Indirect migration background,Never,0.45482,367,19183,0.41248,0.49836
60,60,2013,No migration background,Daily,0.00219,33,25367,0.0014,0.00298
61,61,2013,No migration background,At least once per week,0.05864,1364,25367,0.05499,0.06224
62,62,2013,No migration background,At least once per month,0.09414,2124,25367,0.08965,0.09834
63,63,2013,No migration background,Seldom,0.31003,6728,25367,0.3024,0.31913
64,64,2013,No migration background,Never,0.535,11256,25367,0.52459,0.5435
65,65,2013,Direct migration background,At least once per week,0.04727,155,25367,0.03878,0.05865
66,66,2013,Direct migration background,At least once per month,0.06634,173,25367,0.05619,0.07881
67,67,2013,Direct migration background,Seldom,0.20966,562,25367,0.18488,0.2361
68,68,2013,Direct migration background,Never,0.67673,1853,25367,0.63356,0.72186
69,69,2013,Indirect migration background,At least once per week,0.08806,94,25367,0.06506,0.11717
70,70,2013,Indirect migration background,At least once per month,0.13556,136,25367,0.10466,0.17018
71,71,2013,Indirect migration background,Seldom,0.31234,341,25367,0.26657,0.35907
72,72,2013,Indirect migration background,Never,0.46404,548,25367,0.4064,0.51739
