year,bula_h,quintil_oecd,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,1st Quintile,Never,0.67900,47,47,0.54409,0.81392
1990,Schleswig-Holstein,2nd Quintile,Never,0.58485,35,35,0.41922,0.75049
1990,Schleswig-Holstein,3rd Quintile,Never,0.59755,31,31,0.42206,0.77303
1990,Lower Saxony,1st Quintile,Seldom,0.14397,36,193,0.09431,0.19363
1990,Lower Saxony,1st Quintile,Never,0.77205,157,193,0.71271,0.83139
1990,Lower Saxony,2nd Quintile,Seldom,0.30861,52,161,0.23704,0.38019
1990,Lower Saxony,2nd Quintile,Never,0.60530,109,161,0.52957,0.68104
1990,Lower Saxony,3rd Quintile,Seldom,0.32395,58,141,0.24643,0.40147
1990,Lower Saxony,3rd Quintile,Never,0.48106,83,141,0.39829,0.56382
1990,Lower Saxony,4th Quintile,Seldom,0.35535,73,169,0.28298,0.42773
1990,Lower Saxony,4th Quintile,Never,0.48197,96,169,0.40641,0.55752
1990,Lower Saxony,5th Quintile,Seldom,0.28522,54,147,0.21198,0.35846
1990,Lower Saxony,5th Quintile,Never,0.52446,93,147,0.44345,0.60547
1990,North Rhine-Westphalia,1st Quintile,At least once per week,0.06262,38,591,0.04307,0.08217
1990,North Rhine-Westphalia,1st Quintile,At least once per month,0.05790,39,591,0.03905,0.07675
1990,North Rhine-Westphalia,1st Quintile,Seldom,0.19454,101,591,0.16260,0.22648
1990,North Rhine-Westphalia,1st Quintile,Never,0.68169,413,591,0.64410,0.71928
1990,North Rhine-Westphalia,2nd Quintile,At least once per week,0.08022,46,552,0.05754,0.10290
1990,North Rhine-Westphalia,2nd Quintile,At least once per month,0.07839,52,552,0.05595,0.10083
1990,North Rhine-Westphalia,2nd Quintile,Seldom,0.21361,118,552,0.17939,0.24783
1990,North Rhine-Westphalia,2nd Quintile,Never,0.62617,336,552,0.58577,0.66657
1990,North Rhine-Westphalia,3rd Quintile,At least once per month,0.08797,38,457,0.06197,0.11397
1990,North Rhine-Westphalia,3rd Quintile,Seldom,0.30474,141,457,0.26249,0.34698
1990,North Rhine-Westphalia,3rd Quintile,Never,0.54949,278,457,0.50382,0.59516
1990,North Rhine-Westphalia,4th Quintile,At least once per month,0.08881,36,402,0.06097,0.11666
1990,North Rhine-Westphalia,4th Quintile,Seldom,0.26758,117,402,0.22425,0.31091
1990,North Rhine-Westphalia,4th Quintile,Never,0.57933,249,402,0.53101,0.62765
