"pli0089","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1990","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1990","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","236","0.0588405130164251","0.0513740701627985","0.0663069558700517"
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","120","0.063010150204277","0.0501106505950438","0.0759096498135102"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","109","0.0758268852673869","0.0620727302578381","0.0895810402769358"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","49","0.091802464230533","0.0669846374908253","0.116620290970241"
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","30","0.0500507164907128","0.0326468880255959","0.0674545449558297"
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","36","0.0652528701031514","0.0459981845165346","0.0845075556897681"
"Min 1x pro Monat","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","Hauptschule","kein Migrationshintergrund","336","0.0845014325688735","0.0756766344627627","0.0933262306749843"
"Min 1x pro Monat","1990","Hauptschule","direkter Migrationshintergrund","132","0.0849611564078111","0.070158824577129","0.0997634882384933"
"Min 1x pro Monat","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","Realschule","kein Migrationshintergrund","156","0.0990344737957177","0.0835144305497321","0.114554517041703"
"Min 1x pro Monat","1990","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","Realschule","indirekter Migrationshintergrund","","","",""
