year,age_gr,sampreg,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,West,At least once per week,0.11027,322,2699,0.09845,0.12209
1990,17-29 y.,West,At least once per month,0.14011,363,2699,0.12702,0.15321
1990,17-29 y.,West,Seldom,0.34817,852,2699,0.33019,0.36614
1990,17-29 y.,West,Never,0.39437,1162,2699,0.37593,0.41282
1990,30-45 y.,West,At least once per week,0.08238,215,2774,0.07215,0.09262
1990,30-45 y.,West,At least once per month,0.09725,269,2774,0.08622,0.10828
1990,30-45 y.,West,Seldom,0.31648,789,2774,0.29916,0.33379
1990,30-45 y.,West,Never,0.49931,1501,2774,0.48070,0.51792
1990,46-65 y.,West,At least once per week,0.04803,134,2893,0.04024,0.05583
1990,46-65 y.,West,At least once per month,0.07518,207,2893,0.06557,0.08479
1990,46-65 y.,West,Seldom,0.23838,615,2893,0.22285,0.25391
1990,46-65 y.,West,Never,0.63152,1937,2893,0.61394,0.64910
1990,66 and older,West,Seldom,0.08057,93,992,0.06363,0.09752
1990,66 and older,West,Never,0.87552,899,992,0.85496,0.89607
1995,17-29 y.,West,At least once per week,0.09296,231,2487,0.08155,0.10438
1995,17-29 y.,West,At least once per month,0.13947,347,2487,0.12585,0.15309
1995,17-29 y.,West,Seldom,0.34495,820,2487,0.32627,0.36364
1995,17-29 y.,West,Never,0.40875,1089,2487,0.38943,0.42808
1995,17-29 y.,East,At least once per week,0.06963,58,820,0.05220,0.08706
1995,17-29 y.,East,At least once per month,0.07636,69,820,0.05817,0.09455
1995,17-29 y.,East,Seldom,0.32909,293,820,0.29691,0.36127
1995,17-29 y.,East,Never,0.50157,400,820,0.46733,0.53582
1995,30-45 y.,West,At least once per week,0.05305,164,3137,0.04521,0.06090
1995,30-45 y.,West,At least once per month,0.08718,270,3137,0.07731,0.09706
1995,30-45 y.,West,Seldom,0.34362,986,3137,0.32700,0.36024
1995,30-45 y.,West,Never,0.50812,1717,3137,0.49063,0.52562
1995,30-45 y.,East,At least once per week,0.03204,40,1275,0.02237,0.04171
1995,30-45 y.,East,At least once per month,0.05825,75,1275,0.04539,0.07111
1995,30-45 y.,East,Seldom,0.28683,366,1275,0.26200,0.31167
1995,30-45 y.,East,Never,0.61853,794,1275,0.59186,0.64520
1995,46-65 y.,West,At least once per week,0.05031,121,2770,0.04217,0.05845
1995,46-65 y.,West,At least once per month,0.05787,162,2770,0.04917,0.06657
1995,46-65 y.,West,Seldom,0.25592,650,2770,0.23967,0.27218
1995,46-65 y.,West,Never,0.62858,1837,2770,0.61058,0.64657
1995,46-65 y.,East,At least once per week,0.02516,33,1165,0.01616,0.03416
1995,46-65 y.,East,At least once per month,0.05130,61,1165,0.03862,0.06397
1995,46-65 y.,East,Seldom,0.24322,302,1165,0.21858,0.26787
1995,46-65 y.,East,Never,0.67083,769,1165,0.64383,0.69783
1995,66 and older,West,At least once per month,0.03061,36,1086,0.02036,0.04086
1995,66 and older,West,Seldom,0.09787,111,1086,0.08019,0.11555
1995,66 and older,West,Never,0.84033,939,1086,0.81854,0.86213
1995,66 and older,East,Never,0.89205,359,359,0.85990,0.92419
1998,17-29 y.,West,At least once per week,0.09491,205,2271,0.08285,0.10696
1998,17-29 y.,West,At least once per month,0.13618,304,2271,0.12207,0.15029
1998,17-29 y.,West,Seldom,0.37622,835,2271,0.35629,0.39615
1998,17-29 y.,West,Never,0.37830,927,2271,0.35834,0.39825
1998,17-29 y.,East,At least once per week,0.07330,67,859,0.05586,0.09074
1998,17-29 y.,East,At least once per month,0.10194,92,859,0.08170,0.12219
1998,17-29 y.,East,Seldom,0.35148,320,859,0.31953,0.38342
1998,17-29 y.,East,Never,0.45741,380,859,0.42407,0.49074
1998,30-45 y.,West,At least once per week,0.06842,222,3553,0.06011,0.07672
1998,30-45 y.,West,At least once per month,0.09105,325,3553,0.08159,0.10051
1998,30-45 y.,West,Seldom,0.36885,1284,3553,0.35298,0.38472
1998,30-45 y.,West,Never,0.46439,1722,3553,0.44799,0.48079
1998,30-45 y.,East,At least once per week,0.04067,51,1242,0.02968,0.05166
1998,30-45 y.,East,At least once per month,0.07709,87,1242,0.06225,0.09194
1998,30-45 y.,East,Seldom,0.31689,399,1242,0.29100,0.34277
1998,30-45 y.,East,Never,0.55945,705,1242,0.53183,0.58707
1998,46-65 y.,West,At least once per week,0.04005,123,3086,0.03313,0.04697
1998,46-65 y.,West,At least once per month,0.07107,204,3086,0.06201,0.08014
1998,46-65 y.,West,Seldom,0.28739,827,3086,0.27142,0.30336
1998,46-65 y.,West,Never,0.58857,1932,3086,0.57121,0.60594
1998,46-65 y.,East,At least once per month,0.04035,54,1234,0.02937,0.05134
1998,46-65 y.,East,Seldom,0.27779,362,1234,0.25278,0.30279
1998,46-65 y.,East,Never,0.65095,818,1234,0.62435,0.67756
1998,66 and older,West,At least once per month,0.02771,40,1331,0.01889,0.03653
1998,66 and older,West,Seldom,0.12313,178,1331,0.10547,0.14079
1998,66 and older,West,Never,0.80765,1113,1331,0.78647,0.82884
1998,66 and older,East,Seldom,0.09029,47,443,0.06357,0.11700
1998,66 and older,East,Never,0.83996,396,443,0.80578,0.87414
2003,17-29 y.,West,At least once per week,0.09132,277,2894,0.08083,0.10182
2003,17-29 y.,West,At least once per month,0.13513,416,2894,0.12267,0.14759
2003,17-29 y.,West,Seldom,0.32139,972,2894,0.30437,0.33840
2003,17-29 y.,West,Never,0.43601,1229,2894,0.41794,0.45408
2003,17-29 y.,East,At least once per week,0.05654,64,1063,0.04265,0.07043
2003,17-29 y.,East,At least once per month,0.11731,133,1063,0.09796,0.13667
2003,17-29 y.,East,Seldom,0.38883,418,1063,0.35951,0.41814
2003,17-29 y.,East,Never,0.43226,448,1063,0.40247,0.46206
2003,30-45 y.,West,At least once per week,0.06103,343,5408,0.05465,0.06741
2003,30-45 y.,West,At least once per month,0.09486,525,5408,0.08705,0.10267
2003,30-45 y.,West,Seldom,0.34470,1851,5408,0.33203,0.35737
2003,30-45 y.,West,Never,0.49238,2689,5408,0.47906,0.50571
2003,30-45 y.,East,At least once per week,0.04229,70,1471,0.03201,0.05258
2003,30-45 y.,East,At least once per month,0.07204,93,1471,0.05882,0.08526
2003,30-45 y.,East,Seldom,0.34797,507,1471,0.32362,0.37232
2003,30-45 y.,East,Never,0.52417,801,1471,0.49864,0.54970
2003,46-65 y.,West,At least once per week,0.03955,231,5638,0.03446,0.04464
2003,46-65 y.,West,At least once per month,0.06794,393,5638,0.06137,0.07451
2003,46-65 y.,West,Seldom,0.28363,1680,5638,0.27186,0.29539
2003,46-65 y.,West,Never,0.59515,3334,5638,0.58234,0.60797
2003,46-65 y.,East,At least once per week,0.02560,53,1864,0.01843,0.03278
2003,46-65 y.,East,At least once per month,0.05380,98,1864,0.04355,0.06404
2003,46-65 y.,East,Seldom,0.28146,552,1864,0.26104,0.30188
2003,46-65 y.,East,Never,0.63091,1161,1864,0.60900,0.65282
2003,66 and older,West,At least once per week,0.01578,48,2710,0.01109,0.02048
2003,66 and older,West,At least once per month,0.02628,90,2710,0.02026,0.03230
2003,66 and older,West,Seldom,0.14654,404,2710,0.13322,0.15986
2003,66 and older,West,Never,0.79972,2168,2710,0.78465,0.81479
2003,66 and older,East,Seldom,0.13752,135,863,0.11453,0.16052
2003,66 and older,East,Never,0.81028,728,863,0.78410,0.83645
2008,17-29 y.,West,At least once per week,0.09601,232,2293,0.08395,0.10807
2008,17-29 y.,West,At least once per month,0.12369,314,2293,0.11021,0.13717
2008,17-29 y.,West,Seldom,0.32066,819,2293,0.30156,0.33977
2008,17-29 y.,West,Never,0.36634,928,2293,0.34661,0.38606
2008,17-29 y.,East,At least once per week,0.09898,71,814,0.07845,0.11951
2008,17-29 y.,East,At least once per month,0.10497,77,814,0.08390,0.12604
2008,17-29 y.,East,Seldom,0.29475,270,814,0.26341,0.32610
2008,17-29 y.,East,Never,0.45214,396,814,0.41793,0.48636
2008,30-45 y.,West,At least once per week,0.05168,226,4004,0.04482,0.05854
2008,30-45 y.,West,At least once per month,0.11325,457,4004,0.10344,0.12307
2008,30-45 y.,West,Seldom,0.36026,1429,4004,0.34539,0.37514
2008,30-45 y.,West,Never,0.47026,1892,4004,0.45480,0.48572
2008,30-45 y.,East,At least once per week,0.04344,58,1144,0.03162,0.05526
2008,30-45 y.,East,At least once per month,0.07395,78,1144,0.05878,0.08912
2008,30-45 y.,East,Seldom,0.35614,391,1144,0.32838,0.38390
2008,30-45 y.,East,Never,0.52261,617,1144,0.49365,0.55156
2008,46-65 y.,West,At least once per week,0.03808,191,4989,0.03276,0.04339
2008,46-65 y.,West,At least once per month,0.07430,408,4989,0.06702,0.08157
2008,46-65 y.,West,Seldom,0.28985,1525,4989,0.27726,0.30244
2008,46-65 y.,West,Never,0.59090,2865,4989,0.57726,0.60455
2008,46-65 y.,East,At least once per week,0.03185,52,1677,0.02344,0.04026
2008,46-65 y.,East,At least once per month,0.05419,95,1677,0.04335,0.06502
2008,46-65 y.,East,Seldom,0.29739,510,1677,0.27551,0.31928
2008,46-65 y.,East,Never,0.61181,1020,1677,0.58848,0.63514
2008,66 and older,West,At least once per week,0.02501,73,3152,0.01956,0.03046
2008,66 and older,West,At least once per month,0.04089,132,3152,0.03398,0.04781
2008,66 and older,West,Seldom,0.16845,588,3152,0.15538,0.18152
2008,66 and older,West,Never,0.75481,2359,3152,0.73979,0.76983
2008,66 and older,East,At least once per month,0.03352,43,1095,0.02285,0.04419
2008,66 and older,East,Seldom,0.16176,207,1095,0.13994,0.18358
2008,66 and older,East,Never,0.78997,845,1095,0.76583,0.81411
2013,17-29 y.,West,At least once per week,0.09669,319,2837,0.08582,0.10757
2013,17-29 y.,West,At least once per month,0.12091,424,2837,0.10891,0.13291
2013,17-29 y.,West,Seldom,0.23995,932,2837,0.22423,0.25566
2013,17-29 y.,West,Never,0.26173,1162,2837,0.24555,0.27790
2013,17-29 y.,East,At least once per week,0.10367,63,698,0.08104,0.12630
2013,17-29 y.,East,At least once per month,0.09669,71,698,0.07475,0.11863
2013,17-29 y.,East,Seldom,0.31163,215,698,0.27725,0.34602
2013,17-29 y.,East,Never,0.36945,349,698,0.33361,0.40528
2013,30-45 y.,West,At least once per week,0.05592,521,6270,0.05023,0.06161
2013,30-45 y.,West,At least once per month,0.09129,702,6270,0.08416,0.09842
2013,30-45 y.,West,Seldom,0.29002,1977,6270,0.27878,0.30125
2013,30-45 y.,West,Never,0.37478,3070,6270,0.36280,0.38676
2013,30-45 y.,East,At least once per week,0.04239,86,1698,0.03281,0.05198
2013,30-45 y.,East,At least once per month,0.11492,159,1698,0.09974,0.13009
2013,30-45 y.,East,Seldom,0.32621,566,1698,0.30390,0.34851
2013,30-45 y.,East,Never,0.44011,887,1698,0.41649,0.46373
2013,46-65 y.,West,At least once per week,0.05037,415,6870,0.04519,0.05554
2013,46-65 y.,West,At least once per month,0.08260,654,6870,0.07609,0.08911
2013,46-65 y.,West,Seldom,0.31529,2292,6870,0.30430,0.32628
2013,46-65 y.,West,Never,0.48286,3509,6870,0.47105,0.49468
2013,46-65 y.,East,At least once per week,0.03773,82,2073,0.02953,0.04594
2013,46-65 y.,East,At least once per month,0.07362,151,2073,0.06237,0.08486
2013,46-65 y.,East,Seldom,0.28121,572,2073,0.26185,0.30056
2013,46-65 y.,East,Never,0.58009,1268,2073,0.55883,0.60134
2013,66 and older,West,At least once per week,0.02579,104,3674,0.02066,0.03091
2013,66 and older,West,At least once per month,0.05199,219,3674,0.04481,0.05917
2013,66 and older,West,Seldom,0.19124,783,3674,0.17852,0.20396
2013,66 and older,West,Never,0.70197,2568,3674,0.68718,0.71676
2013,66 and older,East,At least once per month,0.03360,53,1191,0.02336,0.04384
2013,66 and older,East,Seldom,0.20925,294,1191,0.18614,0.23236
2013,66 and older,East,Never,0.72947,844,1191,0.70423,0.75471
2017,17-29 y.,West,At least once per week,0.00149,84,1213,-0.00068,0.00366
2017,17-29 y.,West,At least once per month,0.00126,81,1213,-0.00074,0.00327
2017,17-29 y.,West,Seldom,0.00300,197,1213,-0.00008,0.00609
2017,17-29 y.,West,Never,0.01222,851,1213,0.00604,0.01841
2017,17-29 y.,East,Never,0.01607,149,149,-0.00419,0.03633
2017,30-45 y.,West,At least once per week,0.00061,92,1573,-0.00061,0.00184
2017,30-45 y.,West,At least once per month,0.00045,73,1573,-0.00060,0.00149
2017,30-45 y.,West,Seldom,0.00183,262,1573,-0.00028,0.00394
2017,30-45 y.,West,Never,0.00777,1146,1573,0.00343,0.01211
2017,30-45 y.,East,Seldom,0.00144,42,246,-0.00331,0.00620
2017,30-45 y.,East,Never,0.00623,204,246,-0.00362,0.01608
2017,46-65 y.,West,Seldom,0.00027,69,477,-0.00121,0.00175
2017,46-65 y.,West,Never,0.00179,408,477,-0.00201,0.00558
2017,46-65 y.,East,Never,0.00156,60,60,-0.00851,0.01163
2017,66 and older,West,Never,0.00040,31,31,-0.00678,0.00759
2018,17-29 y.,West,At least once per week,0.00186,87,878,-0.00099,0.00470
2018,17-29 y.,West,At least once per month,0.00202,84,878,-0.00095,0.00499
2018,17-29 y.,West,Seldom,0.00434,197,878,-0.00001,0.00869
2018,17-29 y.,West,Never,0.01007,510,878,0.00346,0.01668
2018,17-29 y.,East,Never,0.01264,94,94,-0.01007,0.03534
2018,30-45 y.,West,At least once per week,0.00064,94,1295,-0.00074,0.00202
2018,30-45 y.,West,At least once per month,0.00089,116,1295,-0.00073,0.00252
2018,30-45 y.,West,Seldom,0.00225,260,1295,-0.00033,0.00483
2018,30-45 y.,West,Never,0.00721,825,1295,0.00260,0.01182
2018,30-45 y.,East,Never,0.00727,199,199,-0.00456,0.01911
2018,46-65 y.,West,At least once per week,0.00013,31,469,-0.00091,0.00118
2018,46-65 y.,West,At least once per month,0.00019,44,469,-0.00106,0.00145
2018,46-65 y.,West,Seldom,0.00027,88,469,-0.00121,0.00175
2018,46-65 y.,West,Never,0.00156,306,469,-0.00202,0.00513
2018,46-65 y.,East,Never,0.00150,44,44,-0.01007,0.01307
2019,17-29 y.,West,At least once per week,0.08726,406,3949,0.07846,0.09606
2019,17-29 y.,West,At least once per month,0.12634,470,3949,0.11597,0.13670
2019,17-29 y.,West,Seldom,0.30810,1201,3949,0.29370,0.32250
2019,17-29 y.,West,Never,0.40002,1872,3949,0.38473,0.41530
2019,17-29 y.,East,At least once per week,0.09082,65,763,0.07042,0.11122
2019,17-29 y.,East,At least once per month,0.11899,96,763,0.09600,0.14198
2019,17-29 y.,East,Seldom,0.27532,227,763,0.24360,0.30703
2019,17-29 y.,East,Never,0.41747,375,763,0.38246,0.45249
2019,30-45 y.,West,At least once per week,0.05923,513,6243,0.05338,0.06509
2019,30-45 y.,West,At least once per month,0.12756,660,6243,0.11928,0.13583
2019,30-45 y.,West,Seldom,0.33133,1865,6243,0.31965,0.34301
2019,30-45 y.,West,Never,0.47704,3205,6243,0.46465,0.48943
2019,30-45 y.,East,At least once per week,0.04447,82,1558,0.03423,0.05470
2019,30-45 y.,East,At least once per month,0.11545,147,1558,0.09958,0.13133
2019,30-45 y.,East,Seldom,0.35771,499,1558,0.33390,0.38152
2019,30-45 y.,East,Never,0.47876,830,1558,0.45394,0.50357
2019,46-65 y.,West,At least once per week,0.05138,496,8595,0.04671,0.05605
2019,46-65 y.,West,At least once per month,0.10416,954,8595,0.09770,0.11062
2019,46-65 y.,West,Seldom,0.30931,2687,8595,0.29954,0.31909
2019,46-65 y.,West,Never,0.53060,4458,8595,0.52005,0.54115
2019,46-65 y.,East,At least once per week,0.03955,103,2331,0.03163,0.04746
2019,46-65 y.,East,At least once per month,0.07820,220,2331,0.06730,0.08910
2019,46-65 y.,East,Seldom,0.33330,762,2331,0.31416,0.35244
2019,46-65 y.,East,Never,0.53990,1246,2331,0.51966,0.56014
2019,66 and older,West,At least once per week,0.02909,132,3864,0.02379,0.03439
2019,66 and older,West,At least once per month,0.05798,253,3864,0.05061,0.06535
2019,66 and older,West,Seldom,0.21090,921,3864,0.19804,0.22377
2019,66 and older,West,Never,0.69390,2558,3864,0.67937,0.70844
2019,66 and older,East,At least once per week,0.02416,37,1285,0.01576,0.03256
2019,66 and older,East,At least once per month,0.04977,91,1285,0.03787,0.06166
2019,66 and older,East,Seldom,0.24507,358,1285,0.22155,0.26860
2019,66 and older,East,Never,0.67620,799,1285,0.65060,0.70179
