,Unnamed: 0,year,pgisced97,regtyp,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Pre-primary Level,Urban regions,Seldom,0.69669,57,8877,0.60754,0.79151
1,1,1990,Pre-primary Level,Urban regions,Never,0.30331,38,8877,0.22839,0.37706
2,2,1990,Primary Level,Urban regions,At least once per month,0.10961,37,8877,0.07109,0.14501
3,3,1990,Primary Level,Urban regions,Seldom,0.09585,55,8877,0.07661,0.11638
4,4,1990,Primary Level,Urban regions,Never,0.79454,435,8877,0.71739,0.86626
5,5,1990,Primary Level,Rural regions,Never,1.0,56,8877,0.76466,1.2779
6,6,1990,Lower Secondary Level,Urban regions,At least once per week,0.04483,125,8877,0.03849,0.05173
7,7,1990,Lower Secondary Level,Urban regions,At least once per month,0.07301,166,8877,0.06495,0.08195
8,8,1990,Lower Secondary Level,Urban regions,Seldom,0.17726,351,8877,0.1644,0.18835
9,9,1990,Lower Secondary Level,Urban regions,Never,0.70489,1269,8877,0.67575,0.73498
10,10,1990,Lower Secondary Level,Rural regions,At least once per week,0.0639,37,8877,0.05159,0.07594
11,11,1990,Lower Secondary Level,Rural regions,Seldom,0.21874,121,8877,0.19683,0.24138
12,12,1990,Lower Secondary Level,Rural regions,Never,0.71736,352,8877,0.68275,0.77021
13,13,1990,Upper Secondary Level,Urban regions,At least once per week,0.06768,258,8877,0.06222,0.07349
14,14,1990,Upper Secondary Level,Urban regions,At least once per month,0.1013,384,8877,0.09577,0.10726
15,15,1990,Upper Secondary Level,Urban regions,Seldom,0.27216,945,8877,0.26251,0.28189
16,16,1990,Upper Secondary Level,Urban regions,Never,0.55885,1899,8877,0.54404,0.57054
17,17,1990,Upper Secondary Level,Rural regions,At least once per week,0.09522,105,8877,0.08596,0.10467
18,18,1990,Upper Secondary Level,Rural regions,At least once per month,0.0993,104,8877,0.09072,0.10731
19,19,1990,Upper Secondary Level,Rural regions,Seldom,0.30195,313,8877,0.28729,0.31907
20,20,1990,Upper Secondary Level,Rural regions,Never,0.50352,500,8877,0.47778,0.52687
21,21,1990,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.35376,65,8877,0.29788,0.42154
22,22,1990,Post-secondary Non-tertiary Level,Urban regions,Never,0.64624,139,8877,0.5619,0.74394
23,23,1990,First Stage of Tertiary Education,Urban regions,At least once per month,0.096,34,8877,0.0842,0.10885
