year,age_gr,quintil_oecd,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,1st Quintile,"No, never",0.15590,145,347,0.11768,0.19412
2005,17-29 y.,1st Quintile,"Yes, every week",0.07428,63,347,0.04665,0.10191
2005,17-29 y.,1st Quintile,"Yes, every 2 weeks",0.08783,76,347,0.05800,0.11765
2005,17-29 y.,1st Quintile,"Yes, less frequently",0.07188,63,347,0.04467,0.09910
2005,17-29 y.,2nd Quintile,"No, never",0.20691,159,347,0.16422,0.24959
2005,17-29 y.,2nd Quintile,"Yes, every week",0.07356,55,347,0.04605,0.10107
2005,17-29 y.,2nd Quintile,"Yes, every 2 weeks",0.09491,65,347,0.06403,0.12580
2005,17-29 y.,2nd Quintile,"Yes, less frequently",0.09581,68,347,0.06480,0.12683
2005,17-29 y.,3rd Quintile,"No, never",0.24583,173,410,0.20410,0.28756
2005,17-29 y.,3rd Quintile,"Yes, every week",0.10958,64,410,0.07931,0.13985
2005,17-29 y.,3rd Quintile,"Yes, every 2 weeks",0.08471,56,410,0.05772,0.11170
2005,17-29 y.,3rd Quintile,"Yes, every 3-4 weeks",0.04656,40,410,0.02614,0.06698
2005,17-29 y.,3rd Quintile,"Yes, less frequently",0.13396,77,410,0.10095,0.16698
2005,17-29 y.,4th Quintile,"No, never",0.28057,197,448,0.23892,0.32222
2005,17-29 y.,4th Quintile,"Yes, every week",0.10542,60,448,0.07695,0.13389
2005,17-29 y.,4th Quintile,"Yes, every 2 weeks",0.11899,71,448,0.08898,0.14901
2005,17-29 y.,4th Quintile,"Yes, every 3-4 weeks",0.03549,36,448,0.01834,0.05264
2005,17-29 y.,4th Quintile,"Yes, less frequently",0.12094,84,448,0.09072,0.15117
2005,17-29 y.,5th Quintile,"No, never",0.23763,163,410,0.19638,0.27888
2005,17-29 y.,5th Quintile,"Yes, every week",0.06226,53,410,0.03884,0.08567
2005,17-29 y.,5th Quintile,"Yes, every 2 weeks",0.09798,63,410,0.06917,0.12679
2005,17-29 y.,5th Quintile,"Yes, every 3-4 weeks",0.07391,39,410,0.04855,0.09926
2005,17-29 y.,5th Quintile,"Yes, less frequently",0.13899,92,410,0.10547,0.17252
2005,30-45 y.,1st Quintile,"No, never",0.20796,179,450,0.17042,0.24550
2005,30-45 y.,1st Quintile,"Yes, every week",0.09684,75,450,0.06948,0.12419
2005,30-45 y.,1st Quintile,"Yes, every 2 weeks",0.08950,73,450,0.06309,0.11590
2005,30-45 y.,1st Quintile,"Yes, every 3-4 weeks",0.04058,39,450,0.02233,0.05884
2005,30-45 y.,1st Quintile,"Yes, less frequently",0.09104,84,450,0.06443,0.11765
2005,30-45 y.,2nd Quintile,"No, never",0.22874,240,761,0.19888,0.25860
2005,30-45 y.,2nd Quintile,"Yes, every week",0.12119,121,761,0.09799,0.14439
2005,30-45 y.,2nd Quintile,"Yes, every 2 weeks",0.11477,127,761,0.09211,0.13744
2005,30-45 y.,2nd Quintile,"Yes, every 3-4 weeks",0.09964,85,761,0.07835,0.12094
2005,30-45 y.,2nd Quintile,"Yes, less frequently",0.16818,188,761,0.14159,0.19478
2005,30-45 y.,3rd Quintile,"No, never",0.25907,321,965,0.23141,0.28673
2005,30-45 y.,3rd Quintile,"Yes, every week",0.11339,117,965,0.09337,0.13340
2005,30-45 y.,3rd Quintile,"Yes, every 2 weeks",0.14169,176,965,0.11968,0.16371
2005,30-45 y.,3rd Quintile,"Yes, every 3-4 weeks",0.08700,110,965,0.06921,0.10479
2005,30-45 y.,3rd Quintile,"Yes, less frequently",0.21811,241,965,0.19204,0.24417
2005,30-45 y.,4th Quintile,"No, never",0.32815,433,1175,0.30129,0.35501
2005,30-45 y.,4th Quintile,"Yes, every week",0.10888,137,1175,0.09106,0.12670
2005,30-45 y.,4th Quintile,"Yes, every 2 weeks",0.13154,164,1175,0.11220,0.15087
2005,30-45 y.,4th Quintile,"Yes, every 3-4 weeks",0.08379,121,1175,0.06794,0.09964
2005,30-45 y.,4th Quintile,"Yes, less frequently",0.23127,320,1175,0.20715,0.25539
2005,30-45 y.,5th Quintile,"No, never",0.28512,522,1495,0.26222,0.30801
2005,30-45 y.,5th Quintile,"Yes, every week",0.12603,188,1495,0.10920,0.14286
2005,30-45 y.,5th Quintile,"Yes, every 2 weeks",0.11225,177,1495,0.09624,0.12825
2005,30-45 y.,5th Quintile,"Yes, every 3-4 weeks",0.09298,142,1495,0.07826,0.10771
2005,30-45 y.,5th Quintile,"Yes, less frequently",0.29900,466,1495,0.27579,0.32222
2005,46-65 y.,1st Quintile,"No, never",0.10509,69,164,0.05801,0.15217
2005,46-65 y.,1st Quintile,"Yes, every week",0.05417,42,164,0.01942,0.08891
2005,46-65 y.,1st Quintile,"Yes, less frequently",0.06346,53,164,0.02604,0.10089
2005,46-65 y.,2nd Quintile,"No, never",0.19639,175,454,0.15981,0.23297
2005,46-65 y.,2nd Quintile,"Yes, every week",0.05521,57,454,0.03418,0.07625
2005,46-65 y.,2nd Quintile,"Yes, every 2 weeks",0.07377,68,454,0.04970,0.09785
2005,46-65 y.,2nd Quintile,"Yes, every 3-4 weeks",0.04955,46,454,0.02956,0.06953
2005,46-65 y.,2nd Quintile,"Yes, less frequently",0.12224,108,454,0.09208,0.15241
2005,46-65 y.,3rd Quintile,"No, never",0.24933,280,685,0.21691,0.28175
2005,46-65 y.,3rd Quintile,"Yes, every week",0.08175,86,685,0.06122,0.10229
2005,46-65 y.,3rd Quintile,"Yes, every 2 weeks",0.10457,101,685,0.08164,0.12751
2005,46-65 y.,3rd Quintile,"Yes, every 3-4 weeks",0.04270,49,685,0.02755,0.05786
2005,46-65 y.,3rd Quintile,"Yes, less frequently",0.13679,169,685,0.11104,0.16255
2005,46-65 y.,4th Quintile,"No, never",0.26150,402,991,0.23412,0.28887
2005,46-65 y.,4th Quintile,"Yes, every week",0.08600,124,991,0.06854,0.10347
2005,46-65 y.,4th Quintile,"Yes, every 2 weeks",0.08641,128,991,0.06890,0.10391
2005,46-65 y.,4th Quintile,"Yes, every 3-4 weeks",0.04971,73,991,0.03617,0.06325
2005,46-65 y.,4th Quintile,"Yes, less frequently",0.18371,264,991,0.15959,0.20784
2005,46-65 y.,5th Quintile,"No, never",0.28700,762,2091,0.26760,0.30639
2005,46-65 y.,5th Quintile,"Yes, every week",0.12027,325,2091,0.10633,0.13422
2005,46-65 y.,5th Quintile,"Yes, every 2 weeks",0.07188,206,2091,0.06081,0.08295
2005,46-65 y.,5th Quintile,"Yes, every 3-4 weeks",0.06947,189,2091,0.05857,0.08037
2005,46-65 y.,5th Quintile,"Yes, less frequently",0.21622,609,2091,0.19857,0.23387
2007,17-29 y.,1st Quintile,"No, never",0.17896,170,406,0.14163,0.21629
2007,17-29 y.,1st Quintile,"Yes, every week",0.08535,67,406,0.05814,0.11256
2007,17-29 y.,1st Quintile,"Yes, every 2 weeks",0.06727,70,406,0.04287,0.09167
2007,17-29 y.,1st Quintile,"Yes, every 3-4 weeks",0.03608,37,406,0.01792,0.05424
2007,17-29 y.,1st Quintile,"Yes, less frequently",0.06034,62,406,0.03715,0.08353
2007,17-29 y.,2nd Quintile,"No, never",0.16903,126,368,0.13069,0.20737
2007,17-29 y.,2nd Quintile,"Yes, every week",0.09426,72,368,0.06436,0.12415
2007,17-29 y.,2nd Quintile,"Yes, every 2 weeks",0.07713,65,368,0.04983,0.10443
2007,17-29 y.,2nd Quintile,"Yes, every 3-4 weeks",0.04720,36,368,0.02550,0.06889
2007,17-29 y.,2nd Quintile,"Yes, less frequently",0.10793,69,368,0.07619,0.13968
2007,17-29 y.,3rd Quintile,"No, never",0.26699,175,404,0.22380,0.31018
2007,17-29 y.,3rd Quintile,"Yes, every week",0.10628,55,404,0.07619,0.13637
2007,17-29 y.,3rd Quintile,"Yes, every 2 weeks",0.10403,71,404,0.07422,0.13384
2007,17-29 y.,3rd Quintile,"Yes, every 3-4 weeks",0.06312,34,404,0.03938,0.08686
2007,17-29 y.,3rd Quintile,"Yes, less frequently",0.10155,69,404,0.07206,0.13104
2007,17-29 y.,4th Quintile,"No, never",0.29398,174,429,0.25082,0.33714
2007,17-29 y.,4th Quintile,"Yes, every week",0.07766,51,429,0.05231,0.10302
2007,17-29 y.,4th Quintile,"Yes, every 2 weeks",0.12282,83,429,0.09172,0.15392
2007,17-29 y.,4th Quintile,"Yes, every 3-4 weeks",0.04979,33,429,0.02918,0.07039
2007,17-29 y.,4th Quintile,"Yes, less frequently",0.13143,88,429,0.09942,0.16344
2007,17-29 y.,5th Quintile,"No, never",0.22530,131,304,0.17825,0.27234
2007,17-29 y.,5th Quintile,"Yes, every week",0.06859,50,304,0.04013,0.09705
2007,17-29 y.,5th Quintile,"Yes, every 2 weeks",0.11130,46,304,0.07589,0.14671
2007,17-29 y.,5th Quintile,"Yes, less frequently",0.13983,77,304,0.10078,0.17888
2007,30-45 y.,1st Quintile,"No, never",0.18568,149,425,0.14867,0.22270
2007,30-45 y.,1st Quintile,"Yes, every week",0.07909,65,425,0.05340,0.10477
2007,30-45 y.,1st Quintile,"Yes, every 2 weeks",0.10976,82,425,0.08001,0.13952
2007,30-45 y.,1st Quintile,"Yes, every 3-4 weeks",0.04400,40,425,0.02448,0.06352
2007,30-45 y.,1st Quintile,"Yes, less frequently",0.13296,89,425,0.10064,0.16528
2007,30-45 y.,2nd Quintile,"No, never",0.26041,262,803,0.23004,0.29079
2007,30-45 y.,2nd Quintile,"Yes, every week",0.12014,121,803,0.09763,0.14264
2007,30-45 y.,2nd Quintile,"Yes, every 2 weeks",0.12980,138,803,0.10654,0.15306
2007,30-45 y.,2nd Quintile,"Yes, every 3-4 weeks",0.09589,95,803,0.07552,0.11627
2007,30-45 y.,2nd Quintile,"Yes, less frequently",0.16809,187,803,0.14221,0.19397
2007,30-45 y.,3rd Quintile,"No, never",0.27205,319,965,0.24396,0.30014
2007,30-45 y.,3rd Quintile,"Yes, every week",0.11399,128,965,0.09393,0.13406
2007,30-45 y.,3rd Quintile,"Yes, every 2 weeks",0.17752,196,965,0.15339,0.20164
2007,30-45 y.,3rd Quintile,"Yes, every 3-4 weeks",0.09886,101,965,0.08002,0.11771
2007,30-45 y.,3rd Quintile,"Yes, less frequently",0.19076,221,965,0.16596,0.21556
2007,30-45 y.,4th Quintile,"No, never",0.28361,394,1163,0.25769,0.30952
2007,30-45 y.,4th Quintile,"Yes, every week",0.09944,152,1163,0.08223,0.11665
2007,30-45 y.,4th Quintile,"Yes, every 2 weeks",0.15758,180,1163,0.13663,0.17853
2007,30-45 y.,4th Quintile,"Yes, every 3-4 weeks",0.08978,113,1163,0.07335,0.10622
2007,30-45 y.,4th Quintile,"Yes, less frequently",0.26415,324,1163,0.23880,0.28950
2007,30-45 y.,5th Quintile,"No, never",0.29653,476,1356,0.27221,0.32085
