year,age_gr,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,"No, never",0.21644,837,2014,0.19845,0.23443
2005,17-29 y.,"Yes, every week",0.08485,295,2014,0.07268,0.09703
2005,17-29 y.,"Yes, every 2 weeks",0.09540,331,2014,0.08256,0.10823
2005,17-29 y.,"Yes, every 3-4 weeks",0.04246,167,2014,0.03365,0.05126
2005,17-29 y.,"Yes, less frequently",0.10633,384,2014,0.09286,0.11979
2005,30-45 y.,"No, never",0.26643,1695,4846,0.25398,0.27888
2005,30-45 y.,"Yes, every week",0.11374,638,4846,0.10480,0.12268
2005,30-45 y.,"Yes, every 2 weeks",0.11928,717,4846,0.11015,0.12840
2005,30-45 y.,"Yes, every 3-4 weeks",0.08199,497,4846,0.07427,0.08972
2005,30-45 y.,"Yes, less frequently",0.20904,1299,4846,0.19759,0.22049
2005,46-65 y.,"No, never",0.23251,1688,4428,0.22006,0.24495
2005,46-65 y.,"Yes, every week",0.08531,634,4428,0.07708,0.09354
2005,46-65 y.,"Yes, every 2 weeks",0.07668,533,4428,0.06884,0.08452
2005,46-65 y.,"Yes, every 3-4 weeks",0.04950,370,4428,0.04311,0.05589
2005,46-65 y.,"Yes, less frequently",0.15628,1203,4428,0.14559,0.16698
2005,66 and older,"No, never",0.01326,56,91,-0.01037,0.03689
2005,66 and older,"Yes, every week",0.00988,35,91,-0.01055,0.03032
2007,17-29 y.,"No, never",0.21972,776,1940,0.20129,0.23815
2007,17-29 y.,"Yes, every week",0.08797,295,1940,0.07536,0.10058
2007,17-29 y.,"Yes, every 2 weeks",0.09151,335,1940,0.07867,0.10434
2007,17-29 y.,"Yes, every 3-4 weeks",0.04911,169,1940,0.03949,0.05873
2007,17-29 y.,"Yes, less frequently",0.10024,365,1940,0.08687,0.11361
2007,30-45 y.,"No, never",0.26417,1600,4712,0.25158,0.27676
2007,30-45 y.,"Yes, every week",0.11081,641,4712,0.10185,0.11977
2007,30-45 y.,"Yes, every 2 weeks",0.13753,753,4712,0.12770,0.14737
2007,30-45 y.,"Yes, every 3-4 weeks",0.09251,498,4712,0.08424,0.10078
2007,30-45 y.,"Yes, less frequently",0.21138,1220,4712,0.19972,0.22304
2007,46-65 y.,"No, never",0.23690,1713,4649,0.22468,0.24913
2007,46-65 y.,"Yes, every week",0.09558,706,4649,0.08713,0.10404
2007,46-65 y.,"Yes, every 2 weeks",0.08437,589,4649,0.07638,0.09236
2007,46-65 y.,"Yes, every 3-4 weeks",0.05562,432,4649,0.04903,0.06221
2007,46-65 y.,"Yes, less frequently",0.15885,1209,4649,0.14835,0.16936
2007,66 and older,"No, never",0.01439,63,150,-0.00473,0.03352
2007,66 and older,"Yes, every week",0.01000,47,150,-0.00598,0.02598
2007,66 and older,"Yes, less frequently",0.00767,40,150,-0.00634,0.02168
2009,17-29 y.,"No, never",0.23421,671,1673,0.21391,0.25451
2009,17-29 y.,"Yes, every week",0.09545,250,1673,0.08137,0.10954
2009,17-29 y.,"Yes, every 2 weeks",0.09467,273,1673,0.08064,0.10871
2009,17-29 y.,"Yes, every 3-4 weeks",0.04387,135,1673,0.03405,0.05369
2009,17-29 y.,"Yes, less frequently",0.11014,344,1673,0.09513,0.12515
2009,30-45 y.,"No, never",0.27941,1362,3897,0.26532,0.29350
2009,30-45 y.,"Yes, every week",0.11711,552,3897,0.10701,0.12720
2009,30-45 y.,"Yes, every 2 weeks",0.12432,568,3897,0.11396,0.13468
2009,30-45 y.,"Yes, every 3-4 weeks",0.08182,378,3897,0.07322,0.09043
2009,30-45 y.,"Yes, less frequently",0.22410,1037,3897,0.21101,0.23720
2009,46-65 y.,"No, never",0.24012,1569,4396,0.22749,0.25275
2009,46-65 y.,"Yes, every week",0.10980,703,4396,0.10056,0.11904
2009,46-65 y.,"Yes, every 2 weeks",0.09649,598,4396,0.08776,0.10522
2009,46-65 y.,"Yes, every 3-4 weeks",0.05441,387,4396,0.04771,0.06112
2009,46-65 y.,"Yes, less frequently",0.16777,1139,4396,0.15672,0.17882
2009,66 and older,"No, never",0.01747,75,192,-0.00111,0.03605
2009,66 and older,"Yes, every week",0.01046,55,192,-0.00397,0.02489
2009,66 and older,"Yes, less frequently",0.01299,62,192,-0.00307,0.02905
2011,17-29 y.,"No, never",0.22596,891,2267,0.20874,0.24318
2011,17-29 y.,"Yes, every week",0.08467,338,2267,0.07321,0.09614
2011,17-29 y.,"Yes, every 2 weeks",0.10713,431,2267,0.09440,0.11986
2011,17-29 y.,"Yes, every 3-4 weeks",0.04467,189,2267,0.03617,0.05318
2011,17-29 y.,"Yes, less frequently",0.11343,418,2267,0.10037,0.12649
2011,30-45 y.,"No, never",0.29908,2853,7711,0.28886,0.30930
2011,30-45 y.,"Yes, every week",0.11123,1022,7711,0.10421,0.11825
2011,30-45 y.,"Yes, every 2 weeks",0.12460,1227,7711,0.11723,0.13198
2011,30-45 y.,"Yes, every 3-4 weeks",0.08521,771,7711,0.07898,0.09144
2011,30-45 y.,"Yes, less frequently",0.21351,1838,7711,0.20436,0.22265
2011,46-65 y.,"No, never",0.26564,2491,6535,0.25493,0.27635
2011,46-65 y.,"Yes, every week",0.11055,1019,6535,0.10295,0.11815
2011,46-65 y.,"Yes, every 2 weeks",0.10502,940,6535,0.09759,0.11245
2011,46-65 y.,"Yes, every 3-4 weeks",0.06239,571,6535,0.05652,0.06825
2011,46-65 y.,"Yes, less frequently",0.15962,1514,6535,0.15074,0.16850
2011,66 and older,"No, never",0.01590,78,181,-0.00237,0.03417
2011,66 and older,"Yes, every week",0.01051,52,181,-0.00439,0.02540
2011,66 and older,"Yes, less frequently",0.00829,51,181,-0.00496,0.02153
2013,17-29 y.,"No, never",0.21224,895,2072,0.19463,0.22985
2013,17-29 y.,"Yes, every week",0.06762,314,2072,0.05681,0.07844
2013,17-29 y.,"Yes, every 2 weeks",0.08174,340,2072,0.06994,0.09354
2013,17-29 y.,"Yes, every 3-4 weeks",0.04789,183,2072,0.03869,0.05709
2013,17-29 y.,"Yes, less frequently",0.08642,340,2072,0.07432,0.09853
2013,30-45 y.,"No, never",0.23990,2430,6484,0.22951,0.25029
2013,30-45 y.,"Yes, every week",0.09377,817,6484,0.08667,0.10086
2013,30-45 y.,"Yes, every 2 weeks",0.11698,1096,6484,0.10915,0.12480
2013,30-45 y.,"Yes, every 3-4 weeks",0.06279,591,6484,0.05688,0.06869
