year,bula_h,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,"No, never",0.14664,117,356,0.10984,0.18344
2005,Schleswig-Holstein,"Yes, every week",0.08938,59,356,0.05970,0.11906
2005,Schleswig-Holstein,"Yes, every 2 weeks",0.03875,36,356,0.01867,0.05883
2005,Schleswig-Holstein,"Yes, every 3-4 weeks",0.05672,44,356,0.03266,0.08078
2005,Schleswig-Holstein,"Yes, less frequently",0.13024,100,356,0.09523,0.16525
2005,Hamburg,"No, never",0.21343,69,121,0.14012,0.28674
2005,Hamburg,"Yes, less frequently",0.16190,52,121,0.09599,0.22781
2005,Lower Saxony,"No, never",0.13909,331,979,0.11740,0.16078
2005,Lower Saxony,"Yes, every week",0.07029,157,979,0.05427,0.08632
2005,Lower Saxony,"Yes, every 2 weeks",0.05845,142,979,0.04375,0.07315
2005,Lower Saxony,"Yes, every 3-4 weeks",0.04070,97,979,0.02832,0.05309
2005,Lower Saxony,"Yes, less frequently",0.11283,252,979,0.09300,0.13266
2005,North Rhine-Westphalia,"No, never",0.17199,972,2405,0.15690,0.18707
2005,North Rhine-Westphalia,"Yes, every week",0.05992,312,2405,0.05043,0.06941
2005,North Rhine-Westphalia,"Yes, every 2 weeks",0.06707,338,2405,0.05707,0.07707
2005,North Rhine-Westphalia,"Yes, every 3-4 weeks",0.04160,198,2405,0.03361,0.04958
2005,North Rhine-Westphalia,"Yes, less frequently",0.10358,585,2405,0.09140,0.11576
2005,Hesse,"No, never",0.17307,289,831,0.14733,0.19881
2005,Hesse,"Yes, every week",0.07935,130,831,0.06096,0.09774
2005,Hesse,"Yes, every 2 weeks",0.05447,101,831,0.03903,0.06991
2005,Hesse,"Yes, every 3-4 weeks",0.04201,78,831,0.02836,0.05565
2005,Hesse,"Yes, less frequently",0.13241,233,831,0.10935,0.15547
2005,"Rhineland-Palatinate, Saarland","No, never",0.17018,268,673,0.14177,0.19859
2005,"Rhineland-Palatinate, Saarland","Yes, every week",0.08541,111,673,0.06428,0.10654
2005,"Rhineland-Palatinate, Saarland","Yes, every 2 weeks",0.06092,85,673,0.04284,0.07901
2005,"Rhineland-Palatinate, Saarland","Yes, every 3-4 weeks",0.02857,58,673,0.01598,0.04117
2005,"Rhineland-Palatinate, Saarland","Yes, less frequently",0.08639,151,673,0.06515,0.10763
2005,Baden-Wuerttemberg,"No, never",0.17315,600,1434,0.15356,0.19274
2005,Baden-Wuerttemberg,"Yes, every week",0.05466,172,1434,0.04289,0.06643
2005,Baden-Wuerttemberg,"Yes, every 2 weeks",0.06465,168,1434,0.05192,0.07738
2005,Baden-Wuerttemberg,"Yes, every 3-4 weeks",0.04155,133,1434,0.03121,0.05188
2005,Baden-Wuerttemberg,"Yes, less frequently",0.11650,361,1434,0.09989,0.13312
2005,Bavaria,"No, never",0.18794,711,1725,0.16949,0.20638
2005,Bavaria,"Yes, every week",0.06869,246,1725,0.05675,0.08063
2005,Bavaria,"Yes, every 2 weeks",0.05831,208,1725,0.04725,0.06937
2005,Bavaria,"Yes, every 3-4 weeks",0.03796,134,1725,0.02894,0.04698
2005,Bavaria,"Yes, less frequently",0.11145,426,1725,0.09660,0.12631
2005,Berlin,"No, never",0.16214,148,377,0.12489,0.19940
2005,Berlin,"Yes, every week",0.05540,51,377,0.03228,0.07853
2005,Berlin,"Yes, every 2 weeks",0.08188,65,377,0.05417,0.10960
2005,Berlin,"Yes, less frequently",0.10919,113,377,0.07767,0.14072
2005,Brandenburg,"No, never",0.12865,151,444,0.09747,0.15983
2005,Brandenburg,"Yes, every week",0.07207,71,444,0.04799,0.09616
2005,Brandenburg,"Yes, every 2 weeks",0.08103,76,444,0.05562,0.10644
2005,Brandenburg,"Yes, every 3-4 weeks",0.04747,47,444,0.02767,0.06727
2005,Brandenburg,"Yes, less frequently",0.08091,99,444,0.05552,0.10631
2005,Mecklenburg-Western Pomerania,"No, never",0.15738,92,203,0.10716,0.20759
2005,Mecklenburg-Western Pomerania,"Yes, every 2 weeks",0.07101,46,203,0.03559,0.10643
2005,Mecklenburg-Western Pomerania,"Yes, less frequently",0.09197,65,203,0.05212,0.13182
2005,Saxony,"No, never",0.11584,256,802,0.09368,0.13801
2005,Saxony,"Yes, every week",0.05583,102,802,0.03993,0.07173
2005,Saxony,"Yes, every 2 weeks",0.07359,126,802,0.05551,0.09167
2005,Saxony,"Yes, every 3-4 weeks",0.04566,88,802,0.03120,0.06011
2005,Saxony,"Yes, less frequently",0.11073,230,802,0.08900,0.13246
2005,Saxony-Anhalt,"No, never",0.10460,122,444,0.07610,0.13310
2005,Saxony-Anhalt,"Yes, every week",0.05252,57,444,0.03174,0.07329
2005,Saxony-Anhalt,"Yes, every 2 weeks",0.08332,99,444,0.05759,0.10906
2005,Saxony-Anhalt,"Yes, every 3-4 weeks",0.04480,52,444,0.02553,0.06406
2005,Saxony-Anhalt,"Yes, less frequently",0.09798,114,444,0.07030,0.12567
2005,Thuringa,"No, never",0.11236,130,431,0.08251,0.14221
2005,Thuringa,"Yes, every week",0.06129,76,431,0.03862,0.08396
2005,Thuringa,"Yes, every 2 weeks",0.07967,75,431,0.05407,0.10526
2005,Thuringa,"Yes, every 3-4 weeks",0.02968,40,431,0.01364,0.04572
2005,Thuringa,"Yes, less frequently",0.07686,110,431,0.05168,0.10203
2007,Schleswig-Holstein,"No, never",0.15185,118,297,0.11096,0.19273
2007,Schleswig-Holstein,"Yes, every week",0.06772,52,297,0.03909,0.09634
2007,Schleswig-Holstein,"Yes, every 2 weeks",0.06390,46,297,0.03604,0.09177
2007,Schleswig-Holstein,"Yes, less frequently",0.10521,81,297,0.07026,0.14017
2007,Hamburg,"No, never",0.16488,65,111,0.09554,0.23423
2007,Hamburg,"Yes, less frequently",0.15068,46,111,0.08382,0.21753
2007,Lower Saxony,"No, never",0.14480,337,1025,0.12324,0.16635
2007,Lower Saxony,"Yes, every week",0.07523,172,1025,0.05907,0.09139
2007,Lower Saxony,"Yes, every 2 weeks",0.06915,157,1025,0.05361,0.08469
2007,Lower Saxony,"Yes, every 3-4 weeks",0.04265,97,1025,0.03027,0.05503
2007,Lower Saxony,"Yes, less frequently",0.10887,262,1025,0.08979,0.12795
2007,Bremen,"No, never",0.19164,34,34,0.05735,0.32593
2007,North Rhine-Westphalia,"No, never",0.16499,916,2343,0.14996,0.18002
2007,North Rhine-Westphalia,"Yes, every week",0.06174,340,2343,0.05199,0.07149
2007,North Rhine-Westphalia,"Yes, every 2 weeks",0.07613,350,2343,0.06538,0.08687
2007,North Rhine-Westphalia,"Yes, every 3-4 weeks",0.03905,196,2343,0.03120,0.04690
2007,North Rhine-Westphalia,"Yes, less frequently",0.10223,541,2343,0.08996,0.11450
2007,Hesse,"No, never",0.16335,282,829,0.13817,0.18853
2007,Hesse,"Yes, every week",0.07762,130,829,0.05940,0.09585
2007,Hesse,"Yes, every 2 weeks",0.05990,111,829,0.04374,0.07606
2007,Hesse,"Yes, every 3-4 weeks",0.04828,81,829,0.03368,0.06288
2007,Hesse,"Yes, less frequently",0.12414,225,829,0.10168,0.14660
2007,"Rhineland-Palatinate, Saarland","No, never",0.18083,257,664,0.15154,0.21013
2007,"Rhineland-Palatinate, Saarland","Yes, every week",0.08784,127,664,0.06630,0.10939
2007,"Rhineland-Palatinate, Saarland","Yes, every 2 weeks",0.06267,91,664,0.04422,0.08112
2007,"Rhineland-Palatinate, Saarland","Yes, every 3-4 weeks",0.03679,53,664,0.02246,0.05111
2007,"Rhineland-Palatinate, Saarland","Yes, less frequently",0.08720,136,664,0.06572,0.10867
2007,Baden-Wuerttemberg,"No, never",0.17445,575,1427,0.15475,0.19415
2007,Baden-Wuerttemberg,"Yes, every week",0.05789,174,1427,0.04577,0.07001
2007,Baden-Wuerttemberg,"Yes, every 2 weeks",0.06670,173,1427,0.05375,0.07965
2007,Baden-Wuerttemberg,"Yes, every 3-4 weeks",0.05081,167,1427,0.03941,0.06221
2007,Baden-Wuerttemberg,"Yes, less frequently",0.10655,338,1427,0.09054,0.12257
2007,Bavaria,"No, never",0.18050,674,1747,0.16246,0.19854
2007,Bavaria,"Yes, every week",0.06807,250,1747,0.05626,0.07988
2007,Bavaria,"Yes, every 2 weeks",0.05665,211,1747,0.04581,0.06749
2007,Bavaria,"Yes, every 3-4 weeks",0.05000,176,1747,0.03977,0.06022
2007,Bavaria,"Yes, less frequently",0.11706,436,1747,0.10198,0.13214
2007,Berlin,"No, never",0.18598,153,438,0.14950,0.22246
2007,Berlin,"Yes, every week",0.06838,63,438,0.04471,0.09204
2007,Berlin,"Yes, every 2 weeks",0.05052,55,438,0.02998,0.07105
2007,Berlin,"Yes, every 3-4 weeks",0.05237,46,438,0.03148,0.07325
2007,Berlin,"Yes, less frequently",0.12977,121,438,0.09826,0.16128
2007,Brandenburg,"No, never",0.10798,125,432,0.07868,0.13728
2007,Brandenburg,"Yes, every week",0.07294,68,432,0.04839,0.09749
2007,Brandenburg,"Yes, every 2 weeks",0.08617,78,432,0.05968,0.11266
2007,Brandenburg,"Yes, every 3-4 weeks",0.03575,40,432,0.01822,0.05327
2007,Brandenburg,"Yes, less frequently",0.10557,121,432,0.07656,0.13458
2007,Mecklenburg-Western Pomerania,"No, never",0.14105,88,240,0.09692,0.18518
2007,Mecklenburg-Western Pomerania,"Yes, every week",0.05759,33,240,0.02805,0.08712
2007,Mecklenburg-Western Pomerania,"Yes, every 2 weeks",0.08773,55,240,0.05186,0.12360
2007,Mecklenburg-Western Pomerania,"Yes, less frequently",0.09246,64,240,0.05573,0.12918
2007,Saxony,"No, never",0.12984,254,825,0.10689,0.15279
2007,Saxony,"Yes, every week",0.06224,103,825,0.04575,0.07874
2007,Saxony,"Yes, every 2 weeks",0.09470,159,825,0.07471,0.11469
2007,Saxony,"Yes, every 3-4 weeks",0.03956,80,825,0.02625,0.05286
2007,Saxony,"Yes, less frequently",0.11755,229,825,0.09556,0.13954
2007,Saxony-Anhalt,"No, never",0.11215,136,450,0.08296,0.14134
2007,Saxony-Anhalt,"Yes, every week",0.05699,69,450,0.03555,0.07844
2007,Saxony-Anhalt,"Yes, every 2 weeks",0.08916,89,450,0.06280,0.11552
2007,Saxony-Anhalt,"Yes, every 3-4 weeks",0.05201,48,450,0.03147,0.07255
2007,Saxony-Anhalt,"Yes, less frequently",0.09344,108,450,0.06652,0.12036
2007,Thuringa,"No, never",0.13167,138,469,0.10103,0.16230
2007,Thuringa,"Yes, every week",0.06287,78,469,0.04088,0.08486
2007,Thuringa,"Yes, every 2 weeks",0.08293,86,469,0.05795,0.10792
2007,Thuringa,"Yes, every 3-4 weeks",0.05182,54,469,0.03173,0.07190
2007,Thuringa,"Yes, less frequently",0.10394,113,469,0.07629,0.13159
2009,Schleswig-Holstein,"No, never",0.15197,102,243,0.10674,0.19720
2009,Schleswig-Holstein,"Yes, every week",0.07395,40,243,0.04097,0.10692
2009,Schleswig-Holstein,"Yes, every 2 weeks",0.07998,40,243,0.04580,0.11416
2009,Schleswig-Holstein,"Yes, less frequently",0.10241,61,243,0.06421,0.14060
2009,Hamburg,"No, never",0.20274,61,104,0.12510,0.28038
2009,Hamburg,"Yes, less frequently",0.14499,43,104,0.07699,0.21298
2009,Lower Saxony,"No, never",0.15205,307,917,0.12880,0.17531
2009,Lower Saxony,"Yes, every week",0.07855,154,917,0.06113,0.09598
2009,Lower Saxony,"Yes, every 2 weeks",0.05908,134,917,0.04381,0.07435
2009,Lower Saxony,"Yes, every 3-4 weeks",0.04288,77,917,0.02976,0.05600
2009,Lower Saxony,"Yes, less frequently",0.12549,245,917,0.10404,0.14694
2009,North Rhine-Westphalia,"No, never",0.17010,822,2051,0.15383,0.18636
2009,North Rhine-Westphalia,"Yes, every week",0.06674,311,2051,0.05594,0.07754
2009,North Rhine-Westphalia,"Yes, every 2 weeks",0.07541,287,2051,0.06398,0.08684
2009,North Rhine-Westphalia,"Yes, every 3-4 weeks",0.03981,167,2051,0.03135,0.04828
2009,North Rhine-Westphalia,"Yes, less frequently",0.10596,464,2051,0.09264,0.11929
2009,Hesse,"No, never",0.17600,243,748,0.14869,0.20331
2009,Hesse,"Yes, every week",0.07503,119,748,0.05614,0.09392
2009,Hesse,"Yes, every 2 weeks",0.08065,118,748,0.06112,0.10017
2009,Hesse,"Yes, every 3-4 weeks",0.03326,58,748,0.02040,0.04612
2009,Hesse,"Yes, less frequently",0.13167,210,748,0.10742,0.15592
2009,"Rhineland-Palatinate, Saarland","No, never",0.14791,216,571,0.11876,0.17705
2009,"Rhineland-Palatinate, Saarland","Yes, every week",0.09603,101,571,0.07184,0.12022
2009,"Rhineland-Palatinate, Saarland","Yes, every 2 weeks",0.06416,69,571,0.04404,0.08428
2009,"Rhineland-Palatinate, Saarland","Yes, every 3-4 weeks",0.03965,51,571,0.02363,0.05567
2009,"Rhineland-Palatinate, Saarland","Yes, less frequently",0.10687,134,571,0.08151,0.13223
2009,Baden-Wuerttemberg,"No, never",0.19996,499,1248,0.17776,0.22216
2009,Baden-Wuerttemberg,"Yes, every week",0.07324,182,1248,0.05878,0.08770
