year,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,male,"No, never",0.14873,1827,6067,0.13977,0.15768
2005,male,"Yes, every week",0.07583,916,6067,0.06917,0.08250
2005,male,"Yes, every 2 weeks",0.06556,776,6067,0.05933,0.07179
2005,male,"Yes, every 3-4 weeks",0.05171,649,6067,0.04614,0.05728
2005,male,"Yes, less frequently",0.15414,1899,6067,0.14505,0.16322
2005,female,"No, never",0.17396,2449,5355,0.16381,0.18411
2005,female,"Yes, every week",0.05448,686,5355,0.04840,0.06056
2005,female,"Yes, every 2 weeks",0.06290,814,5355,0.05639,0.06940
2005,female,"Yes, every 3-4 weeks",0.02840,395,5355,0.02395,0.03285
2005,female,"Yes, less frequently",0.06603,1011,5355,0.05938,0.07268
2007,male,"No, never",0.15293,1784,6042,0.14385,0.16201
2007,male,"Yes, every week",0.07701,944,6042,0.07029,0.08374
2007,male,"Yes, every 2 weeks",0.07681,861,6042,0.07010,0.08353
2007,male,"Yes, every 3-4 weeks",0.05756,679,6042,0.05169,0.06344
2007,male,"Yes, less frequently",0.14331,1774,6042,0.13448,0.15215
2007,female,"No, never",0.16979,2368,5434,0.15980,0.17977
2007,female,"Yes, every week",0.05708,745,5434,0.05091,0.06325
2007,female,"Yes, every 2 weeks",0.06180,829,5434,0.05540,0.06820
2007,female,"Yes, every 3-4 weeks",0.03177,432,5434,0.02710,0.03643
2007,female,"Yes, less frequently",0.07537,1060,5434,0.06835,0.08239
2009,male,"No, never",0.15462,1569,5245,0.14483,0.16440
2009,male,"Yes, every week",0.08281,839,5245,0.07535,0.09027
2009,male,"Yes, every 2 weeks",0.07036,677,5245,0.06344,0.07729
2009,male,"Yes, every 3-4 weeks",0.05266,548,5245,0.04662,0.05871
2009,male,"Yes, less frequently",0.15449,1612,5245,0.14471,0.16428
2009,female,"No, never",0.18191,2108,4941,0.17115,0.19267
2009,female,"Yes, every week",0.06416,721,4941,0.05733,0.07099
2009,female,"Yes, every 2 weeks",0.06969,779,4941,0.06259,0.07679
2009,female,"Yes, every 3-4 weeks",0.02924,363,4941,0.02455,0.03394
2009,female,"Yes, less frequently",0.07920,970,4941,0.07167,0.08673
2011,male,"No, never",0.16233,2595,8386,0.15444,0.17023
2011,male,"Yes, every week",0.07695,1265,8386,0.07125,0.08266
2011,male,"Yes, every 2 weeks",0.07508,1201,8386,0.06944,0.08072
2011,male,"Yes, every 3-4 weeks",0.05440,892,8386,0.04954,0.05925
2011,male,"Yes, less frequently",0.15013,2433,8386,0.14248,0.15777
2011,female,"No, never",0.18981,3718,8347,0.18140,0.19823
2011,female,"Yes, every week",0.06325,1166,8347,0.05803,0.06847
2011,female,"Yes, every 2 weeks",0.07093,1415,8347,0.06542,0.07643
2011,female,"Yes, every 3-4 weeks",0.03279,660,8347,0.02897,0.03661
2011,female,"Yes, less frequently",0.07101,1388,8347,0.06550,0.07652
2013,male,"No, never",0.14583,2417,7527,0.13786,0.15380
2013,male,"Yes, every week",0.06258,1053,7527,0.05711,0.06805
2013,male,"Yes, every 2 weeks",0.06552,1057,7527,0.05993,0.07111
2013,male,"Yes, every 3-4 weeks",0.04672,759,7527,0.04195,0.05149
2013,male,"Yes, less frequently",0.14203,2241,7527,0.13415,0.14992
2013,female,"No, never",0.17202,3579,7990,0.16374,0.18030
2013,female,"Yes, every week",0.05482,1039,7990,0.04982,0.05981
2013,female,"Yes, every 2 weeks",0.06824,1354,7990,0.06271,0.07377
2013,female,"Yes, every 3-4 weeks",0.03138,599,7990,0.02755,0.03520
2013,female,"Yes, less frequently",0.07400,1419,7990,0.06826,0.07974
2015,male,"No, never",0.17289,2533,7477,0.16432,0.18147
2015,male,"Yes, every week",0.07034,1038,7477,0.06455,0.07614
2015,male,"Yes, every 2 weeks",0.07352,1050,7477,0.06760,0.07943
2015,male,"Yes, every 3-4 weeks",0.05079,734,7477,0.04582,0.05577
2015,male,"Yes, less frequently",0.14687,2122,7477,0.13884,0.15489
2015,female,"No, never",0.19317,3516,7814,0.18442,0.20193
2015,female,"Yes, every week",0.05986,1030,7814,0.05460,0.06512
2015,female,"Yes, every 2 weeks",0.07960,1308,7814,0.07360,0.08560
2015,female,"Yes, every 3-4 weeks",0.03270,570,7814,0.02876,0.03664
2015,female,"Yes, less frequently",0.08157,1390,7814,0.07550,0.08764
2017,male,"No, never",0.19549,3011,8142,0.18687,0.20410
2017,male,"Yes, every week",0.07168,1119,8142,0.06607,0.07728
2017,male,"Yes, every 2 weeks",0.07171,1126,8142,0.06611,0.07732
2017,male,"Yes, every 3-4 weeks",0.05499,879,8142,0.05003,0.05994
2017,male,"Yes, less frequently",0.13641,2007,8142,0.12895,0.14386
2017,female,"No, never",0.22087,4127,8614,0.21211,0.22963
2017,female,"Yes, every week",0.06015,1134,8614,0.05513,0.06518
2017,female,"Yes, every 2 weeks",0.07556,1373,8614,0.06998,0.08114
2017,female,"Yes, every 3-4 weeks",0.03478,732,8614,0.03091,0.03864
2017,female,"Yes, less frequently",0.07209,1248,8614,0.06663,0.07756
2019,male,"No, never",0.20342,2945,8467,0.19485,0.21200
2019,male,"Yes, every week",0.07030,1368,8467,0.06485,0.07574
2019,male,"Yes, every 2 weeks",0.07186,1182,8467,0.06636,0.07736
2019,male,"Yes, every 3-4 weeks",0.05275,845,8467,0.04799,0.05751
2019,male,"Yes, less frequently",0.14176,2127,8467,0.13433,0.14919
2019,female,"No, never",0.22858,4020,8394,0.21960,0.23757
2019,female,"Yes, every week",0.05852,1059,8394,0.05349,0.06354
2019,female,"Yes, every 2 weeks",0.07511,1300,8394,0.06948,0.08075
2019,female,"Yes, every 3-4 weeks",0.03509,664,8394,0.03115,0.03902
2019,female,"Yes, less frequently",0.07760,1351,8394,0.07187,0.08332
2021,male,"No, never",0.18207,2152,5506,0.17188,0.19227
2021,male,"Yes, every week",0.05329,816,5506,0.04736,0.05923
2021,male,"Yes, every 2 weeks",0.05392,738,5506,0.04795,0.05988
2021,male,"Yes, every 3-4 weeks",0.04233,496,5506,0.03701,0.04765
2021,male,"Yes, less frequently",0.10713,1304,5506,0.09896,0.11530
2021,female,"No, never",0.19277,2469,5051,0.18189,0.20365
2021,female,"Yes, every week",0.04474,608,5051,0.03904,0.05044
2021,female,"Yes, every 2 weeks",0.06218,795,5051,0.05552,0.06884
2021,female,"Yes, every 3-4 weeks",0.02809,377,5051,0.02354,0.03265
2021,female,"Yes, less frequently",0.06013,802,5051,0.05357,0.06668
