year,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,"No, never",0.16158,4276,11422,0.15483,0.16833
2005,"Yes, every week",0.06495,1602,11422,0.06043,0.06947
2005,"Yes, every 2 weeks",0.06420,1590,11422,0.05971,0.06870
2005,"Yes, every 3-4 weeks",0.03984,1044,11422,0.03625,0.04342
2005,"Yes, less frequently",0.10925,2910,11422,0.10353,0.11497
2007,"No, never",0.16151,4152,11476,0.15478,0.16824
2007,"Yes, every week",0.06687,1689,11476,0.06230,0.07144
2007,"Yes, every 2 weeks",0.06917,1690,11476,0.06453,0.07381
2007,"Yes, every 3-4 weeks",0.04444,1111,11476,0.04067,0.04821
2007,"Yes, less frequently",0.10873,2834,11476,0.10304,0.11443
2009,"No, never",0.16850,3677,10186,0.16123,0.17577
2009,"Yes, every week",0.07333,1560,10186,0.06827,0.07839
2009,"Yes, every 2 weeks",0.07002,1456,10186,0.06507,0.07498
2009,"Yes, every 3-4 weeks",0.04075,911,10186,0.03691,0.04459
2009,"Yes, less frequently",0.11620,2582,10186,0.10998,0.12243
2011,"No, never",0.17636,6313,16733,0.17058,0.18213
2011,"Yes, every week",0.06995,2431,16733,0.06609,0.07382
2011,"Yes, every 2 weeks",0.07296,2616,16733,0.06902,0.07690
2011,"Yes, every 3-4 weeks",0.04337,1552,16733,0.04028,0.04645
2011,"Yes, less frequently",0.10973,3821,16733,0.10499,0.11447
2013,"No, never",0.15916,5996,15517,0.15341,0.16492
2013,"Yes, every week",0.05863,2092,15517,0.05493,0.06232
2013,"Yes, every 2 weeks",0.06690,2411,15517,0.06297,0.07083
2013,"Yes, every 3-4 weeks",0.03891,1358,15517,0.03587,0.04195
2013,"Yes, less frequently",0.10739,3660,15517,0.10252,0.11226
2015,"No, never",0.18319,6049,15291,0.17706,0.18932
2015,"Yes, every week",0.06502,2068,15291,0.06111,0.06893
2015,"Yes, every 2 weeks",0.07660,2358,15291,0.07239,0.08082
2015,"Yes, every 3-4 weeks",0.04160,1304,15291,0.03844,0.04477
2015,"Yes, less frequently",0.11371,3512,15291,0.10868,0.11874
2017,"No, never",0.20828,7138,16756,0.20213,0.21443
2017,"Yes, every week",0.06586,2253,16756,0.06211,0.06962
2017,"Yes, every 2 weeks",0.07365,2499,16756,0.06970,0.07761
2017,"Yes, every 3-4 weeks",0.04479,1611,16756,0.04166,0.04792
2017,"Yes, less frequently",0.10397,3255,16756,0.09935,0.10859
2019,"No, never",0.21607,6967,16865,0.20985,0.22228
2019,"Yes, every week",0.06431,2427,16865,0.06061,0.06802
2019,"Yes, every 2 weeks",0.07347,2482,16865,0.06953,0.07741
2019,"Yes, every 3-4 weeks",0.04389,1511,16865,0.04080,0.04698
2019,"Yes, less frequently",0.10928,3478,16865,0.10457,0.11399
2021,"No, never",0.18741,4621,10560,0.17997,0.19486
2021,"Yes, every week",0.04896,1424,10560,0.04484,0.05308
2021,"Yes, every 2 weeks",0.05807,1533,10560,0.05361,0.06253
2021,"Yes, every 3-4 weeks",0.03515,874,10560,0.03164,0.03866
2021,"Yes, less frequently",0.08348,2108,10560,0.07821,0.08876
