year,sampreg,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,West,"No, never",0.17007,3464,8855,0.16224,0.17789
2005,West,"Yes, every week",0.06668,1248,8855,0.06148,0.07187
2005,West,"Yes, every 2 weeks",0.06045,1128,8855,0.05548,0.06541
2005,West,"Yes, every 3-4 weeks",0.03937,774,8855,0.03531,0.04342
2005,West,"Yes, less frequently",0.11198,2241,8855,0.10542,0.11855
2005,East,"No, never",0.12293,812,2567,0.11022,0.13563
2005,East,"Yes, every week",0.05711,354,2567,0.04813,0.06609
2005,East,"Yes, every 2 weeks",0.08132,462,2567,0.07074,0.09189
2005,East,"Yes, every 3-4 weeks",0.04198,270,2567,0.03422,0.04974
2005,East,"Yes, less frequently",0.09679,669,2567,0.08535,0.10823
2007,West,"No, never",0.16851,3347,8848,0.16071,0.17631
2007,West,"Yes, every week",0.06758,1309,8848,0.06235,0.07281
2007,West,"Yes, every 2 weeks",0.06555,1196,8848,0.06039,0.07070
2007,West,"Yes, every 3-4 weeks",0.04458,847,8848,0.04028,0.04888
2007,West,"Yes, less frequently",0.10888,2149,8848,0.10239,0.11537
2007,East,"No, never",0.12983,805,2628,0.11698,0.14269
2007,East,"Yes, every week",0.06363,380,2628,0.05429,0.07296
2007,East,"Yes, every 2 weeks",0.08557,494,2628,0.07488,0.09627
2007,East,"Yes, every 3-4 weeks",0.04379,264,2628,0.03597,0.05162
2007,East,"Yes, less frequently",0.10806,685,2628,0.09618,0.11993
2009,West,"No, never",0.17621,2929,7780,0.16775,0.18468
2009,West,"Yes, every week",0.07508,1217,7780,0.06922,0.08093
2009,West,"Yes, every 2 weeks",0.06771,1054,7780,0.06213,0.07330
2009,West,"Yes, every 3-4 weeks",0.03929,651,7780,0.03497,0.04361
2009,West,"Yes, less frequently",0.11520,1929,7780,0.10811,0.12230
2009,East,"No, never",0.13388,748,2406,0.12027,0.14749
2009,East,"Yes, every week",0.06548,343,2406,0.05560,0.07537
2009,East,"Yes, every 2 weeks",0.08037,402,2406,0.06950,0.09124
2009,East,"Yes, every 3-4 weeks",0.04732,260,2406,0.03884,0.05581
2009,East,"Yes, less frequently",0.12069,653,2406,0.10767,0.13371
2011,West,"No, never",0.18143,5121,13184,0.17485,0.18801
2011,West,"Yes, every week",0.07144,1956,13184,0.06704,0.07583
2011,West,"Yes, every 2 weeks",0.06947,1949,13184,0.06513,0.07381
2011,West,"Yes, every 3-4 weeks",0.04178,1184,13184,0.03836,0.04520
2011,West,"Yes, less frequently",0.10875,2974,13184,0.10344,0.11407
2011,East,"No, never",0.15270,1192,3549,0.14087,0.16454
2011,East,"Yes, every week",0.06304,475,3549,0.05504,0.07104
2011,East,"Yes, every 2 weeks",0.08920,667,3549,0.07982,0.09858
2011,East,"Yes, every 3-4 weeks",0.05076,368,3549,0.04354,0.05799
2011,East,"Yes, less frequently",0.11430,847,3549,0.10383,0.12477
2013,West,"No, never",0.16093,4841,12215,0.15442,0.16745
2013,West,"Yes, every week",0.05875,1682,12215,0.05458,0.06292
2013,West,"Yes, every 2 weeks",0.06200,1827,12215,0.05772,0.06628
2013,West,"Yes, every 3-4 weeks",0.03739,1024,12215,0.03402,0.04075
2013,West,"Yes, less frequently",0.10537,2841,12215,0.09992,0.11081
2013,East,"No, never",0.15082,1155,3302,0.13861,0.16303
2013,East,"Yes, every week",0.05804,410,3302,0.05007,0.06602
2013,East,"Yes, every 2 weeks",0.09001,584,3302,0.08024,0.09977
2013,East,"Yes, every 3-4 weeks",0.04609,334,3302,0.03893,0.05324
2013,East,"Yes, less frequently",0.11693,819,3302,0.10597,0.12789
2015,West,"No, never",0.18724,4961,12323,0.18035,0.19413
2015,West,"Yes, every week",0.06726,1719,12323,0.06284,0.07168
2015,West,"Yes, every 2 weeks",0.07326,1819,12323,0.06866,0.07786
2015,West,"Yes, every 3-4 weeks",0.04088,1037,12323,0.03738,0.04437
2015,West,"Yes, less frequently",0.11227,2787,12323,0.10670,0.11785
2015,East,"No, never",0.16405,1088,2968,0.15072,0.17737
2015,East,"Yes, every week",0.05444,349,2968,0.04628,0.06260
