year,regtyp,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.02041,184,8240,0.01736,0.02347
2016,Urban regions,West,No,0.97959,8056,8240,0.97653,0.98264
2016,Urban regions,East,No,0.98844,1101,1101,0.98212,0.99475
2016,Rural regions,West,Yes,0.01806,70,2970,0.01327,0.02284
2016,Rural regions,West,No,0.98194,2900,2970,0.97716,0.98673
2016,Rural regions,East,Yes,0.01899,31,1947,0.01292,0.02505
2016,Rural regions,East,No,0.98101,1916,1947,0.97495,0.98708
2017,Urban regions,West,Yes,0.02313,223,9000,0.02003,0.02624
2017,Urban regions,West,No,0.97687,8777,9000,0.97376,0.97997
2017,Urban regions,East,No,0.98600,1209,1209,0.97938,0.99263
2017,Rural regions,West,Yes,0.03234,82,3244,0.02625,0.03843
2017,Rural regions,West,No,0.96766,3162,3244,0.96157,0.97375
2017,Rural regions,East,Yes,0.01952,45,2182,0.01371,0.02532
2017,Rural regions,East,No,0.98048,2137,2182,0.97468,0.98629
2018,Urban regions,West,Yes,0.02442,222,8914,0.02122,0.02763
2018,Urban regions,West,No,0.97558,8692,8914,0.97237,0.97878
2018,Urban regions,East,No,0.98019,1221,1221,0.97237,0.98801
2018,Rural regions,West,Yes,0.02308,69,3093,0.01779,0.02838
2018,Rural regions,West,No,0.97692,3024,3093,0.97162,0.98221
2018,Rural regions,East,No,0.99132,2148,2148,0.98739,0.99524
2019,No answer / don't know,Does not apply,No,0.97479,60,60,0.93480,1.01479
2019,No answer / don't know,West,No,0.97039,328,328,0.95201,0.98876
2019,No answer / don't know,East,No,0.98388,63,63,0.95254,1.01523
2019,Urban regions,West,Yes,0.02242,249,9032,0.01936,0.02547
2019,Urban regions,West,No,0.97758,8783,9032,0.97453,0.98064
2019,Urban regions,East,Yes,0.01556,31,1270,0.00875,0.02237
2019,Urban regions,East,No,0.98444,1239,1270,0.97763,0.99125
2019,Rural regions,West,Yes,0.02666,80,3096,0.02099,0.03234
2019,Rural regions,West,No,0.97334,3016,3096,0.96766,0.97901
2019,Rural regions,East,Yes,0.01225,35,2253,0.00770,0.01679
2019,Rural regions,East,No,0.98775,2218,2253,0.98321,0.99230
2020,Urban regions,West,Yes,0.02463,237,9695,0.02155,0.02772
2020,Urban regions,West,No,0.97537,9458,9695,0.97228,0.97845
2020,Urban regions,East,Yes,0.01878,32,1292,0.01138,0.02619
2020,Urban regions,East,No,0.98122,1260,1292,0.97381,0.98862
2020,Rural regions,West,Yes,0.03103,85,3136,0.02496,0.03710
2020,Rural regions,West,No,0.96897,3051,3136,0.96290,0.97504
2020,Rural regions,East,Yes,0.02290,46,2148,0.01657,0.02923
2020,Rural regions,East,No,0.97710,2102,2148,0.97077,0.98343
2021,Urban regions,West,Yes,0.02584,202,6514,0.02198,0.02969
2021,Urban regions,West,No,0.97416,6312,6514,0.97031,0.97802
2021,Urban regions,East,No,0.98473,877,877,0.97661,0.99285
2021,Rural regions,West,Yes,0.02235,64,2158,0.01611,0.02859
2021,Rural regions,West,No,0.97765,2094,2158,0.97141,0.98389
2021,Rural regions,East,Yes,0.02069,34,1492,0.01347,0.02792
2021,Rural regions,East,No,0.97931,1458,1492,0.97208,0.98653
2022,Urban regions,West,Yes,0.03195,366,11487,0.02873,0.03517
2022,Urban regions,West,No,0.96805,11121,11487,0.96483,0.97127
2022,Urban regions,East,Yes,0.02285,40,1629,0.01559,0.03011
2022,Urban regions,East,No,0.97715,1589,1629,0.96989,0.98441
2022,Rural regions,West,Yes,0.02392,113,3482,0.01884,0.02900
2022,Rural regions,West,No,0.97608,3369,3482,0.97100,0.98116
2022,Rural regions,East,Yes,0.01651,56,2554,0.01156,0.02145
2022,Rural regions,East,No,0.98349,2498,2554,0.97855,0.98844
