year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,5.89586,5.88284,5.90889,5.33333,6.00000,6.66667,3.33333,7.00000,6.00000,6.00000,6.00000,20402.00000
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,5.77835,5.76400,5.79270,5.33333,6.00000,6.66667,3.33333,7.00000,6.00000,6.00000,6.00000,17730.00000
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,5.83103,5.80946,5.85261,5.33333,6.00000,6.66667,3.33333,7.00000,6.00000,6.00000,6.00000,7098.00000
2013,5.82237,5.80913,5.83562,5.33333,6.00000,6.66667,3.33333,7.00000,6.00000,6.00000,6.00000,18639.00000
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,5.71437,5.70329,5.72545,5.00000,6.00000,6.33333,3.00000,7.00000,6.00000,5.66667,6.00000,28427.00000
2018,,,,,,,,,,,,
2019,5.75997,5.74838,5.77156,5.00000,6.00000,6.66667,2.50000,7.00000,6.00000,6.00000,6.00000,25466.00000
2020,,,,,,,,,,,,
2021,,,,,,,,,,,,
