"year","bildungsniveau","bula_h","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","Baden-Württemberg","5.82","5.83","296","5.72","5.92"
"2005","(Fach-)Abitur","Bayern","5.63","5.5","277","5.52","5.74"
"2005","(Fach-)Abitur","Berlin","5.57","5.5","112","5.38","5.76"
"2005","(Fach-)Abitur","Brandenburg","5.88","5.83","77","5.67","6.09"
"2005","(Fach-)Abitur","Bremen","","","","",""
"2005","(Fach-)Abitur","Hamburg","5.5","5.5","49","5.27","5.73"
"2005","(Fach-)Abitur","Hessen","5.76","5.58","182","5.63","5.89"
"2005","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"2005","(Fach-)Abitur","Niedersachsen","5.7","5.5","171","5.56","5.84"
"2005","(Fach-)Abitur","Nordrhein-Westfalen","5.73","5.58","631","5.65","5.81"
"2005","(Fach-)Abitur","Rheinland-Pfalz,Saarland","5.82","5.5","127","5.67","5.97"
"2005","(Fach-)Abitur","Sachsen","5.55","5.5","121","5.38","5.72"
"2005","(Fach-)Abitur","Sachsen-Anhalt","5.77","5.5","70","5.56","5.98"
"2005","(Fach-)Abitur","Schleswig-Holstein","5.81","5.83","75","5.58","6.04"
"2005","(Fach-)Abitur","Thüringen","5.52","5.5","66","5.28","5.76"
"2005","(noch) kein Abschluss","Baden-Württemberg","4.98","4.83","155","4.79","5.17"
"2005","(noch) kein Abschluss","Bayern","5.48","5.5","110","5.28","5.68"
"2005","(noch) kein Abschluss","Berlin","4.98","4.5","35","4.59","5.37"
"2005","(noch) kein Abschluss","Brandenburg","5.39","5.17","30","4.95","5.83"
"2005","(noch) kein Abschluss","Bremen","","","","",""
"2005","(noch) kein Abschluss","Hamburg","","","","",""
"2005","(noch) kein Abschluss","Hessen","5.35","5.17","56","5.05","5.65"
"2005","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"2005","(noch) kein Abschluss","Niedersachsen","5.4","5.5","83","5.14","5.66"
"2005","(noch) kein Abschluss","Nordrhein-Westfalen","5.42","5.58","215","5.26","5.58"
"2005","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","5.82","5.83","44","5.5","6.14"
"2005","(noch) kein Abschluss","Sachsen","5.18","4.83","43","4.86","5.5"
"2005","(noch) kein Abschluss","Sachsen-Anhalt","5.05","4.83","34","4.63","5.47"
"2005","(noch) kein Abschluss","Schleswig-Holstein","","","","",""
"2005","(noch) kein Abschluss","Thüringen","","","","",""
"2005","AkademikerIn","Baden-Württemberg","5.8","5.83","444","5.72","5.88"
"2005","AkademikerIn","Bayern","5.89","5.83","558","5.82","5.96"
"2005","AkademikerIn","Berlin","5.91","5.83","237","5.8","6.02"
"2005","AkademikerIn","Brandenburg","6.06","6.17","248","5.96","6.16"
"2005","AkademikerIn","Bremen","6.09","6.17","32","5.75","6.43"
"2005","AkademikerIn","Hamburg","5.57","5.5","71","5.37","5.77"
"2005","AkademikerIn","Hessen","5.68","5.5","306","5.58","5.78"
"2005","AkademikerIn","Mecklenburg-Vorpommern","6.21","6.17","132","6.09","6.33"
"2005","AkademikerIn","Niedersachsen","5.87","5.83","292","5.76","5.98"
"2005","AkademikerIn","Nordrhein-Westfalen","5.96","5.83","816","5.9","6.02"
"2005","AkademikerIn","Rheinland-Pfalz,Saarland","5.94","6.17","170","5.81","6.07"
"2005","AkademikerIn","Sachsen","6.03","5.83","358","5.95","6.11"
"2005","AkademikerIn","Sachsen-Anhalt","6.16","6.17","223","6.06","6.26"
"2005","AkademikerIn","Schleswig-Holstein","6.14","6.42","105","5.96","6.32"
"2005","AkademikerIn","Thüringen","6.08","6.17","169","5.96","6.2"
"2005","Hauptschule","Baden-Württemberg","5.83","5.83","1030","5.77","5.89"
"2005","Hauptschule","Bayern","5.97","6.17","1250","5.92","6.02"
"2005","Hauptschule","Berlin","5.73","5.83","137","5.53","5.93"
"2005","Hauptschule","Brandenburg","6.08","6.17","208","5.97","6.19"
"2005","Hauptschule","Bremen","6.11","6.5","43","5.74","6.48"
"2005","Hauptschule","Hamburg","5.74","5.83","74","5.52","5.96"
"2005","Hauptschule","Hessen","5.95","5.83","486","5.87","6.03"
"2005","Hauptschule","Mecklenburg-Vorpommern","6","6.17","124","5.85","6.15"
"2005","Hauptschule","Niedersachsen","5.99","6.17","683","5.92","6.06"
"2005","Hauptschule","Nordrhein-Westfalen","6.03","6.17","1713","5.99","6.07"
"2005","Hauptschule","Rheinland-Pfalz,Saarland","5.98","6.17","627","5.91","6.05"
"2005","Hauptschule","Sachsen","5.87","5.83","359","5.77","5.97"
