"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","5.72","5.58","2290","5.68","5.76"
"2005","(noch) kein Abschluss","5.29","5.17","900","5.21","5.37"
"2005","AkademikerIn","5.92","5.83","4161","5.89","5.95"
"2005","Hauptschule","5.96","6.17","7529","5.94","5.98"
"2005","Realschule","5.97","5.83","5372","5.95","5.99"
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","5.55","5.58","1997","5.51","5.59"
"2009","(noch) kein Abschluss","5.28","5.17","480","5.17","5.39"
"2009","AkademikerIn","5.76","5.83","4023","5.73","5.79"
"2009","Hauptschule","5.86","5.83","6172","5.84","5.88"
"2009","Realschule","5.86","5.83","4795","5.83","5.89"
"2010","(Fach-)Abitur","","","","",""
"2010","(noch) kein Abschluss","","","","",""
"2010","AkademikerIn","","","","",""
"2010","Hauptschule","","","","",""
"2010","Realschule","","","","",""
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","5.86","5.83","1123","5.81","5.91"
"2012","(noch) kein Abschluss","5.21","4.83","348","5.1","5.32"
"2012","AkademikerIn","5.81","5.83","1494","5.77","5.85"
"2012","Hauptschule","5.86","5.83","1708","5.81","5.91"
"2012","Realschule","5.98","5.83","2295","5.95","6.01"
"2013","(Fach-)Abitur","5.65","5.58","2210","5.61","5.69"
"2013","(noch) kein Abschluss","5.3","5.17","482","5.2","5.4"
"2013","AkademikerIn","5.75","5.83","4456","5.72","5.78"
"2013","Hauptschule","5.91","5.83","6173","5.89","5.93"
"2013","Realschule","5.89","5.83","5030","5.87","5.91"
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","","","","",""
"2015","(noch) kein Abschluss","","","","",""
"2015","AkademikerIn","","","","",""
"2015","Hauptschule","","","","",""
"2015","Realschule","","","","",""
"2016","(Fach-)Abitur","","","","",""
"2016","(noch) kein Abschluss","","","","",""
"2016","AkademikerIn","","","","",""
"2016","Hauptschule","","","","",""
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","5.57","5.58","4519","5.54","5.6"
"2017","(noch) kein Abschluss","5.41","5.58","1653","5.35","5.47"
"2017","AkademikerIn","5.66","5.58","6930","5.64","5.68"
"2017","Hauptschule","5.8","5.83","7609","5.78","5.82"
"2017","Realschule","5.8","5.83","6942","5.78","5.82"
"2018","(Fach-)Abitur","","","","",""
"2018","(noch) kein Abschluss","","","","",""
"2018","AkademikerIn","","","","",""
"2018","Hauptschule","","","","",""
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","5.63","5.58","4156","5.6","5.66"
"2019","(noch) kein Abschluss","5.6","5.58","777","5.52","5.68"
"2019","AkademikerIn","5.74","5.58","7036","5.72","5.76"
"2019","Hauptschule","5.82","5.83","6196","5.8","5.84"
"2019","Realschule","5.83","5.83","6747","5.81","5.85"
