year,age_gr,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,Urban regions,Yes,0.21401,434,1461,0.19297,0.23505
1986,17-29 y.,Urban regions,No,0.41229,1027,1461,0.38704,0.43754
1986,17-29 y.,Rural regions,Yes,0.20247,124,425,0.16422,0.24072
1986,17-29 y.,Rural regions,No,0.47563,301,425,0.42809,0.52316
1986,30-45 y.,Urban regions,Yes,0.27088,603,1862,0.25069,0.29107
1986,30-45 y.,Urban regions,No,0.45993,1259,1862,0.43729,0.48258
1986,30-45 y.,Rural regions,Yes,0.23996,156,487,0.20200,0.27793
1986,30-45 y.,Rural regions,No,0.48851,331,487,0.44406,0.53295
1986,46-65 y.,Urban regions,Yes,0.16795,424,1517,0.14913,0.18677
1986,46-65 y.,Urban regions,No,0.38181,1093,1517,0.35736,0.40627
1986,46-65 y.,Rural regions,Yes,0.14815,106,370,0.11190,0.18440
1986,46-65 y.,Rural regions,No,0.37114,264,370,0.32184,0.42043
1988,17-29 y.,Urban regions,Yes,0.22046,443,1410,0.19881,0.24210
1988,17-29 y.,Urban regions,No,0.41642,967,1410,0.39068,0.44216
1988,17-29 y.,Rural regions,Yes,0.23572,131,374,0.19264,0.27879
1988,17-29 y.,Rural regions,No,0.41283,243,374,0.36286,0.46280
1988,30-45 y.,Urban regions,Yes,0.28663,581,1720,0.26525,0.30800
1988,30-45 y.,Urban regions,No,0.47139,1139,1720,0.44779,0.49498
1988,30-45 y.,Rural regions,Yes,0.23036,146,462,0.19192,0.26879
1988,30-45 y.,Rural regions,No,0.51124,316,462,0.46561,0.55687
1988,46-65 y.,Urban regions,Yes,0.19121,441,1480,0.17117,0.21125
1988,46-65 y.,Urban regions,No,0.38519,1039,1480,0.36038,0.40999
1988,46-65 y.,Rural regions,Yes,0.13576,88,363,0.10047,0.17105
1988,46-65 y.,Rural regions,No,0.41729,275,363,0.36649,0.46808
1989,17-29 y.,Urban regions,Yes,0.24776,476,1429,0.22537,0.27015
1989,17-29 y.,Urban regions,No,0.40643,953,1429,0.38095,0.43190
1989,17-29 y.,Rural regions,Yes,0.25349,139,372,0.20922,0.29776
1989,17-29 y.,Rural regions,No,0.39494,233,372,0.34519,0.44468
1989,30-45 y.,Urban regions,Yes,0.31136,626,1711,0.28941,0.33331
1989,30-45 y.,Urban regions,No,0.46506,1085,1711,0.44142,0.48870
1989,30-45 y.,Rural regions,Yes,0.25153,138,437,0.21080,0.29226
1989,30-45 y.,Rural regions,No,0.50597,299,437,0.45904,0.55290
1989,46-65 y.,Urban regions,Yes,0.18572,424,1425,0.16552,0.20592
1989,46-65 y.,Urban regions,No,0.38433,1001,1425,0.35907,0.40960
1989,46-65 y.,Rural regions,Yes,0.16979,104,340,0.12982,0.20976
1989,46-65 y.,Rural regions,No,0.37833,236,340,0.32671,0.42996
