year,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Primary Level,Yes,0.11906,74,426,0.08827,0.14986
1986,Primary Level,No,0.36924,352,426,0.32336,0.41512
1986,Lower Secondary Level,Yes,0.08437,304,1407,0.06984,0.09889
1986,Lower Secondary Level,No,0.29841,1103,1407,0.27450,0.32233
1986,Upper Secondary Level,Yes,0.19096,995,3108,0.17714,0.20478
1986,Upper Secondary Level,No,0.37736,2113,3108,0.36032,0.39441
1986,Post-secondary Non-tertiary Level,Yes,0.25493,67,184,0.19178,0.31807
1986,Post-secondary Non-tertiary Level,No,0.35831,117,184,0.28883,0.42778
1986,First Stage of Tertiary Education,Yes,0.25283,158,391,0.20969,0.29597
1986,First Stage of Tertiary Education,No,0.37132,233,391,0.32337,0.41928
1986,Second Stage of Tertiary Education,Yes,0.31906,238,562,0.28049,0.35763
1986,Second Stage of Tertiary Education,No,0.40558,324,562,0.36495,0.44622
1988,Primary Level,Yes,0.10097,71,360,0.06980,0.13214
1988,Primary Level,No,0.35652,289,360,0.30697,0.40607
1988,Lower Secondary Level,Yes,0.09180,306,1356,0.07642,0.10717
1988,Lower Secondary Level,No,0.30395,1050,1356,0.27946,0.32844
1988,Upper Secondary Level,Yes,0.19568,973,2941,0.18133,0.21002
1988,Upper Secondary Level,No,0.37250,1968,2941,0.35502,0.38997
1988,Post-secondary Non-tertiary Level,Yes,0.25374,69,177,0.18945,0.31803
1988,Post-secondary Non-tertiary Level,No,0.36179,108,177,0.29080,0.43278
1988,First Stage of Tertiary Education,Yes,0.28999,158,370,0.24369,0.33629
1988,First Stage of Tertiary Education,No,0.35549,212,370,0.30666,0.40433
1988,Second Stage of Tertiary Education,Yes,0.31691,236,546,0.27785,0.35597
1988,Second Stage of Tertiary Education,No,0.43362,310,546,0.39201,0.47522
1989,Primary Level,Yes,0.11972,79,336,0.08496,0.15449
1989,Primary Level,No,0.36075,257,336,0.30932,0.41217
1989,Lower Secondary Level,Yes,0.10208,307,1320,0.08574,0.11841
1989,Lower Secondary Level,No,0.30170,1013,1320,0.27693,0.32647
1989,Upper Secondary Level,Yes,0.21412,1039,2918,0.19923,0.22900
1989,Upper Secondary Level,No,0.36787,1879,2918,0.35037,0.38537
1989,Post-secondary Non-tertiary Level,Yes,0.27495,77,183,0.21008,0.33982
1989,Post-secondary Non-tertiary Level,No,0.32593,106,183,0.25783,0.39402
1989,First Stage of Tertiary Education,Yes,0.26265,140,352,0.21661,0.30869
