year,age_gr,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,Primary Level,No,0.34966,59,59,0.22694,0.47239
1986,17-29 y.,Lower Secondary Level,Yes,0.16753,141,575,0.13698,0.19808
1986,17-29 y.,Lower Secondary Level,No,0.45510,434,575,0.41436,0.49584
1986,17-29 y.,Upper Secondary Level,Yes,0.24298,308,982,0.21614,0.26982
1986,17-29 y.,Upper Secondary Level,No,0.46586,674,982,0.43465,0.49708
1986,17-29 y.,Post-secondary Non-tertiary Level,No,0.41364,43,43,0.26470,0.56259
1986,17-29 y.,First Stage of Tertiary Education,No,0.47998,51,51,0.34150,0.61847
1986,17-29 y.,Second Stage of Tertiary Education,Yes,0.41265,34,69,0.29563,0.52966
1986,17-29 y.,Second Stage of Tertiary Education,No,0.39516,35,69,0.27896,0.51136
1986,30-45 y.,Primary Level,Yes,0.14588,32,163,0.09152,0.20024
1986,30-45 y.,Primary Level,No,0.40209,131,163,0.32659,0.47760
1986,30-45 y.,Lower Secondary Level,Yes,0.11808,79,392,0.08609,0.15006
1986,30-45 y.,Lower Secondary Level,No,0.46153,313,392,0.41212,0.51094
1986,30-45 y.,Upper Secondary Level,Yes,0.26911,418,1217,0.24418,0.29404
1986,30-45 y.,Upper Secondary Level,No,0.47311,799,1217,0.44504,0.50117
1986,30-45 y.,Post-secondary Non-tertiary Level,No,0.41604,48,48,0.27512,0.55696
1986,30-45 y.,First Stage of Tertiary Education,Yes,0.33758,72,168,0.26586,0.40931
1986,30-45 y.,First Stage of Tertiary Education,No,0.44379,96,168,0.36843,0.51914
1986,30-45 y.,Second Stage of Tertiary Education,Yes,0.35619,127,311,0.30288,0.40950
1986,30-45 y.,Second Stage of Tertiary Education,No,0.47549,184,311,0.41990,0.53109
1986,46-65 y.,Primary Level,No,0.47321,162,162,0.39608,0.55033
1986,46-65 y.,Lower Secondary Level,Yes,0.07138,84,432,0.04707,0.09568
1986,46-65 y.,Lower Secondary Level,No,0.31961,348,432,0.27558,0.36363
1986,46-65 y.,Upper Secondary Level,Yes,0.17509,269,897,0.15020,0.19997
1986,46-65 y.,Upper Secondary Level,No,0.39877,628,897,0.36671,0.43084
1986,46-65 y.,First Stage of Tertiary Education,Yes,0.27761,58,141,0.20343,0.35179
1986,46-65 y.,First Stage of Tertiary Education,No,0.42569,83,141,0.34379,0.50760
1986,46-65 y.,Second Stage of Tertiary Education,Yes,0.34210,77,177,0.27201,0.41219
1986,46-65 y.,Second Stage of Tertiary Education,No,0.42636,100,177,0.35330,0.49942
1988,17-29 y.,Primary Level,No,0.34548,42,42,0.19992,0.49104
1988,17-29 y.,Lower Secondary Level,Yes,0.17514,138,558,0.14357,0.20670
1988,17-29 y.,Lower Secondary Level,No,0.46042,420,558,0.41903,0.50182
1988,17-29 y.,Upper Secondary Level,Yes,0.25914,330,924,0.23087,0.28741
