year,regtyp,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Very important,0.14040,1157,5196,0.13096,0.14985
1990,Urban regions,Important,0.32145,2594,5196,0.30875,0.33415
1990,Urban regions,Less important,0.10379,823,5196,0.09549,0.11208
1990,Urban regions,Unimportant,0.09578,622,5196,0.08778,0.10378
1990,Rural regions,Very important,0.09413,374,1614,0.07988,0.10838
1990,Rural regions,Important,0.20466,778,1614,0.18497,0.22435
1990,Rural regions,Less important,0.07433,263,1614,0.06153,0.08713
1990,Rural regions,Unimportant,0.06776,199,1614,0.05550,0.08003
1992,Urban regions,Very important,0.16610,1608,6425,0.15700,0.17520
1992,Urban regions,Important,0.34006,3077,6425,0.32847,0.35164
1992,Urban regions,Less important,0.11065,935,6425,0.10298,0.11832
1992,Urban regions,Unimportant,0.11600,805,6425,0.10817,0.12383
1992,Rural regions,Very important,0.20071,1291,4077,0.18841,0.21301
1992,Rural regions,Important,0.33072,1820,4077,0.31628,0.34516
1992,Rural regions,Less important,0.08975,427,4077,0.08098,0.09853
1992,Rural regions,Unimportant,0.13320,539,4077,0.12277,0.14363
1995,Urban regions,Very important,0.16809,1671,6624,0.15908,0.17710
1995,Urban regions,Important,0.34751,3315,6624,0.33604,0.35898
1995,Urban regions,Less important,0.11177,971,6624,0.10418,0.11936
1995,Urban regions,Unimportant,0.09323,667,6624,0.08623,0.10023
1995,Rural regions,Very important,0.18776,1203,4120,0.17584,0.19969
1995,Rural regions,Important,0.35076,2018,4120,0.33618,0.36533
1995,Rural regions,Less important,0.09045,442,4120,0.08169,0.09921
1995,Rural regions,Unimportant,0.11936,457,4120,0.10945,0.12926
2004,Urban regions,Very important,0.16286,3026,13578,0.15665,0.16907
2004,Urban regions,Important,0.39211,7003,13578,0.38390,0.40032
2004,Urban regions,Less important,0.13276,2240,13578,0.12705,0.13847
2004,Urban regions,Unimportant,0.09018,1309,13578,0.08536,0.09500
2004,Rural regions,Very important,0.16818,1557,6876,0.15934,0.17703
2004,Rural regions,Important,0.40006,3630,6876,0.38848,0.41164
2004,Rural regions,Less important,0.11902,1002,6876,0.11137,0.12668
2004,Rural regions,Unimportant,0.09800,687,6876,0.09097,0.10502
2008,Urban regions,Very important,0.15064,2338,12031,0.14425,0.15703
2008,Urban regions,Important,0.40130,6158,12031,0.39254,0.41006
2008,Urban regions,Less important,0.13142,2020,12031,0.12538,0.13746
2008,Urban regions,Unimportant,0.10623,1515,12031,0.10072,0.11174
2008,Rural regions,Very important,0.15902,1261,6239,0.14995,0.16810
2008,Rural regions,Important,0.40708,3309,6239,0.39489,0.41927
2008,Rural regions,Less important,0.12009,942,6239,0.11202,0.12816
2008,Rural regions,Unimportant,0.09938,727,6239,0.09195,0.10680
2012,Urban regions,Very important,0.15476,3335,16431,0.14923,0.16029
2012,Urban regions,Important,0.39523,8496,16431,0.38775,0.40270
2012,Urban regions,Less important,0.13122,2992,16431,0.12606,0.13638
2012,Urban regions,Unimportant,0.09080,1608,16431,0.08641,0.09520
2012,Rural regions,Very important,0.15859,1958,9462,0.15123,0.16595
2012,Rural regions,Important,0.39746,5111,9462,0.38760,0.40732
2012,Rural regions,Less important,0.12987,1527,9462,0.12309,0.13664
2012,Rural regions,Unimportant,0.08251,866,9462,0.07697,0.08806
2016,Urban regions,Very important,0.13831,2864,14875,0.13276,0.14386
2016,Urban regions,Important,0.38856,7569,14875,0.38073,0.39639
2016,Urban regions,Less important,0.16000,3021,14875,0.15411,0.16589
2016,Urban regions,Unimportant,0.09010,1421,14875,0.08550,0.09470
2016,Rural regions,Very important,0.14394,1533,8015,0.13625,0.15162
2016,Rural regions,Important,0.40724,4245,8015,0.39648,0.41799
2016,Rural regions,Less important,0.15008,1499,8015,0.14226,0.15790
2016,Rural regions,Unimportant,0.08293,738,8015,0.07690,0.08897
2021,Urban regions,Very important,0.11416,1825,10653,0.10812,0.12020
2021,Urban regions,Important,0.37506,5514,10653,0.36587,0.38425
2021,Urban regions,Less important,0.18331,2421,10653,0.17596,0.19066
2021,Urban regions,Unimportant,0.07606,893,10653,0.07103,0.08110
2021,Rural regions,Very important,0.11212,868,5427,0.10372,0.12051
2021,Rural regions,Important,0.40844,2905,5427,0.39536,0.42151
2021,Rural regions,Less important,0.16446,1147,5427,0.15460,0.17433
2021,Rural regions,Unimportant,0.08419,507,5427,0.07681,0.09158
