year,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Very important,0.12519,1531,6810,0.11733,0.13305
1990,Important,0.28320,3372,6810,0.27250,0.29390
1990,Less important,0.09405,1086,6810,0.08711,0.10098
1990,Unimportant,0.08653,821,6810,0.07985,0.09321
1992,Very important,0.17766,2941,10616,0.17039,0.18494
1992,Important,0.33693,4952,10616,0.32794,0.34592
1992,Less important,0.10363,1370,10616,0.09783,0.10943
1992,Unimportant,0.12121,1353,10616,0.11500,0.12742
1995,Very important,0.17439,2874,10744,0.16722,0.18157
1995,Important,0.34855,5333,10744,0.33954,0.35756
1995,Less important,0.10494,1413,10744,0.09915,0.11074
1995,Unimportant,0.10160,1124,10744,0.09588,0.10731
2004,Very important,0.16454,4583,20454,0.15946,0.16962
2004,Important,0.39462,10633,20454,0.38792,0.40131
2004,Less important,0.12843,3242,20454,0.12384,0.13301
2004,Unimportant,0.09264,1996,20454,0.08867,0.09662
2008,Very important,0.15331,3599,18270,0.14809,0.15854
2008,Important,0.40314,9467,18270,0.39603,0.41025
2008,Less important,0.12781,2962,18270,0.12296,0.13265
2008,Unimportant,0.10404,2242,18270,0.09962,0.10847
2012,Very important,0.15601,5293,25893,0.15159,0.16043
2012,Important,0.39596,13607,25893,0.39000,0.40191
2012,Less important,0.13078,4519,25893,0.12667,0.13489
2012,Unimportant,0.08810,2474,25893,0.08464,0.09155
2016,Very important,0.14011,4397,22890,0.13561,0.14460
2016,Important,0.39453,11814,22890,0.38820,0.40086
2016,Less important,0.15683,4520,22890,0.15212,0.16154
2016,Unimportant,0.08781,2159,22890,0.08414,0.09148
2021,Very important,0.11348,2693,16081,0.10858,0.11839
2021,Important,0.38562,8419,16081,0.37810,0.39314
2021,Less important,0.17747,3569,16081,0.17156,0.18338
2021,Unimportant,0.07864,1400,16081,0.07448,0.08280
