year,pgisced97,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,Very important,0.31002,42,98,0.21798,0.40207
1990,Pre-primary Level,Important,0.42593,56,98,0.32752,0.52434
1990,Lower Secondary Level,Very important,0.12874,291,1528,0.11194,0.14554
1990,Lower Secondary Level,Important,0.28223,612,1528,0.25966,0.30481
1990,Lower Secondary Level,Less important,0.14507,290,1528,0.12741,0.16273
1990,Lower Secondary Level,Unimportant,0.19375,335,1528,0.17393,0.21358
1990,Upper Secondary Level,Very important,0.15589,837,3708,0.14421,0.16757
1990,Upper Secondary Level,Important,0.36673,1918,3708,0.35122,0.38224
1990,Upper Secondary Level,Less important,0.11091,568,3708,0.10080,0.12102
1990,Upper Secondary Level,Unimportant,0.09301,385,3708,0.08366,0.10236
1990,Post-secondary Non-tertiary Level,Very important,0.25949,61,171,0.19360,0.32539
1990,Post-secondary Non-tertiary Level,Important,0.40546,110,171,0.33166,0.47927
1990,First Stage of Tertiary Education,Very important,0.14964,100,474,0.11750,0.18179
1990,First Stage of Tertiary Education,Important,0.39852,252,474,0.35440,0.44264
1990,First Stage of Tertiary Education,Less important,0.13233,81,474,0.10179,0.16287
1990,First Stage of Tertiary Education,Unimportant,0.08219,41,474,0.05744,0.10694
1990,Second Stage of Tertiary Education,Very important,0.13910,156,640,0.11227,0.16593
1990,Second Stage of Tertiary Education,Important,0.33978,359,640,0.30306,0.37651
1990,Second Stage of Tertiary Education,Less important,0.07926,88,640,0.05832,0.10021
1990,Second Stage of Tertiary Education,Unimportant,0.04049,37,640,0.02521,0.05578
1992,Pre-primary Level,Very important,0.35855,61,125,0.27414,0.44296
1992,Pre-primary Level,Important,0.40806,64,125,0.32156,0.49457
1992,Primary Level,Important,0.12532,34,34,0.01236,0.23828
1992,Lower Secondary Level,Very important,0.13608,383,1857,0.12048,0.15168
1992,Lower Secondary Level,Important,0.30504,691,1857,0.28409,0.32599
1992,Lower Secondary Level,Less important,0.15168,320,1857,0.13536,0.16799
1992,Lower Secondary Level,Unimportant,0.25387,463,1857,0.23407,0.27367
1992,Upper Secondary Level,Very important,0.22301,1601,5836,0.21233,0.23369
1992,Upper Secondary Level,Important,0.43816,2817,5836,0.42543,0.45089
1992,Upper Secondary Level,Less important,0.12641,748,5836,0.11789,0.13494
1992,Upper Secondary Level,Unimportant,0.13628,670,5836,0.12747,0.14508
1992,Post-secondary Non-tertiary Level,Very important,0.22792,76,271,0.17788,0.27796
1992,Post-secondary Non-tertiary Level,Important,0.46443,156,271,0.40494,0.52392
1992,Post-secondary Non-tertiary Level,Less important,0.12650,39,271,0.08685,0.16615
1992,First Stage of Tertiary Education,Very important,0.26114,230,725,0.22914,0.29313
1992,First Stage of Tertiary Education,Important,0.42888,332,725,0.39283,0.46493
1992,First Stage of Tertiary Education,Less important,0.13490,87,725,0.11002,0.15978
1992,First Stage of Tertiary Education,Unimportant,0.12267,76,725,0.09877,0.14656
1992,Second Stage of Tertiary Education,Very important,0.29257,523,1574,0.27008,0.31505
1992,Second Stage of Tertiary Education,Important,0.49592,810,1574,0.47121,0.52063
1992,Second Stage of Tertiary Education,Less important,0.09259,137,1574,0.07827,0.10692
1992,Second Stage of Tertiary Education,Unimportant,0.07904,104,1574,0.06570,0.09237
1995,Pre-primary Level,Very important,0.37505,110,219,0.31078,0.43932
1995,Pre-primary Level,Important,0.44340,109,219,0.37745,0.50935
1995,Primary Level,Important,0.14478,36,36,0.02820,0.26136
1995,Lower Secondary Level,Very important,0.15597,375,1717,0.13881,0.17314
1995,Lower Secondary Level,Important,0.30854,703,1717,0.28669,0.33040
1995,Lower Secondary Level,Less important,0.13407,262,1717,0.11795,0.15020
1995,Lower Secondary Level,Unimportant,0.23553,377,1717,0.21545,0.25560
1995,Upper Secondary Level,Very important,0.21803,1546,5822,0.20743,0.22864
1995,Upper Secondary Level,Important,0.44776,2953,5822,0.43498,0.46053
1995,Upper Secondary Level,Less important,0.12878,766,5822,0.12017,0.13738
1995,Upper Secondary Level,Unimportant,0.11336,557,5822,0.10522,0.12151
1995,Post-secondary Non-tertiary Level,Very important,0.24292,111,376,0.19952,0.28633
1995,Post-secondary Non-tertiary Level,Important,0.50121,208,376,0.45060,0.55181
1995,Post-secondary Non-tertiary Level,Less important,0.14233,57,376,0.10697,0.17769
1995,First Stage of Tertiary Education,Very important,0.22251,190,702,0.19172,0.25330
1995,First Stage of Tertiary Education,Important,0.46206,357,702,0.42515,0.49896
1995,First Stage of Tertiary Education,Less important,0.15040,103,702,0.12393,0.17686
1995,First Stage of Tertiary Education,Unimportant,0.09143,52,702,0.07009,0.11277
1995,Second Stage of Tertiary Education,Very important,0.25197,479,1656,0.23105,0.27288
1995,Second Stage of Tertiary Education,Important,0.51381,917,1656,0.48973,0.53789
1995,Second Stage of Tertiary Education,Less important,0.10955,162,1656,0.09450,0.12460
1995,Second Stage of Tertiary Education,Unimportant,0.07645,98,1656,0.06365,0.08925
2004,Pre-primary Level,Very important,0.41765,246,606,0.37835,0.45695
2004,Pre-primary Level,Important,0.47320,324,606,0.43342,0.51299
2004,Pre-primary Level,Less important,0.05548,36,606,0.03724,0.07372
2004,Primary Level,Very important,0.13448,32,233,0.09058,0.17838
2004,Primary Level,Important,0.31387,75,233,0.25415,0.37359
