"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","11.98","12.5","272","11.77","12.19"
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","13.65","13.25","589","13.58","13.72"
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","7.16","7","1006","7.13","7.19"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","7.25","7","68","7.11","7.39"
"1984","AkademikerIn","direkter Migrationshintergrund","16.12","16.5","121","15.65","16.59"
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","16.62","17.5","666","16.48","16.76"
"1984","Hauptschule","direkter Migrationshintergrund","9.78","9.75","1727","9.74","9.82"
"1984","Hauptschule","indirekter Migrationshintergrund","9.97","9.75","73","9.79","10.15"
"1984","Hauptschule","kein Migrationshintergrund","10","9.75","5449","9.98","10.02"
"1984","Realschule","direkter Migrationshintergrund","11.24","10.75","139","11.1","11.38"
"1984","Realschule","indirekter Migrationshintergrund","","","","",""
"1984","Realschule","kein Migrationshintergrund","11.29","10.75","1718","11.25","11.33"
"1985","(Fach-)Abitur","direkter Migrationshintergrund","11.99","12.5","230","11.75","12.23"
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","13.7","13.25","552","13.63","13.77"
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","7.15","7","817","7.12","7.18"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund","7.26","7","71","7.12","7.4"
"1985","AkademikerIn","direkter Migrationshintergrund","15.9","15.5","110","15.41","16.39"
"1985","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1985","AkademikerIn","kein Migrationshintergrund","16.66","17.5","640","16.52","16.8"
"1985","Hauptschule","direkter Migrationshintergrund","9.79","9.75","1504","9.75","9.83"
"1985","Hauptschule","indirekter Migrationshintergrund","9.94","9.75","80","9.76","10.12"
"1985","Hauptschule","kein Migrationshintergrund","10.01","9.75","4857","9.99","10.03"
"1985","Realschule","direkter Migrationshintergrund","11.24","10.75","138","11.09","11.39"
"1985","Realschule","indirekter Migrationshintergrund","11.22","10.75","31","10.91","11.53"
"1985","Realschule","kein Migrationshintergrund","11.26","10.75","1646","11.22","11.3"
"1986","(Fach-)Abitur","direkter Migrationshintergrund","11.95","12.5","229","11.71","12.19"
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1986","(Fach-)Abitur","kein Migrationshintergrund","13.65","13.25","570","13.58","13.72"
"1986","(noch) kein Abschluss","direkter Migrationshintergrund","7.14","7","754","7.11","7.17"
"1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1986","(noch) kein Abschluss","kein Migrationshintergrund","7.28","7","72","7.14","7.42"
"1986","AkademikerIn","direkter Migrationshintergrund","15.92","15.5","110","15.42","16.42"
"1986","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1986","AkademikerIn","kein Migrationshintergrund","16.66","17.5","633","16.52","16.8"
"1986","Hauptschule","direkter Migrationshintergrund","9.78","9.75","1480","9.74","9.82"
"1986","Hauptschule","indirekter Migrationshintergrund","9.91","9.75","85","9.74","10.08"
"1986","Hauptschule","kein Migrationshintergrund","10.02","9.75","4525","10","10.04"
"1986","Realschule","direkter Migrationshintergrund","11.22","10.75","145","11.08","11.36"
"1986","Realschule","indirekter Migrationshintergrund","11.27","10.75","31","10.96","11.58"
"1986","Realschule","kein Migrationshintergrund","11.27","10.75","1596","11.23","11.31"
"1987","(Fach-)Abitur","direkter Migrationshintergrund","11.99","12.5","228","11.74","12.24"
"1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1987","(Fach-)Abitur","kein Migrationshintergrund","13.68","13.25","538","13.6","13.76"
"1987","(noch) kein Abschluss","direkter Migrationshintergrund","7.15","7","738","7.12","7.18"
"1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1987","(noch) kein Abschluss","kein Migrationshintergrund","7.36","7","60","7.19","7.53"
"1987","AkademikerIn","direkter Migrationshintergrund","15.83","15.5","100","15.32","16.34"
"1987","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1987","AkademikerIn","kein Migrationshintergrund","16.68","17.5","636","16.54","16.82"
"1987","Hauptschule","direkter Migrationshintergrund","9.76","9","1493","9.72","9.8"
"1987","Hauptschule","indirekter Migrationshintergrund","10","9.75","95","9.84","10.16"
"1987","Hauptschule","kein Migrationshintergrund","10.04","9.75","4428","10.02","10.06"
