"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","(Fach-)Abitur","13.43","13.25","868","12","13","14.5","15","15","13.31","13.55","9","15","13","13"
"1984","(noch) kein Abschluss","7.19","7","1080","7","7","7","8.5","9","7.16","7.22","7","9","7","7"
"1984","AkademikerIn","16.58","17.5","790","13","15","18","18","18","16.43","16.73","10","18","18","18"
"1984","Hauptschule","9.98","9.75","7249","9","9","10.5","11","11","9.96","10","9","11","10.5","10.5"
"1984","Realschule","11.28","10.75","1885","10","11.5","12","12","12","11.25","11.31","10","12","11.5","11.5"
"1985","(Fach-)Abitur","13.49","13.25","787","12","13","14.5","15","15","13.36","13.62","9","15","13","13"
"1985","(noch) kein Abschluss","7.19","7","895","7","7","7","8.5","9","7.16","7.22","7","9","7","7"
"1985","AkademikerIn","16.6","17.5","753","13","15","18","18","18","16.45","16.75","10","18","18","18"
"1985","Hauptschule","9.99","9.75","6441","9","9","10.5","11","11","9.97","10.01","9","11","10.5","10.5"
"1985","Realschule","11.26","10.75","1815","10","10","12","12","12","11.22","11.3","10","12","11.5","11.5"
"1986","(Fach-)Abitur","13.45","13.25","808","12","13","14.5","15","15","13.33","13.57","9","15","13","13"
"1986","(noch) kein Abschluss","7.2","7","833","7","7","7","8.5","9","7.17","7.23","7","9","7","7"
"1986","AkademikerIn","16.6","17.5","746","13","15","18","18","18","16.45","16.75","10","18","18","18"
"1986","Hauptschule","10","9.75","6090","9","9","10.5","11","11","9.98","10.02","9","11","10.5","10.5"
"1986","Realschule","11.27","10.75","1772","10","11.5","12","12","12","11.23","11.31","10","12","11.5","11.5"
"1987","(Fach-)Abitur","13.47","13.25","780","12","13","14.5","15","15","13.34","13.6","9","15","13","13"
"1987","(noch) kein Abschluss","7.21","7","807","7","7","7","8.5","9","7.18","7.24","7","9","7","7"
"1987","AkademikerIn","16.61","17.5","739","13","15","18","18","18","16.46","16.76","10","18","18","18"
"1987","Hauptschule","10.01","9.75","6016","9","9","10.5","11","11","9.99","10.03","9","11","10.5","10.5"
"1987","Realschule","11.32","10.75","1759","10","11.5","12","12","12","11.28","11.36","10","12","11.5","11.5"
"1988","(Fach-)Abitur","13.52","13.25","737","13","13","14.5","15","15","13.39","13.65","9","15","13","13"
"1988","(noch) kein Abschluss","7.23","7","741","7","7","7","8.5","9","7.2","7.26","7","9","7","7"
"1988","AkademikerIn","16.68","17.5","698","13","15","18","18","18","16.54","16.82","10","18","18","18"
"1988","Hauptschule","10.02","9.75","5744","9","9","10.5","11","11","10","10.04","9","11","10.5","10.5"
"1988","Realschule","11.33","10.75","1701","10","11.5","12","12","12","11.29","11.37","10","12","11.5","11.5"
"1989","(Fach-)Abitur","13.54","13.25","754","13","13","14.5","15","15","13.42","13.66","9","15","13","13"
"1989","(noch) kein Abschluss","7.21","7","710","7","7","7","8.5","9","7.17","7.25","7","9","7","7"
"1989","AkademikerIn","16.7","17.5","693","15","15","18","18","18","16.56","16.84","10","18","18","18"
"1989","Hauptschule","10.02","9.75","5494","9","9","10.5","11","11","10","10.04","9","11","10.5","10.5"
"1989","Realschule","11.33","10.75","1651","10","11.5","12","12","12","11.29","11.37","10","12","11.5","11.5"
"1990","(Fach-)Abitur","13.56","13.25","877","13","13","14.5","15","15","13.45","13.67","9","15","13","13.5"
"1990","(noch) kein Abschluss","7.22","7","691","7","7","7","8.5","9","7.18","7.26","7","9","7","7"
"1990","AkademikerIn","15.98","15.5","1685","13","13","18","18","18","15.87","16.09","10","18","16","16"
"1990","Hauptschule","10.05","9.75","7020","9","9","10.5","11","11","10.03","10.07","9","11","10.5","10.5"
"1990","Realschule","11.35","11.25","3200","10","11.5","11.5","12","12","11.33","11.37","10","12","11.5","11.5"
"1991","(Fach-)Abitur","13.56","13.25","890","12","13","14.5","15","15","13.45","13.67","9","15","13","13.5"
"1991","(noch) kein Abschluss","7.2","7","723","7","7","7","8.5","9","7.16","7.24","7","9","7","7"
"1991","AkademikerIn","15.96","15.5","1669","13","13","18","18","18","15.85","16.07","10","18","16","16"
"1991","Hauptschule","10.06","9.75","6755","9","9","10.5","11","11","10.04","10.08","9","11","10.5","10.5"
