year,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.52047,2855,5740,0.50755,0.53340
1984,West,No,0.45821,2885,5740,0.44532,0.47110
1985,West,Yes,0.52667,2631,5156,0.51304,0.54030
1985,West,No,0.45182,2525,5156,0.43823,0.46540
1986,West,Yes,0.52684,2557,4912,0.51288,0.54081
1986,West,No,0.44823,2355,4912,0.43432,0.46214
1987,West,Yes,0.52626,2532,4859,0.51222,0.54030
1987,West,No,0.45203,2327,4859,0.43803,0.46602
1988,West,Yes,0.54471,2490,4665,0.53041,0.55900
1988,West,No,0.43481,2175,4665,0.42058,0.44904
1989,West,Yes,0.54584,2441,4548,0.53137,0.56032
1989,West,No,0.43216,2107,4548,0.41776,0.44655
1990,West,Yes,0.55067,2446,4482,0.53611,0.56524
1990,West,No,0.42463,2036,4482,0.41016,0.43910
1990,East,Yes,0.43369,1009,1009,0.40309,0.46428
1991,West,Yes,0.56348,2527,4622,0.54918,0.57778
1991,West,No,0.43059,2095,4622,0.41631,0.44486
1991,East,Yes,0.43749,938,1932,0.41536,0.45961
1991,East,No,0.53192,994,1932,0.50966,0.55418
1992,West,Yes,0.56432,2519,4591,0.54998,0.57867
1992,West,No,0.42113,2072,4591,0.40684,0.43541
1992,East,Yes,0.42502,885,1840,0.40242,0.44761
1992,East,No,0.50825,955,1840,0.48540,0.53110
1993,West,Yes,0.56286,2537,4578,0.54849,0.57723
1993,West,No,0.40899,2041,4578,0.39474,0.42323
1993,East,Yes,0.43793,861,1778,0.41486,0.46099
1993,East,No,0.49151,917,1778,0.46827,0.51476
1994,West,Yes,0.56895,2538,4506,0.55449,0.58342
1994,West,No,0.39588,1968,4506,0.38159,0.41016
1994,East,Yes,0.43250,851,1755,0.40931,0.45568
1994,East,No,0.49361,904,1755,0.47022,0.51701
1995,West,Yes,0.56477,2614,4728,0.55064,0.57891
1995,West,No,0.39680,2114,4728,0.38285,0.41075
1995,East,Yes,0.42636,826,1710,0.40292,0.44981
1995,East,No,0.48978,884,1710,0.46608,0.51348
1996,West,Yes,0.56669,2596,4657,0.55246,0.58092
1996,West,No,0.39916,2061,4657,0.38510,0.41323
1996,East,Yes,0.42685,844,1723,0.40349,0.45021
1996,East,No,0.49290,879,1723,0.46929,0.51652
1997,West,Yes,0.57157,2626,4586,0.55725,0.58590
