"hgeqpgar","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Schleswig-Holstein","2","62","0.716644014551655","0.626501346354712","0.806786682748597"
"Ja","1995","Schleswig-Holstein","3","66","0.733948412723652","0.641093655325944","0.82680317012136"
"Ja","1995","Schleswig-Holstein","4","45","0.910287906203643","0.829444918523373","0.991130893883913"
"Ja","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hamburg","2","9","0.201719225015416","0.0788883223892564","0.324550127641575"
"Ja","1995","Hamburg","3","21","","",""
"Ja","1995","Hamburg","4","8","0.297122406597789","0.110359026848361","0.483885786347218"
"Ja","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Niedersachsen","2","264","","",""
"Ja","1995","Niedersachsen","3","175","","",""
"Ja","1995","Niedersachsen","4","146","","",""
"Ja","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bremen","2","17","","",""
"Ja","1995","Bremen","3","3","","",""
"Ja","1995","Bremen","4","4","0.292790279951667","0.0544285596303066","0.531152000273028"
"Ja","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","2","489","0.613126749852255","0.580763811360637","0.645489688343873"
"Ja","1995","Nordrhein-Westfalen","3","379","0.684924310412861","0.646585619706875","0.723263001118847"
"Ja","1995","Nordrhein-Westfalen","4","283","","",""
"Ja","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hessen","2","155","","",""
"Ja","1995","Hessen","3","131","","",""
"Ja","1995","Hessen","4","88","0.618620093323376","0.539831639411568","0.697408547235183"
"Ja","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","2","199","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","3","137","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","4","97","0.827066016730904","0.758538432701393","0.895593600760414"
"Ja","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","2","368","0.671744437606195","0.63572809682618","0.707760778386209"
"Ja","1995","Baden-Wuerttemberg","3","258","","",""
"Ja","1995","Baden-Wuerttemberg","4","190","","",""
"Ja","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bayern","2","392","0.71325733378896","0.676827556172669","0.749687111405251"
"Ja","1995","Bayern","3","312","0.685115680388906","0.642899485552856","0.727331875224956"
"Ja","1995","Bayern","4","173","","",""
"Ja","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Saarland","2","","","",""
"Ja","1995","Saarland","3","","","",""
"Ja","1995","Saarland","4","","","",""
"Ja","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Berlin","2","21","","",""
