"hgeqpgar","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","2","2724","","",""
"Ja","1995","3","1832","","",""
"Ja","1995","4","1155","","",""
"Ja","1995","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","2","2075","","",""
"Nein","1995","3","1087","","",""
"Nein","1995","4","574","0.319121638724168","0.297149947492928","0.341093329955408"
"Nein","1995","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","2","2786","","",""
"Ja","1996","3","1889","","",""
"Ja","1996","4","1204","","",""
"Ja","1996","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","2","2020","","",""
"Nein","1996","3","1157","","",""
"Nein","1996","4","630","0.299119813021097","0.278164560084183","0.320075065958011"
"Nein","1996","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","2","2796","","",""
"Ja","1997","3","1931","","",""
"Ja","1997","4","1256","","",""
"Ja","1997","5 Einkommensstärkstes Quintil","","","",""
"Nein","1997","1 Einkommensschwächstes Quintil","","","",""
"Nein","1997","2","1896","","",""
"Nein","1997","3","1215","","",""
"Nein","1997","4","627","0.31187345411378","0.290949377952981","0.332797530274579"
"Nein","1997","5 Einkommensstärkstes Quintil","","","",""
"Ja","1998","1 Einkommensschwächstes Quintil","","","",""
"Ja","1998","2","3060","0.602929809863954","0.589573060505397","0.616286559222511"
"Ja","1998","3","2209","","",""
"Ja","1998","4","1588","","",""
"Ja","1998","5 Einkommensstärkstes Quintil","","","",""
"Nein","1998","1 Einkommensschwächstes Quintil","","","",""
"Nein","1998","2","2095","","",""
"Nein","1998","3","1368","","",""
"Nein","1998","4","789","0.314989644266653","0.296315951608824","0.333663336924482"
"Nein","1998","5 Einkommensstärkstes Quintil","","","",""
"Ja","1999","1 Einkommensschwächstes Quintil","","","",""
"Ja","1999","2","3086","0.603469355441549","0.590250923821916","0.616687787061182"
"Ja","1999","3","2296","","",""
"Ja","1999","4","1633","","",""
"Ja","1999","5 Einkommensstärkstes Quintil","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","","","",""
"Nein","1999","2","2175","","",""
"Nein","1999","3","1325","","",""
"Nein","1999","4","778","0.331009384788862","0.312225749289205","0.349793020288519"
"Nein","1999","5 Einkommensstärkstes Quintil","","","",""
"Ja","2000","1 Einkommensschwächstes Quintil","","","",""
"Ja","2000","2","5499","0.613082166347023","0.602803488502622","0.623360844191423"
"Ja","2000","3","4569","0.663172425483215","0.651839438128998","0.674505412837432"
"Ja","2000","4","3330","0.673193360083608","0.65976378422751","0.686622935939707"
"Ja","2000","5 Einkommensstärkstes Quintil","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","","","",""
"Nein","2000","2","3126","0.386917833652977","0.376639155808577","0.397196511497378"
"Nein","2000","3","2112","","",""
"Nein","2000","4","1356","","",""
"Nein","2000","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","2","4910","0.627450856257434","0.616532789379136","0.638368923135732"
"Ja","2001","3","4213","0.65474889291768","0.642930386818747","0.666567399016613"
"Ja","2001","4","3230","0.675173191624335","0.66158367597936","0.688762707269309"
"Ja","2001","5 Einkommensstärkstes Quintil","","","",""
"Nein","2001","1 Einkommensschwächstes Quintil","","","",""
"Nein","2001","2","2623","","",""
"Nein","2001","3","2004","","",""
"Nein","2001","4","1332","","",""
"Nein","2001","5 Einkommensstärkstes Quintil","","","",""
"Ja","2002","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","2","4108","0.623479050734562","0.611697643639828","0.635260457829296"
"Ja","2002","3","3978","0.654774657109627","0.642634788464109","0.666914525755146"
"Ja","2002","4","4154","0.672933389375019","0.660772421565972","0.685094357184065"
"Ja","2002","5 Einkommensstärkstes Quintil","","","",""
"Nein","2002","1 Einkommensschwächstes Quintil","","","",""
"Nein","2002","2","2389","","",""
"Nein","2002","3","1914","","",""
"Nein","2002","4","1563","","",""
"Nein","2002","5 Einkommensstärkstes Quintil","","","",""
"Ja","2003","1 Einkommensschwächstes Quintil","","","",""
"Ja","2003","2","3819","0.618022771458406","0.60574818428273","0.630297358634082"
"Ja","2003","3","4182","0.674684593349533","0.66285395110215","0.686515235596917"
"Ja","2003","4","4168","0.673870144037329","0.661716028494977","0.686024259579681"
"Ja","2003","5 Einkommensstärkstes Quintil","","","",""
"Nein","2003","1 Einkommensschwächstes Quintil","","","",""
"Nein","2003","2","2200","","",""
"Nein","2003","3","1842","","",""
"Nein","2003","4","1547","","",""
