year,regtyp,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Owner,Yes,0.88471,1767,1993,0.87069,0.89874
1984,No answer / don't know,Owner,No,0.11529,226,1993,0.10126,0.12931
1984,No answer / don't know,Tenant,Yes,0.28915,1088,3747,0.27463,0.30366
1984,No answer / don't know,Tenant,No,0.71085,2659,3747,0.69634,0.72537
1985,Urban regions,Owner,Yes,0.86182,1125,1295,0.84301,0.88062
1985,Urban regions,Owner,No,0.13818,170,1295,0.11938,0.15699
1985,Urban regions,Tenant,Yes,0.27588,773,2812,0.25936,0.29241
1985,Urban regions,Tenant,No,0.72412,2039,2812,0.70759,0.74064
1985,Rural regions,Owner,Yes,0.92893,512,551,0.90745,0.95040
1985,Rural regions,Owner,No,0.07107,39,551,0.04960,0.09255
1985,Rural regions,Tenant,Yes,0.43877,221,498,0.39514,0.48239
1985,Rural regions,Tenant,No,0.56123,277,498,0.51761,0.60486
1986,Urban regions,Owner,Yes,0.85798,1108,1277,0.83882,0.87713
1986,Urban regions,Owner,No,0.14202,169,1277,0.12287,0.16118
1986,Urban regions,Tenant,Yes,0.28196,743,2639,0.26479,0.29913
1986,Urban regions,Tenant,No,0.71804,1896,2639,0.70087,0.73521
1986,Rural regions,Owner,Yes,0.92979,497,535,0.90812,0.95146
1986,Rural regions,Owner,No,0.07021,38,535,0.04854,0.09188
1986,Rural regions,Tenant,Yes,0.46118,209,458,0.41548,0.50689
1986,Rural regions,Tenant,No,0.53882,249,458,0.49311,0.58452
1987,Urban regions,Owner,Yes,0.85733,1116,1291,0.83824,0.87641
1987,Urban regions,Owner,No,0.14267,175,1291,0.12359,0.16176
1987,Urban regions,Tenant,Yes,0.28297,724,2585,0.26560,0.30034
1987,Urban regions,Tenant,No,0.71703,1861,2585,0.69966,0.73440
1987,Rural regions,Owner,Yes,0.92468,484,520,0.90198,0.94739
1987,Rural regions,Owner,No,0.07532,36,520,0.05261,0.09802
1987,Rural regions,Tenant,Yes,0.45812,208,462,0.41264,0.50360
1987,Rural regions,Tenant,No,0.54188,254,462,0.49640,0.58736
1988,Urban regions,Owner,Yes,0.85999,1086,1254,0.84077,0.87920
1988,Urban regions,Owner,No,0.14001,168,1254,0.12080,0.15923
1988,Urban regions,Tenant,Yes,0.30648,744,2482,0.28834,0.32463
1988,Urban regions,Tenant,No,0.69352,1738,2482,0.67537,0.71166
1988,Rural regions,Owner,Yes,0.92274,440,477,0.89876,0.94673
1988,Rural regions,Owner,No,0.07726,37,477,0.05327,0.10124
1988,Rural regions,Tenant,Yes,0.50411,220,452,0.45797,0.55026
1988,Rural regions,Tenant,No,0.49589,232,452,0.44974,0.54203
1989,Urban regions,Owner,Yes,0.86689,1072,1236,0.84795,0.88584
1989,Urban regions,Owner,No,0.13311,164,1236,0.11416,0.15205
1989,Urban regions,Tenant,Yes,0.30363,730,2419,0.28531,0.32196
1989,Urban regions,Tenant,No,0.69637,1689,2419,0.67804,0.71469
1989,Rural regions,Owner,Yes,0.94098,431,431,0.91870,0.96325
1989,Rural regions,Tenant,Yes,0.47834,206,431,0.43112,0.52555
1989,Rural regions,Tenant,No,0.52166,225,431,0.47445,0.56888
1990,Urban regions,Owner,Yes,0.86455,1155,1327,0.84613,0.88297
1990,Urban regions,Owner,No,0.13545,172,1327,0.11703,0.15387
1990,Urban regions,Tenant,Yes,0.33509,865,2470,0.31647,0.35371
1990,Urban regions,Tenant,No,0.66491,1605,2470,0.64629,0.68353
1990,Rural regions,Owner,Yes,0.95298,933,966,0.93962,0.96634
1990,Rural regions,Owner,No,0.04702,33,966,0.03366,0.06038
1990,Rural regions,Tenant,Yes,0.61466,489,715,0.57896,0.65036
1990,Rural regions,Tenant,No,0.38534,226,715,0.34964,0.42104
1991,No answer / don't know,Tenant,No,0.81964,34,34,0.68845,0.95082
1991,Urban regions,Owner,Yes,0.88544,1200,1344,0.86840,0.90247
1991,Urban regions,Owner,No,0.11456,144,1344,0.09753,0.13160
1991,Urban regions,Tenant,Yes,0.29574,846,2975,0.27934,0.31214
1991,Urban regions,Tenant,No,0.70426,2129,2975,0.68786,0.72066
1991,Rural regions,Owner,Yes,0.93371,924,989,0.91819,0.94922
1991,Rural regions,Owner,No,0.06629,65,989,0.05078,0.08181
1991,Rural regions,Tenant,Yes,0.41014,483,1199,0.38228,0.43799
1991,Rural regions,Tenant,No,0.58986,716,1199,0.56201,0.61772
1992,No answer / don't know,Tenant,No,0.71171,39,39,0.56769,0.85573
1992,Urban regions,Owner,Yes,0.89319,1224,1366,0.87680,0.90957
