year,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Yes,0.33444,391,1247,0.30825,0.36064
1984,Single-person household,No,0.63334,856,1247,0.60659,0.66010
1984,Couple without children,Yes,0.54232,683,1321,0.51544,0.56919
1984,Couple without children,No,0.43540,638,1321,0.40865,0.46215
1984,Single parent,Yes,0.43447,127,320,0.38008,0.48887
1984,Single parent,No,0.54597,193,320,0.49133,0.60061
1984,Couple with children,Yes,0.68096,1501,2593,0.66301,0.69890
1984,Couple with children,No,0.30670,1092,2593,0.28894,0.32445
1984,Multi-generational household,Yes,0.78503,85,126,0.71301,0.85704
1984,Multi-generational household,No,0.20413,41,126,0.13347,0.27479
1984,Other Combinations,Yes,0.57267,68,133,0.48828,0.65706
1984,Other Combinations,No,0.42662,65,133,0.34224,0.51099
1985,Single-person household,Yes,0.34237,348,1107,0.31441,0.37034
1985,Single-person household,No,0.62774,759,1107,0.59925,0.65623
1985,Couple without children,Yes,0.55125,627,1199,0.52309,0.57942
1985,Couple without children,No,0.42839,572,1199,0.40036,0.45641
1985,Single parent,Yes,0.46466,123,286,0.40675,0.52256
1985,Single parent,No,0.51273,163,286,0.45470,0.57076
1985,Couple with children,Yes,0.69381,1390,2330,0.67509,0.71253
1985,Couple with children,No,0.29172,940,2330,0.27326,0.31018
1985,Multi-generational household,Yes,0.80361,79,113,0.73004,0.87719
1985,Multi-generational household,No,0.18153,34,113,0.11015,0.25292
1985,Other Combinations,Yes,0.57503,64,121,0.48658,0.66348
1985,Other Combinations,No,0.41307,57,121,0.32497,0.50117
1986,Single-person household,Yes,0.34713,346,1038,0.31816,0.37611
1986,Single-person household,No,0.61745,692,1038,0.58787,0.64703
1986,Couple without children,Yes,0.55320,629,1180,0.52482,0.58158
1986,Couple without children,No,0.42331,551,1180,0.39511,0.45152
1986,Single parent,Yes,0.50495,128,274,0.44564,0.56426
1986,Single parent,No,0.46477,146,274,0.40560,0.52393
1986,Couple with children,Yes,0.68785,1312,2189,0.66844,0.70727
1986,Couple with children,No,0.29620,877,2189,0.27707,0.31533
1986,Multi-generational household,Yes,0.73686,74,114,0.65567,0.81805
1986,Multi-generational household,No,0.24826,40,114,0.16861,0.32791
1986,Other Combinations,Yes,0.61216,68,117,0.52349,0.70083
1986,Other Combinations,No,0.38638,49,117,0.29777,0.47499
1987,Single-person household,Yes,0.34982,353,1046,0.32090,0.37874
1987,Single-person household,No,0.62125,693,1046,0.59184,0.65067
1987,Couple without children,Yes,0.56372,637,1169,0.53528,0.59216
1987,Couple without children,No,0.41518,532,1169,0.38692,0.44344
1987,Single parent,Yes,0.53499,132,268,0.47516,0.59481
1987,Single parent,No,0.42999,136,268,0.37060,0.48937
1987,Couple with children,Yes,0.68354,1288,2147,0.66386,0.70322
1987,Couple with children,No,0.30297,859,2147,0.28353,0.32242
1987,Multi-generational household,Yes,0.70935,70,119,0.62742,0.79128
1987,Multi-generational household,No,0.27601,49,119,0.19536,0.35667
1987,Other Combinations,Yes,0.48602,52,110,0.39219,0.57985
1987,Other Combinations,No,0.51127,58,110,0.41743,0.60511
1988,Single-person household,Yes,0.38828,384,1013,0.35826,0.41831
1988,Single-person household,No,0.58882,629,1013,0.55850,0.61913
1988,Couple without children,Yes,0.56286,617,1143,0.53409,0.59163
1988,Couple without children,No,0.41340,526,1143,0.38484,0.44196
1988,Single parent,Yes,0.56095,137,264,0.50097,0.62092
1988,Single parent,No,0.39609,127,264,0.33698,0.45520
1988,Couple with children,Yes,0.69581,1243,2051,0.67590,0.71573
1988,Couple with children,No,0.29324,808,2051,0.27353,0.31294
1988,Multi-generational household,Yes,0.71150,61,99,0.62180,0.80121
1988,Multi-generational household,No,0.24210,38,99,0.15729,0.32691
1988,Other Combinations,Yes,0.54436,48,95,0.44368,0.64504
1988,Other Combinations,No,0.45457,47,95,0.35391,0.55523
1989,Single-person household,Yes,0.37570,375,1011,0.34584,0.40557
1989,Single-person household,No,0.59627,636,1011,0.56601,0.62653
1989,Couple without children,Yes,0.56574,620,1134,0.53688,0.59460
1989,Couple without children,No,0.41320,514,1134,0.38453,0.44187
1989,Single parent,Yes,0.60616,140,249,0.54535,0.66697
1989,Single parent,No,0.36446,109,249,0.30456,0.42436
1989,Couple with children,Yes,0.70260,1193,1964,0.68237,0.72282
1989,Couple with children,No,0.28444,771,1964,0.26448,0.30440
1989,Multi-generational household,Yes,0.71966,63,104,0.63292,0.80641
1989,Multi-generational household,No,0.20086,41,104,0.12349,0.27824
1989,Other Combinations,Yes,0.62128,50,86,0.51816,0.72440
1989,Other Combinations,No,0.37571,36,86,0.27275,0.47867
1990,Single-person household,Yes,0.36383,463,1067,0.33495,0.39271
1990,Single-person household,No,0.49986,604,1067,0.46984,0.52987
1990,Couple without children,Yes,0.56708,900,1397,0.54109,0.59307
1990,Couple without children,No,0.31686,497,1397,0.29245,0.34127
1990,Single parent,Yes,0.54877,176,281,0.49048,0.60706
1990,Single parent,No,0.26399,105,281,0.21235,0.31562
1990,Couple with children,Yes,0.65353,1724,2476,0.63478,0.67228
1990,Couple with children,No,0.22691,752,2476,0.21041,0.24341
1990,Multi-generational household,Yes,0.74415,108,152,0.67455,0.81375
1990,Multi-generational household,No,0.14725,44,152,0.09073,0.20376
1990,Other Combinations,Yes,0.58743,84,118,0.49822,0.67663
1990,Other Combinations,No,0.27215,34,118,0.19150,0.35279
1991,Single-person household,Yes,0.34736,435,1265,0.32111,0.37361
1991,Single-person household,No,0.63431,830,1265,0.60776,0.66086
1991,Couple without children,Yes,0.59150,914,1639,0.56769,0.61530
1991,Couple without children,No,0.40013,725,1639,0.37640,0.42386
1991,Single parent,Yes,0.56359,185,377,0.51346,0.61372
1991,Single parent,No,0.42516,192,377,0.37519,0.47513
1991,Couple with children,Yes,0.68386,1744,2971,0.66713,0.70058
1991,Couple with children,No,0.31137,1227,2971,0.29471,0.32802
1991,Multi-generational household,Yes,0.81777,101,153,0.75640,0.87914
1991,Multi-generational household,No,0.17848,52,153,0.11760,0.23935
1991,Other Combinations,Yes,0.57280,86,149,0.49310,0.65249
1991,Other Combinations,No,0.42347,63,149,0.34386,0.50308
1992,Single-person household,Yes,0.35523,446,1254,0.32873,0.38173
1992,Single-person household,No,0.61220,808,1254,0.58522,0.63918
1992,Couple without children,Yes,0.58918,920,1645,0.56540,0.61296
1992,Couple without children,No,0.38558,725,1645,0.36205,0.40911
1992,Single parent,Yes,0.53933,181,385,0.48948,0.58919
1992,Single parent,No,0.44138,204,385,0.39172,0.49105
1992,Couple with children,Yes,0.68285,1674,2842,0.66574,0.69997
1992,Couple with children,No,0.30037,1168,2842,0.28351,0.31723
1992,Multi-generational household,Yes,0.83059,96,143,0.76890,0.89229
1992,Multi-generational household,No,0.15704,47,143,0.09720,0.21689
1992,Other Combinations,Yes,0.52836,87,162,0.45124,0.60547
1992,Other Combinations,No,0.45591,75,162,0.37897,0.53284
1993,Single-person household,Yes,0.36789,485,1296,0.34163,0.39416
1993,Single-person household,No,0.58539,811,1296,0.55856,0.61223
1993,Couple without children,Yes,0.57886,930,1661,0.55511,0.60261
1993,Couple without children,No,0.38012,731,1661,0.35677,0.40347
1993,Single parent,Yes,0.52546,175,367,0.47430,0.57662
1993,Single parent,No,0.44903,192,367,0.39807,0.49999
1993,Couple with children,Yes,0.69217,1628,2730,0.67485,0.70949
1993,Couple with children,No,0.28475,1102,2730,0.26782,0.30168
1993,Multi-generational household,Yes,0.81280,96,145,0.74908,0.87651
1993,Multi-generational household,No,0.18313,49,145,0.11996,0.24631
1993,Other Combinations,Yes,0.49376,84,157,0.41531,0.57222
1993,Other Combinations,No,0.46710,73,157,0.38881,0.54539
1994,Single-person household,Yes,0.38766,510,1285,0.36101,0.41431
1994,Single-person household,No,0.56150,775,1285,0.53436,0.58864
1994,Couple without children,Yes,0.58227,953,1701,0.55882,0.60571
1994,Couple without children,No,0.36984,748,1701,0.34689,0.39279
1994,Single parent,Yes,0.51751,169,353,0.46531,0.56971
1994,Single parent,No,0.45560,184,353,0.40357,0.50763
1994,Couple with children,Yes,0.68352,1570,2628,0.66574,0.70131
1994,Couple with children,No,0.28676,1058,2628,0.26947,0.30406
1994,Multi-generational household,Yes,0.80886,90,134,0.74203,0.87568
1994,Multi-generational household,No,0.16953,44,134,0.10576,0.23329
1994,Other Combinations,Yes,0.55031,97,160,0.47298,0.62763
1994,Other Combinations,No,0.38713,63,160,0.31142,0.46285
1995,Single-person household,Yes,0.39652,521,1322,0.37014,0.42290
1995,Single-person household,No,0.54755,801,1322,0.52071,0.57440
1995,Couple without children,Yes,0.57977,969,1748,0.55663,0.60292
1995,Couple without children,No,0.37182,779,1748,0.34916,0.39449
1995,Single parent,Yes,0.53610,176,363,0.48473,0.58748
1995,Single parent,No,0.42221,187,363,0.37133,0.47309
1995,Couple with children,Yes,0.66713,1599,2710,0.64938,0.68487
1995,Couple with children,No,0.29881,1111,2710,0.28158,0.31605
1995,Multi-generational household,Yes,0.74434,81,135,0.67047,0.81820
1995,Multi-generational household,No,0.22714,54,135,0.15619,0.29808
1995,Other Combinations,Yes,0.51753,94,160,0.43986,0.59520
1995,Other Combinations,No,0.41284,66,160,0.33631,0.48937
1996,Single-person household,Yes,0.38486,527,1357,0.35896,0.41076
1996,Single-person household,No,0.56269,830,1357,0.53629,0.58909
1996,Couple without children,Yes,0.58649,975,1769,0.56353,0.60944
1996,Couple without children,No,0.37683,794,1769,0.35424,0.39942
1996,Single parent,Yes,0.51703,177,370,0.46604,0.56802
1996,Single parent,No,0.42691,193,370,0.37644,0.47738
1996,Couple with children,Yes,0.68470,1595,2615,0.66689,0.70251
1996,Couple with children,No,0.28538,1020,2615,0.26807,0.30269
1996,Multi-generational household,Yes,0.75091,74,121,0.67353,0.82830
1996,Multi-generational household,No,0.21019,47,121,0.13729,0.28309
1996,Other Combinations,Yes,0.59402,92,148,0.51463,0.67341
1996,Other Combinations,No,0.31366,56,148,0.23866,0.38867
1997,Single-person household,Yes,0.38982,519,1328,0.36358,0.41606
1997,Single-person household,No,0.55663,809,1328,0.52990,0.58336
1997,Couple without children,Yes,0.59123,1014,1807,0.56855,0.61390
1997,Couple without children,No,0.36530,793,1807,0.34309,0.38751
1997,Single parent,Yes,0.50732,181,376,0.45672,0.55792
1997,Single parent,No,0.44517,195,376,0.39487,0.49547
1997,Couple with children,Yes,0.69750,1585,2524,0.67958,0.71543
1997,Couple with children,No,0.27217,939,2524,0.25480,0.28954
1997,Multi-generational household,Yes,0.75314,74,116,0.67433,0.83195
1997,Multi-generational household,No,0.22848,42,116,0.15174,0.30522
1997,Other Combinations,Yes,0.50934,84,146,0.42797,0.59072
1997,Other Combinations,No,0.35976,62,146,0.28165,0.43788
1998,Single-person household,Yes,0.37821,612,1681,0.35502,0.40140
1998,Single-person household,No,0.60875,1069,1681,0.58541,0.63209
1998,Couple without children,Yes,0.59868,1217,2168,0.57804,0.61931
1998,Couple without children,No,0.39413,951,2168,0.37355,0.41470
1998,Single parent,Yes,0.46396,195,446,0.41763,0.51030
1998,Single parent,No,0.52721,251,446,0.48082,0.57360
1998,Couple with children,Yes,0.69988,1794,2804,0.68291,0.71684
1998,Couple with children,No,0.29651,1010,2804,0.27961,0.31342
1998,Multi-generational household,Yes,0.71373,67,105,0.62685,0.80060
1998,Multi-generational household,No,0.27925,38,105,0.19302,0.36547
1998,Other Combinations,Yes,0.55312,93,160,0.47584,0.63040
1998,Other Combinations,No,0.44357,67,160,0.36634,0.52079
1999,Single-person household,Yes,0.38196,599,1609,0.35821,0.40571
1999,Single-person household,No,0.60225,1010,1609,0.57832,0.62617
1999,Couple without children,Yes,0.59951,1206,2135,0.57872,0.62030
1999,Couple without children,No,0.38927,929,2135,0.36858,0.40995
1999,Single parent,Yes,0.46139,197,439,0.41470,0.50808
1999,Single parent,No,0.51396,242,439,0.46716,0.56077
1999,Couple with children,Yes,0.69376,1765,2706,0.67639,0.71113
1999,Couple with children,No,0.29071,941,2706,0.27360,0.30782
1999,Multi-generational household,Yes,0.72564,66,99,0.63730,0.81399
1999,Multi-generational household,No,0.26738,33,99,0.17976,0.35501
1999,Other Combinations,Yes,0.63626,41,41,0.48717,0.78535
2000,Single-person household,Yes,0.38384,1278,3199,0.36699,0.40070
2000,Single-person household,No,0.59719,1921,3199,0.58019,0.61419
2000,Couple without children,Yes,0.61808,2446,3927,0.60288,0.63328
2000,Couple without children,No,0.37066,1481,3927,0.35556,0.38577
