,Unnamed: 0,year,hhtyp,regtyp,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Single-person household,Urban regions,Yes,0.32151,265,5074,0.31075,0.33062
1,1,1985,Single-person household,Urban regions,No,0.67849,664,5074,0.65434,0.70121
2,2,1985,Single-person household,Rural regions,Yes,0.49191,83,5074,0.46776,0.51723
3,3,1985,Single-person household,Rural regions,No,0.50809,95,5074,0.46368,0.54942
4,4,1985,Couple without children,Urban regions,Yes,0.50733,441,5074,0.49155,0.52222
5,5,1985,Couple without children,Urban regions,No,0.49267,500,5074,0.47288,0.51151
6,6,1985,Couple without children,Rural regions,Yes,0.73588,186,5074,0.71268,0.76422
7,7,1985,Couple without children,Rural regions,No,0.26412,72,5074,0.23541,0.28859
8,8,1985,Single parent,Urban regions,Yes,0.4264,85,5074,0.38744,0.45941
9,9,1985,Single parent,Urban regions,No,0.5736,139,5074,0.51868,0.62776
10,10,1985,Single parent,Rural regions,Yes,1.0,38,5074,0.92821,1.06781
11,11,1985,Couple with children,Urban regions,Yes,0.65807,1009,5074,0.64117,0.67558
12,12,1985,Couple with children,Urban regions,No,0.34193,827,5074,0.32445,0.3614
13,13,1985,Couple with children,Rural regions,Yes,0.83753,381,5074,0.81448,0.85976
14,14,1985,Couple with children,Rural regions,No,0.16247,113,5074,0.14154,0.18056
15,15,1985,Multi-generational household,Urban regions,Yes,1.0,42,5074,0.87184,1.15559
16,16,1985,Multi-generational household,Rural regions,Yes,1.0,37,5074,0.89393,1.0961
17,17,1985,Other Combinations,Urban regions,Yes,0.52619,46,5074,0.47835,0.57494
18,18,1985,Other Combinations,Urban regions,No,0.47381,51,5074,0.40808,0.52749
19,19,1986,Single-person household,Urban regions,Yes,0.31872,259,4853,0.30713,0.33079
20,20,1986,Single-person household,Urban regions,No,0.68128,615,4853,0.659,0.70439
21,21,1986,Single-person household,Rural regions,Yes,0.54206,87,4853,0.51236,0.57566
22,22,1986,Single-person household,Rural regions,No,0.45794,77,4853,0.40948,0.50061
23,23,1986,Couple without children,Urban regions,Yes,0.52033,462,4853,0.50326,0.53886
24,24,1986,Couple without children,Urban regions,No,0.47967,481,4853,0.4629,0.50307
25,25,1986,Couple without children,Rural regions,Yes,0.72804,167,4853,0.69048,0.75876
26,26,1986,Couple without children,Rural regions,No,0.27196,70,4853,0.23526,0.29942
27,27,1986,Single parent,Urban regions,Yes,0.49541,94,4853,0.45731,0.52908
28,28,1986,Single parent,Urban regions,No,0.50459,121,4853,0.44476,0.56417
29,29,1986,Single parent,Rural regions,Yes,1.0,34,4853,0.89869,1.09139
30,30,1986,Couple with children,Urban regions,Yes,0.65101,945,4853,0.63166,0.66648
31,31,1986,Couple with children,Urban regions,No,0.34899,770,4853,0.327,0.37001
32,32,1986,Couple with children,Rural regions,Yes,0.83692,367,4853,0.80868,0.86815
33,33,1986,Couple with children,Rural regions,No,0.16308,107,4853,0.14118,0.18778
34,34,1986,Multi-generational household,Urban regions,Yes,0.63689,37,4853,0.52577,0.74219
35,35,1986,Multi-generational household,Urban regions,No,0.36311,33,4853,0.22848,0.54175
36,36,1986,Multi-generational household,Rural regions,Yes,1.0,37,4853,0.88826,1.11645
37,37,1986,Other Combinations,Urban regions,Yes,0.53151,45,4853,0.47564,0.59318
38,38,1986,Other Combinations,Urban regions,No,0.46849,45,4853,0.3914,0.55005
39,39,1987,Single-person household,Urban regions,Yes,0.32274,265,4807,0.30995,0.33412
40,40,1987,Single-person household,Urban regions,No,0.67726,616,4807,0.65315,0.69718
41,41,1987,Single-person household,Rural regions,Yes,0.53544,88,4807,0.50347,0.5713
42,42,1987,Single-person household,Rural regions,No,0.46456,77,4807,0.42669,0.49983
43,43,1987,Couple without children,Urban regions,Yes,0.53118,468,4807,0.51188,0.5475
44,44,1987,Couple without children,Urban regions,No,0.46882,457,4807,0.44959,0.49262
45,45,1987,Couple without children,Rural regions,Yes,0.7263,169,4807,0.69275,0.7575
46,46,1987,Couple without children,Rural regions,No,0.2737,75,4807,0.24374,0.30294
47,47,1987,Single parent,Urban regions,Yes,0.52755,94,4807,0.49282,0.57054
48,48,1987,Single parent,Urban regions,No,0.47245,111,4807,0.41858,0.52353
49,49,1987,Single parent,Rural regions,Yes,1.0,38,4807,0.89742,1.08056
50,50,1987,Couple with children,Urban regions,Yes,0.64544,931,4807,0.62443,0.66373
51,51,1987,Couple with children,Urban regions,No,0.35456,755,4807,0.33556,0.37549
