"hgeqpgar","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","1-Pers.- Haushalt","2","145","","",""
"Ja","1995","1-Pers.- Haushalt","3","77","0.377906595855099","0.313095570042585","0.442717621667613"
"Ja","1995","1-Pers.- Haushalt","4","74","0.590607078890351","0.507351148142175","0.673863009638527"
"Ja","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","2","436","0.56939342211218","0.53586812507543","0.602918719148931"
"Ja","1995","(Ehe-)Paar ohne Kind(er)","3","412","0.582794975814436","0.548668332656153","0.616921618972719"
"Ja","1995","(Ehe-)Paar ohne Kind(er)","4","376","0.580436179956839","0.543013394239253","0.617858965674425"
"Ja","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Alleinerziehende","2","94","0.600424806621189","0.532541706798554","0.668307906443824"
"Ja","1995","Alleinerziehende","3","83","0.797473306309541","0.723700742077678","0.871245870541405"
"Ja","1995","Alleinerziehende","4","38","0.65056440202521","0.525687303882453","0.775441500167966"
"Ja","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Paar mit Kind(ern)","2","1845","","",""
"Ja","1995","Paar mit Kind(ern)","3","1078","","",""
"Ja","1995","Paar mit Kind(ern)","4","597","0.832088509023201","0.805600925163458","0.858576092882943"
"Ja","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Sonstige","2","204","","",""
"Ja","1995","Sonstige","3","182","","",""
"Ja","1995","Sonstige","4","70","0.645704844296826","0.554651733514552","0.736757955079099"
"Ja","1995","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","1-Pers.- Haushalt","2","254","","",""
"Nein","1995","1-Pers.- Haushalt","3","138","","",""
"Nein","1995","1-Pers.- Haushalt","4","60","0.409392921109649","0.326136990361473","0.492648851857825"
"Nein","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","(Ehe-)Paar ohne Kind(er)","2","402","0.43060657788782","0.397081280851069","0.46413187492457"
"Nein","1995","(Ehe-)Paar ohne Kind(er)","3","390","0.417205024185564","0.383078381027281","0.451331667343847"
"Nein","1995","(Ehe-)Paar ohne Kind(er)","4","292","","",""
"Nein","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Alleinerziehende","2","106","","",""
"Nein","1995","Alleinerziehende","3","31","0.202526693690458","0.128754129458595","0.276299257922322"
"Nein","1995","Alleinerziehende","4","18","","",""
"Nein","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
