year,hhtyp,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,Yes,0.32520,91,318,0.27363,0.37677
1984,Single-person household,1st Quintile,No,0.67480,227,318,0.62323,0.72637
1984,Single-person household,2nd Quintile,Yes,0.35418,70,223,0.29127,0.41710
1984,Single-person household,2nd Quintile,No,0.64582,153,223,0.58290,0.70873
1984,Single-person household,3rd Quintile,Yes,0.33249,70,230,0.27147,0.39351
1984,Single-person household,3rd Quintile,No,0.66751,160,230,0.60649,0.72853
1984,Single-person household,4th Quintile,Yes,0.30868,67,235,0.24949,0.36787
1984,Single-person household,4th Quintile,No,0.69132,168,235,0.63213,0.75051
1984,Single-person household,5th Quintile,Yes,0.42083,89,223,0.35589,0.48577
1984,Single-person household,5th Quintile,No,0.57917,134,223,0.51423,0.64411
1984,Couple without children,1st Quintile,Yes,0.54837,81,162,0.47150,0.62524
1984,Couple without children,1st Quintile,No,0.45163,81,162,0.37476,0.52850
1984,Couple without children,2nd Quintile,Yes,0.51570,99,201,0.44644,0.58496
1984,Couple without children,2nd Quintile,No,0.48430,102,201,0.41504,0.55356
1984,Couple without children,3rd Quintile,Yes,0.49159,115,253,0.42986,0.55331
1984,Couple without children,3rd Quintile,No,0.50841,138,253,0.44669,0.57014
1984,Couple without children,4th Quintile,Yes,0.54046,144,293,0.48330,0.59763
1984,Couple without children,4th Quintile,No,0.45954,149,293,0.40237,0.51670
1984,Couple without children,5th Quintile,Yes,0.62934,243,411,0.58258,0.67609
1984,Couple without children,5th Quintile,No,0.37066,168,411,0.32391,0.41742
1984,Single parent,1st Quintile,Yes,0.29305,32,118,0.21057,0.37552
1984,Single parent,1st Quintile,No,0.70695,86,118,0.62448,0.78943
1984,Single parent,2nd Quintile,No,0.58079,45,45,0.43499,0.72659
1984,Couple with children,1st Quintile,Yes,0.56073,233,523,0.51815,0.60331
1984,Couple with children,1st Quintile,No,0.43927,290,523,0.39669,0.48185
1984,Couple with children,2nd Quintile,Yes,0.67544,338,614,0.63838,0.71251
1984,Couple with children,2nd Quintile,No,0.32456,276,614,0.28749,0.36162
1984,Couple with children,3rd Quintile,Yes,0.66882,337,571,0.63019,0.70746
1984,Couple with children,3rd Quintile,No,0.33118,234,571,0.29254,0.36981
1984,Couple with children,4th Quintile,Yes,0.72086,332,535,0.68281,0.75890
1984,Couple with children,4th Quintile,No,0.27914,203,535,0.24110,0.31719
1984,Couple with children,5th Quintile,Yes,0.80800,261,349,0.76662,0.84939
1984,Couple with children,5th Quintile,No,0.19200,88,349,0.15061,0.23338
1985,Single-person household,1st Quintile,Yes,0.33774,84,291,0.28330,0.39217
1985,Single-person household,1st Quintile,No,0.66226,207,291,0.60783,0.71670
1985,Single-person household,2nd Quintile,Yes,0.37900,67,193,0.31037,0.44762
1985,Single-person household,2nd Quintile,No,0.62100,126,193,0.55238,0.68963
1985,Single-person household,3rd Quintile,Yes,0.31178,55,203,0.24790,0.37566
1985,Single-person household,3rd Quintile,No,0.68822,148,203,0.62434,0.75210
1985,Single-person household,4th Quintile,Yes,0.34836,70,225,0.28597,0.41076
1985,Single-person household,4th Quintile,No,0.65164,155,225,0.58924,0.71403
1985,Single-person household,5th Quintile,Yes,0.40239,72,190,0.33248,0.47230
1985,Single-person household,5th Quintile,No,0.59761,118,190,0.52770,0.66752
1985,Couple without children,1st Quintile,Yes,0.52929,65,129,0.44282,0.61576
1985,Couple without children,1st Quintile,No,0.47071,64,129,0.38424,0.55718
1985,Couple without children,2nd Quintile,Yes,0.51135,92,194,0.44082,0.58187
1985,Couple without children,2nd Quintile,No,0.48865,102,194,0.41813,0.55918
1985,Couple without children,3rd Quintile,Yes,0.49940,101,219,0.43303,0.56578
1985,Couple without children,3rd Quintile,No,0.50060,118,219,0.43422,0.56697
1985,Couple without children,4th Quintile,Yes,0.57440,144,279,0.51628,0.63253
1985,Couple without children,4th Quintile,No,0.42560,135,279,0.36747,0.48372
1985,Couple without children,5th Quintile,Yes,0.63492,224,377,0.58626,0.68359
1985,Couple without children,5th Quintile,No,0.36508,153,377,0.31641,0.41374
1985,Single parent,1st Quintile,Yes,0.42249,38,103,0.32663,0.51835
1985,Single parent,1st Quintile,No,0.57751,65,103,0.48165,0.67337
1985,Single parent,2nd Quintile,No,0.68849,40,40,0.54314,0.83384
1985,Single parent,3rd Quintile,No,0.48805,31,31,0.30918,0.66692
1985,Couple with children,1st Quintile,Yes,0.59929,219,471,0.55499,0.64359
1985,Couple with children,1st Quintile,No,0.40071,252,471,0.35641,0.44501
1985,Couple with children,2nd Quintile,Yes,0.65858,312,547,0.61880,0.69835
1985,Couple with children,2nd Quintile,No,0.34142,235,547,0.30165,0.38120
1985,Couple with children,3rd Quintile,Yes,0.69845,313,531,0.65938,0.73753
1985,Couple with children,3rd Quintile,No,0.30155,218,531,0.26247,0.34062
1985,Couple with children,4th Quintile,Yes,0.76088,310,455,0.72165,0.80012
1985,Couple with children,4th Quintile,No,0.23912,145,455,0.19988,0.27835
1985,Couple with children,5th Quintile,Yes,0.79001,236,326,0.74573,0.83430
1985,Couple with children,5th Quintile,No,0.20999,90,326,0.16570,0.25427
1986,Single-person household,1st Quintile,Yes,0.34015,83,270,0.28353,0.39677
1986,Single-person household,1st Quintile,No,0.65985,187,270,0.60323,0.71647
1986,Single-person household,2nd Quintile,Yes,0.36546,60,179,0.29471,0.43620
1986,Single-person household,2nd Quintile,No,0.63454,119,179,0.56380,0.70529
1986,Single-person household,3rd Quintile,Yes,0.36474,67,199,0.29769,0.43179
1986,Single-person household,3rd Quintile,No,0.63526,132,199,0.56821,0.70231
1986,Single-person household,4th Quintile,Yes,0.32979,63,213,0.26651,0.39308
1986,Single-person household,4th Quintile,No,0.67021,150,213,0.60692,0.73349
1986,Single-person household,5th Quintile,Yes,0.41972,73,174,0.34618,0.49326
1986,Single-person household,5th Quintile,No,0.58028,101,174,0.50674,0.65382
