,Unnamed: 0,year,regtyp,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,Yes,0.48795,1888,5156,0.47724,0.49761
1,1,1985,Urban regions,No,0.51205,2207,5156,0.4983,0.52361
2,2,1985,Rural regions,Yes,0.70425,743,5156,0.68464,0.72318
3,3,1985,Rural regions,No,0.29575,318,5156,0.28118,0.3179
4,4,1986,Urban regions,Yes,0.48829,1842,4912,0.47692,0.49873
5,5,1986,Urban regions,No,0.51171,2065,4912,0.49474,0.52821
6,6,1986,Rural regions,Yes,0.71626,715,4912,0.69465,0.7371
7,7,1986,Rural regions,No,0.28374,290,4912,0.26486,0.304
8,8,1987,Urban regions,Yes,0.48782,1833,4859,0.47493,0.4988
9,9,1987,Urban regions,No,0.51218,2035,4859,0.49722,0.52645
10,10,1987,Rural regions,Yes,0.71053,699,4859,0.68919,0.73198
11,11,1987,Rural regions,No,0.28947,292,4859,0.26699,0.31313
12,12,1988,Urban regions,Yes,0.50731,1822,4665,0.49434,0.5178
13,13,1988,Urban regions,No,0.49269,1905,4665,0.47831,0.50824
14,14,1988,Rural regions,Yes,0.72785,668,4665,0.70535,0.75314
15,15,1988,Rural regions,No,0.27215,270,4665,0.25044,0.2934
16,16,1989,Urban regions,Yes,0.51163,1797,4548,0.50058,0.52275
17,17,1989,Urban regions,No,0.48837,1853,4548,0.4728,0.50375
18,18,1989,Rural regions,Yes,0.72659,644,4548,0.69832,0.75209
19,19,1989,Rural regions,No,0.27341,254,4548,0.25342,0.29857
20,20,1990,Urban regions,Yes,0.53184,2015,5482,0.5176,0.54477
21,21,1990,Urban regions,No,0.46816,1776,5482,0.45219,0.48561
22,22,1990,Rural regions,Yes,0.80396,1431,5482,0.77872,0.83105
23,23,1990,Rural regions,No,0.19604,260,5482,0.17959,0.21509
24,24,1991,Urban regions,Yes,0.49895,2039,6508,0.48863,0.51153
25,25,1991,Urban regions,No,0.50105,2272,6508,0.48646,0.51568
26,26,1991,Rural regions,Yes,0.65773,1414,6508,0.6369,0.68644
27,27,1991,Rural regions,No,0.34227,783,6508,0.32156,0.35802
28,28,1992,Urban regions,Yes,0.5092,2035,6376,0.49403,0.52285
29,29,1992,Urban regions,No,0.4908,2229,6376,0.47382,0.50545
30,30,1992,Rural regions,Yes,0.65659,1353,6376,0.63572,0.67989
31,31,1992,Rural regions,No,0.34341,759,6376,0.32183,0.36125
32,32,1993,Urban regions,Yes,0.52072,2059,6356,0.5069,0.53482
33,33,1993,Urban regions,No,0.47928,2172,6356,0.46259,0.49874
34,34,1993,Rural regions,Yes,0.64988,1339,6356,0.62971,0.672
35,35,1993,Rural regions,No,0.35012,786,6356,0.33082,0.37004
36,36,1994,Urban regions,Yes,0.52845,2043,6261,0.51479,0.54352
