year,bula_h,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,No,0.56894,31,31,0.39172,0.74615
1984,Schleswig-Holstein,Couple with children,Yes,0.81229,61,61,0.71348,0.91109
1984,Hamburg,Single-person household,No,0.85631,41,41,0.74760,0.96502
1984,Hamburg,Couple without children,No,0.89628,40,40,0.80059,0.99197
1984,Hamburg,Couple with children,No,0.59517,36,36,0.43255,0.75779
1984,Lower Saxony,Single-person household,Yes,0.43588,45,114,0.34445,0.52731
1984,Lower Saxony,Single-person household,No,0.56412,69,114,0.47269,0.65555
1984,Lower Saxony,Couple without children,Yes,0.60887,79,139,0.52745,0.69029
1984,Lower Saxony,Couple without children,No,0.39113,60,139,0.30971,0.47255
1984,Lower Saxony,Couple with children,Yes,0.80937,182,251,0.76068,0.85806
1984,Lower Saxony,Couple with children,No,0.19063,69,251,0.14194,0.23932
1984,North Rhine-Westphalia,Single-person household,Yes,0.31998,102,359,0.27166,0.36830
1984,North Rhine-Westphalia,Single-person household,No,0.68002,257,359,0.63170,0.72834
1984,North Rhine-Westphalia,Couple without children,Yes,0.49115,166,352,0.43885,0.54345
1984,North Rhine-Westphalia,Couple without children,No,0.50885,186,352,0.45655,0.56115
1984,North Rhine-Westphalia,Single parent,No,0.68131,60,60,0.56241,0.80021
1984,North Rhine-Westphalia,Couple with children,Yes,0.65991,410,715,0.62516,0.69466
1984,North Rhine-Westphalia,Couple with children,No,0.34009,305,715,0.30534,0.37484
1984,Hesse,Single-person household,Yes,0.38497,40,117,0.29642,0.47352
1984,Hesse,Single-person household,No,0.61503,77,117,0.52648,0.70358
1984,Hesse,Couple without children,Yes,0.61095,73,137,0.52902,0.69289
1984,Hesse,Couple without children,No,0.38905,64,137,0.30711,0.47098
1984,Hesse,Couple with children,Yes,0.66390,132,260,0.60637,0.72143
1984,Hesse,Couple with children,No,0.33610,128,260,0.27857,0.39363
1984,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.44633,31,74,0.33229,0.56037
1984,"Rhineland-Palatinate, Saarland",Single-person household,No,0.55367,43,74,0.43963,0.66771
1984,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.78928,76,76,0.69699,0.88158
1984,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.76218,108,160,0.69600,0.82836
1984,"Rhineland-Palatinate, Saarland",Couple with children,No,0.23782,52,160,0.17164,0.30400
1984,Baden-Wuerttemberg,Single-person household,Yes,0.36420,65,202,0.29767,0.43072
1984,Baden-Wuerttemberg,Single-person household,No,0.63580,137,202,0.56928,0.70233
1984,Baden-Wuerttemberg,Couple without children,Yes,0.61237,105,196,0.54398,0.68075
1984,Baden-Wuerttemberg,Couple without children,No,0.38763,91,196,0.31925,0.45602
1984,Baden-Wuerttemberg,Single parent,Yes,0.64504,34,34,0.48178,0.80830
1984,Baden-Wuerttemberg,Couple with children,Yes,0.69929,301,537,0.66047,0.73812
1984,Baden-Wuerttemberg,Couple with children,No,0.30071,236,537,0.26188,0.33953
1984,Bavaria,Single-person household,Yes,0.41490,70,186,0.34390,0.48589
1984,Bavaria,Single-person household,No,0.58510,116,186,0.51411,0.65610
1984,Bavaria,Couple without children,Yes,0.63788,141,233,0.57604,0.69973
1984,Bavaria,Couple without children,No,0.36212,92,233,0.30027,0.42396
