year,hhtyp,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,Yes,0.76975,192,252,0.71766,0.82183
1984,Single-person household,Owner,No,0.23025,60,252,0.17817,0.28234
1984,Single-person household,Tenant,Yes,0.21388,199,995,0.18839,0.23937
1984,Single-person household,Tenant,No,0.78612,796,995,0.76063,0.81161
1984,Couple without children,Owner,Yes,0.88431,447,507,0.85645,0.91218
1984,Couple without children,Owner,No,0.11569,60,507,0.08782,0.14355
1984,Couple without children,Tenant,Yes,0.29124,236,814,0.26001,0.32248
1984,Couple without children,Tenant,No,0.70876,578,814,0.67752,0.73999
1984,Single parent,Owner,Yes,0.86200,76,76,0.78394,0.94006
1984,Single parent,Tenant,Yes,0.22326,51,232,0.16955,0.27696
1984,Single parent,Tenant,No,0.77674,181,232,0.72304,0.83045
1984,Couple with children,Owner,Yes,0.93199,940,1023,0.91656,0.94743
1984,Couple with children,Owner,No,0.06801,83,1023,0.05257,0.08344
1984,Couple with children,Tenant,Yes,0.41486,561,1570,0.39048,0.43924
1984,Couple with children,Tenant,No,0.58514,1009,1570,0.56076,0.60952
1984,Multi-generational household,Owner,Yes,0.94117,65,65,0.88352,0.99882
1984,Multi-generational household,Tenant,No,0.62077,36,36,0.46002,0.78151
1984,Other Combinations,Owner,Yes,0.88134,47,47,0.78789,0.97480
1984,Other Combinations,Tenant,No,0.69575,59,59,0.57734,0.81416
1985,Single-person household,Owner,Yes,0.75356,159,213,0.69555,0.81157
1985,Single-person household,Owner,No,0.24644,54,213,0.18843,0.30445
1985,Single-person household,Tenant,Yes,0.23865,189,894,0.21070,0.26661
1985,Single-person household,Tenant,No,0.76135,705,894,0.73339,0.78930
1985,Couple without children,Owner,Yes,0.87781,398,455,0.84769,0.90794
1985,Couple without children,Owner,No,0.12219,57,455,0.09206,0.15231
1985,Couple without children,Tenant,Yes,0.31707,229,744,0.28361,0.35053
1985,Couple without children,Tenant,No,0.68293,515,744,0.64947,0.71639
1985,Single parent,Owner,Yes,0.88163,73,73,0.80701,0.95625
1985,Single parent,Tenant,Yes,0.25174,50,202,0.19174,0.31174
1985,Single parent,Tenant,No,0.74826,152,202,0.68826,0.80826
1985,Couple with children,Owner,Yes,0.93597,901,977,0.92061,0.95133
1985,Couple with children,Owner,No,0.06403,76,977,0.04867,0.07939
1985,Couple with children,Tenant,Yes,0.41861,489,1353,0.39232,0.44491
1985,Couple with children,Tenant,No,0.58139,864,1353,0.55509,0.60768
1985,Multi-generational household,Owner,Yes,0.93854,64,64,0.87924,0.99785
