year,quintil_oecd,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Often,0.0053779266279652856,93,21896,0.005360428156817751,0.00539542509911282
2003,1st Quintile,Sometimes,0.027991810443102498,479,21896,0.027952345263910945,0.02803127562229405
2003,1st Quintile,Seldom,0.04629993076486287,859,21896,0.046249654882583716,0.046350206647142025
2003,1st Quintile,Never,0.10876996108494141,1903,21896,0.10869546850471483,0.108844453665168
2003,2nd Quintile,Often,0.005785452145222153,108,21896,0.005767306503467801,0.0058035977869765045
2003,2nd Quintile,Sometimes,0.024695172492149697,499,21896,0.02465804121889472,0.024732303765404674
2003,2nd Quintile,Seldom,0.05272082621116025,1059,21896,0.05266735823801217,0.052774294184308325
2003,2nd Quintile,Never,0.10769310682090154,2145,21896,0.10761893913996175,0.10776727450184133
2003,3rd Quintile,Often,0.00403789928645294,98,21896,0.004022726589965728,0.004053071982940151
2003,3rd Quintile,Sometimes,0.02323913036923445,490,21896,0.02320308348885357,0.023275177249615326
2003,3rd Quintile,Seldom,0.05947896099630511,1292,21896,0.05942237231586254,0.059535549676747686
2003,3rd Quintile,Never,0.11070333926394445,2196,21896,0.11062826910867092,0.11077840941921797
2003,4th Quintile,Often,0.006516138099606188,136,21896,0.006496887725619612,0.0065353884735927644
2003,4th Quintile,Sometimes,0.027239557392845216,603,21896,0.02720061105768748,0.027278503728002952
2003,4th Quintile,Seldom,0.07506013188062466,1563,21896,0.07499709059895192,0.0751231731622974
2003,4th Quintile,Never,0.0982319844321795,2079,21896,0.0981607750045045,0.09830319385985449
2003,5th Quintile,Very often,0.0009404030738318025,41,21896,0.0009330694886505526,0.0009477366590130524
2003,5th Quintile,Often,0.006464576802370972,197,21896,0.006445402244864414,0.006483751359877531
2003,5th Quintile,Sometimes,0.031311899123985965,891,21896,0.03127023038958635,0.03135356785838558
2003,5th Quintile,Seldom,0.07578455465118611,2256,21896,0.07572123469797921,0.075847874604393
2003,5th Quintile,Never,0.10165723803712685,2909,21896,0.10158493545419123,0.10172954062006248
2008,1st Quintile,Often,0.006855630044314573,88,19083,0.006835933501847284,0.006875326586781863
2008,1st Quintile,Sometimes,0.025355986708732705,387,19083,0.025318461476809474,0.025393511940655936
2008,1st Quintile,Seldom,0.04960220279002699,757,19083,0.049550374926096936,0.04965403065395705
2008,1st Quintile,Never,0.10811209144680554,1733,19083,0.10803796854889912,0.10818621434471197
2008,2nd Quintile,Often,0.003739090271815267,64,19083,0.003724521275351805,0.003753659268278729
2008,2nd Quintile,Sometimes,0.02272499086770957,339,19083,0.02268941787749905,0.022760563857920094
2008,2nd Quintile,Seldom,0.055002079259569965,960,19083,0.05494765843750195,0.05505650008163798
2008,2nd Quintile,Never,0.11155406863232718,1950,19083,0.11147892047666015,0.11162921678799421
2008,3rd Quintile,Often,0.005848321887155848,80,19083,0.005830120601046263,0.005866523173265433
2008,3rd Quintile,Sometimes,0.023222137354946795,422,19083,0.023186186508797405,0.023258088201096185
2008,3rd Quintile,Seldom,0.06314507074857016,1171,19083,0.06308701222095671,0.06320312927618361
2008,3rd Quintile,Never,0.10650005986325482,2057,19083,0.10642642519960034,0.1065736945269093
2008,4th Quintile,Often,0.005801379185042494,96,19083,0.005783250666214646,0.005819507703870342
2008,4th Quintile,Sometimes,0.023365994362420723,445,19083,0.023329934989301453,0.023402053735539993
2008,4th Quintile,Seldom,0.07070277177571277,1317,19083,0.07064158526907703,0.07076395828234851
2008,4th Quintile,Never,0.10477946766333862,2035,19083,0.10470635994522637,0.10485257538145087
2008,5th Quintile,Often,0.005062699450436481,124,19083,0.0050457580601688135,0.0050796408407041485
2008,5th Quintile,Sometimes,0.030300296038516836,693,19083,0.03025937918918275,0.030341212887850924
2008,5th Quintile,Seldom,0.07490401768874941,1832,19083,0.07484118204461025,0.07496685333288856
2008,5th Quintile,Never,0.1034216439605533,2533,19083,0.10334895642218715,0.10349433149891944
2013,1st Quintile,Often,0.005180461573526466,214,25281,0.0051623560657835755,0.005198567081269356
2013,1st Quintile,Sometimes,0.02306328904544608,746,25281,0.02302543187392015,0.023101146216972013
2013,1st Quintile,Seldom,0.04466904960924781,1325,25281,0.04461694998306268,0.04472114923543293
2013,1st Quintile,Never,0.10199587492765785,2785,25281,0.10191954676704515,0.10207220308827056
2013,2nd Quintile,Often,0.003987518701624557,141,25281,0.0039716245232059005,0.004003412880043213
2013,2nd Quintile,Sometimes,0.021169537397064783,588,25281,0.02113323262208615,0.021205842172043417
2013,2nd Quintile,Seldom,0.05273589375217723,1480,25281,0.05267952440268745,0.05279226310166701
2013,2nd Quintile,Never,0.11077705024615579,2899,25281,0.11069789411549176,0.11085620637681982
2013,3rd Quintile,Often,0.005568373072357268,124,25281,0.005549605592716153,0.005587140551998384
2013,3rd Quintile,Sometimes,0.021797956326672443,558,25281,0.021761128465361358,0.021834784187983527
2013,3rd Quintile,Seldom,0.058507040719996614,1510,25281,0.058447848186120845,0.058566233253872384
