,Unnamed: 0,year,migback,quintil_oecd,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,No migration background,1st Quintile,Often,0.02458,61,21691,0.02098,0.02922
1,1,2003,No migration background,1st Quintile,Sometimes,0.12919,316,21691,0.11911,0.13891
2,2,2003,No migration background,1st Quintile,Seldom,0.25052,629,21691,0.2376,0.2648
3,3,2003,No migration background,1st Quintile,Never,0.5957,1421,21691,0.5785,0.61442
4,4,2003,No migration background,2nd Quintile,Often,0.02285,64,21691,0.01918,0.02616
5,5,2003,No migration background,2nd Quintile,Sometimes,0.10107,319,21691,0.09343,0.10877
6,6,2003,No migration background,2nd Quintile,Seldom,0.2747,856,21691,0.2632,0.28795
7,7,2003,No migration background,2nd Quintile,Never,0.60137,1813,21691,0.58555,0.61842
8,8,2003,No migration background,3rd Quintile,Often,0.01516,66,21691,0.01219,0.0186
9,9,2003,No migration background,3rd Quintile,Sometimes,0.10908,378,21691,0.10084,0.11706
10,10,2003,No migration background,3rd Quintile,Seldom,0.30406,1101,21691,0.29053,0.31707
11,11,2003,No migration background,3rd Quintile,Never,0.5717,1924,21691,0.55756,0.58735
12,12,2003,No migration background,4th Quintile,Often,0.02715,105,21691,0.02315,0.03134
13,13,2003,No migration background,4th Quintile,Sometimes,0.12268,486,21691,0.1123,0.13156
14,14,2003,No migration background,4th Quintile,Seldom,0.36715,1395,21691,0.35073,0.38145
15,15,2003,No migration background,4th Quintile,Never,0.48302,1858,21691,0.4697,0.50004
16,16,2003,No migration background,5th Quintile,Very often,0.00401,34,21691,0.00319,0.00522
17,17,2003,No migration background,5th Quintile,Often,0.02732,168,21691,0.02332,0.03118
18,18,2003,No migration background,5th Quintile,Sometimes,0.14116,805,21691,0.12805,0.15115
19,19,2003,No migration background,5th Quintile,Seldom,0.35002,2084,21691,0.33505,0.36536
20,20,2003,No migration background,5th Quintile,Never,0.4775,2698,21691,0.4607,0.49561
21,21,2003,Direct migration background,1st Quintile,Sometimes,0.20614,122,21691,0.17753,0.24031
22,22,2003,Direct migration background,1st Quintile,Seldom,0.22035,170,21691,0.19584,0.25135
23,23,2003,Direct migration background,1st Quintile,Never,0.57352,426,21691,0.54175,0.60202
24,24,2003,Direct migration background,2nd Quintile,Sometimes,0.24203,136,21691,0.20974,0.27582
25,25,2003,Direct migration background,2nd Quintile,Seldom,0.28398,157,21691,0.25686,0.31674
26,26,2003,Direct migration background,2nd Quintile,Never,0.47399,287,21691,0.43554,0.51485
27,27,2003,Direct migration background,3rd Quintile,Sometimes,0.15624,74,21691,0.13046,0.18694
28,28,2003,Direct migration background,3rd Quintile,Seldom,0.28621,136,21691,0.25016,0.3242
29,29,2003,Direct migration background,3rd Quintile,Never,0.55755,226,21691,0.49547,0.61025
30,30,2003,Direct migration background,4th Quintile,Sometimes,0.1841,76,21691,0.15333,0.2239
31,31,2003,Direct migration background,4th Quintile,Seldom,0.34765,121,21691,0.3037,0.40462
32,32,2003,Direct migration background,4th Quintile,Never,0.46825,185,21691,0.41376,0.52523
33,33,2003,Direct migration background,5th Quintile,Sometimes,0.18895,56,21691,0.14675,0.23519
34,34,2003,Direct migration background,5th Quintile,Seldom,0.35998,116,21691,0.28947,0.42678
35,35,2003,Direct migration background,5th Quintile,Never,0.45107,166,21691,0.39695,0.51734
36,36,2003,Indirect migration background,1st Quintile,Sometimes,0.22653,41,21691,0.17347,0.2751
37,37,2003,Indirect migration background,1st Quintile,Seldom,0.37084,60,21691,0.29586,0.44994
38,38,2003,Indirect migration background,1st Quintile,Never,0.40263,56,21691,0.30508,0.51467
39,39,2003,Indirect migration background,2nd Quintile,Sometimes,0.36324,44,21691,0.2761,0.44722
40,40,2003,Indirect migration background,2nd Quintile,Seldom,0.38126,46,21691,0.2795,0.50611
41,41,2003,Indirect migration background,2nd Quintile,Never,0.2555,45,21691,0.20409,0.32236
42,42,2003,Indirect migration background,3rd Quintile,Sometimes,0.29096,38,21691,0.21615,0.38151
43,43,2003,Indirect migration background,3rd Quintile,Seldom,0.34777,55,21691,0.27815,0.42525
44,44,2003,Indirect migration background,3rd Quintile,Never,0.36128,46,21691,0.27269,0.45492
45,45,2003,Indirect migration background,4th Quintile,Sometimes,0.33199,41,21691,0.24821,0.41885
46,46,2003,Indirect migration background,4th Quintile,Seldom,0.36046,47,21691,0.26966,0.46563
47,47,2003,Indirect migration background,4th Quintile,Never,0.30755,36,21691,0.22851,0.39124
48,48,2003,Indirect migration background,5th Quintile,Seldom,0.57023,56,21691,0.46211,0.69029
49,49,2003,Indirect migration background,5th Quintile,Never,0.42977,45,21691,0.2856,0.57238
50,50,2008,No migration background,1st Quintile,Often,0.03113,59,18922,0.02584,0.03623
51,51,2008,No migration background,1st Quintile,Sometimes,0.11167,244,18922,0.10166,0.1221
52,52,2008,No migration background,1st Quintile,Seldom,0.26376,584,18922,0.2444,0.28243
53,53,2008,No migration background,1st Quintile,Never,0.59344,1322,18922,0.5696,0.62077
54,54,2008,No migration background,2nd Quintile,Often,0.01735,49,18922,0.01398,0.02104
55,55,2008,No migration background,2nd Quintile,Sometimes,0.10649,251,18922,0.09658,0.11725
56,56,2008,No migration background,2nd Quintile,Seldom,0.2764,775,18922,0.25976,0.29144
57,57,2008,No migration background,2nd Quintile,Never,0.59975,1680,18922,0.5793,0.62157
58,58,2008,No migration background,3rd Quintile,Often,0.02118,53,18922,0.01728,0.02522
59,59,2008,No migration background,3rd Quintile,Sometimes,0.10555,320,18922,0.09651,0.11596
60,60,2008,No migration background,3rd Quintile,Seldom,0.31681,1000,18922,0.3012,0.33802
61,61,2008,No migration background,3rd Quintile,Never,0.55646,1835,18922,0.53806,0.57707
62,62,2008,No migration background,4th Quintile,Often,0.02589,79,18922,0.02163,0.03116
63,63,2008,No migration background,4th Quintile,Sometimes,0.1031,363,18922,0.09372,0.11228
64,64,2008,No migration background,4th Quintile,Seldom,0.34442,1165,18922,0.32703,0.3595
65,65,2008,No migration background,4th Quintile,Never,0.52659,1875,18922,0.50819,0.54608
66,66,2008,No migration background,5th Quintile,Often,0.02246,106,18922,0.01714,0.02728
67,67,2008,No migration background,5th Quintile,Sometimes,0.13926,625,18922,0.12864,0.14989
68,68,2008,No migration background,5th Quintile,Seldom,0.34834,1692,18922,0.33243,0.36559
69,69,2008,No migration background,5th Quintile,Never,0.48993,2378,18922,0.4699,0.50558
70,70,2008,Direct migration background,1st Quintile,Sometimes,0.18237,98,18922,0.15789,0.20865
71,71,2008,Direct migration background,1st Quintile,Seldom,0.2529,120,18922,0.22255,0.27981
72,72,2008,Direct migration background,1st Quintile,Never,0.56473,335,18922,0.5265,0.60511
73,73,2008,Direct migration background,2nd Quintile,Sometimes,0.13782,58,18922,0.10586,0.16562
74,74,2008,Direct migration background,2nd Quintile,Seldom,0.3411,133,18922,0.29078,0.38792
75,75,2008,Direct migration background,2nd Quintile,Never,0.52108,218,18922,0.46062,0.57831
76,76,2008,Direct migration background,3rd Quintile,Sometimes,0.16756,64,18922,0.14061,0.19378
77,77,2008,Direct migration background,3rd Quintile,Seldom,0.32551,114,18922,0.28219,0.37175
78,78,2008,Direct migration background,3rd Quintile,Never,0.50694,172,18922,0.44884,0.55807
79,79,2008,Direct migration background,4th Quintile,Sometimes,0.1996,57,18922,0.15112,0.24491
80,80,2008,Direct migration background,4th Quintile,Seldom,0.33051,101,18922,0.27498,0.39426
81,81,2008,Direct migration background,4th Quintile,Never,0.46989,122,18922,0.38942,0.54507
82,82,2008,Direct migration background,5th Quintile,Sometimes,0.15003,33,18922,0.10733,0.19215
83,83,2008,Direct migration background,5th Quintile,Seldom,0.38123,88,18922,0.30416,0.47567
84,84,2008,Direct migration background,5th Quintile,Never,0.46874,111,18922,0.40077,0.54782
85,85,2008,Indirect migration background,1st Quintile,Sometimes,0.22984,45,18922,0.16796,0.30575
86,86,2008,Indirect migration background,1st Quintile,Seldom,0.32469,53,18922,0.25856,0.40258
87,87,2008,Indirect migration background,1st Quintile,Never,0.44547,76,18922,0.35751,0.54428
88,88,2008,Indirect migration background,2nd Quintile,Seldom,0.38108,52,18922,0.2989,0.49072
89,89,2008,Indirect migration background,2nd Quintile,Never,0.61892,52,18922,0.48173,0.74899
90,90,2008,Indirect migration background,3rd Quintile,Sometimes,0.24686,38,18922,0.173,0.33227
91,91,2008,Indirect migration background,3rd Quintile,Seldom,0.41256,57,18922,0.30317,0.51673
92,92,2008,Indirect migration background,3rd Quintile,Never,0.34058,50,18922,0.25234,0.44846
93,93,2008,Indirect migration background,4th Quintile,Seldom,0.59839,51,18922,0.41294,0.78192
94,94,2008,Indirect migration background,4th Quintile,Never,0.40161,38,18922,0.27941,0.58318
95,95,2008,Indirect migration background,5th Quintile,Sometimes,0.22118,35,18922,0.14273,0.31257
96,96,2008,Indirect migration background,5th Quintile,Seldom,0.39984,52,18922,0.31735,0.51558
97,97,2008,Indirect migration background,5th Quintile,Never,0.37898,44,18922,0.28706,0.5087
98,98,2013,No migration background,1st Quintile,Often,0.02835,137,25157,0.02344,0.03396
99,99,2013,No migration background,1st Quintile,Sometimes,0.12072,495,25157,0.10842,0.13398
100,100,2013,No migration background,1st Quintile,Seldom,0.25527,1017,25157,0.23481,0.27695
101,101,2013,No migration background,1st Quintile,Never,0.59567,2157,25157,0.56452,0.62363
102,102,2013,No migration background,2nd Quintile,Often,0.01984,101,25157,0.01594,0.02426
103,103,2013,No migration background,2nd Quintile,Sometimes,0.10025,413,25157,0.0896,0.11055
104,104,2013,No migration background,2nd Quintile,Seldom,0.27488,1198,25157,0.2577,0.29275
105,105,2013,No migration background,2nd Quintile,Never,0.60502,2470,25157,0.57896,0.62708
106,106,2013,No migration background,3rd Quintile,Often,0.02463,87,25157,0.01987,0.02964
107,107,2013,No migration background,3rd Quintile,Sometimes,0.10133,438,25157,0.09102,0.11398
108,108,2013,No migration background,3rd Quintile,Seldom,0.29427,1302,25157,0.27524,0.31035
109,109,2013,No migration background,3rd Quintile,Never,0.57977,2374,25157,0.55072,0.60225
110,110,2013,No migration background,4th Quintile,Often,0.02792,103,25157,0.02371,0.03481
111,111,2013,No migration background,4th Quintile,Sometimes,0.12696,515,25157,0.11633,0.13772
112,112,2013,No migration background,4th Quintile,Seldom,0.35333,1495,25157,0.33349,0.37521
113,113,2013,No migration background,4th Quintile,Never,0.49179,2244,25157,0.47302,0.51014
114,114,2013,No migration background,5th Quintile,Often,0.02231,91,25157,0.01757,0.02729
115,115,2013,No migration background,5th Quintile,Sometimes,0.1306,637,25157,0.11834,0.14211
116,116,2013,No migration background,5th Quintile,Seldom,0.3687,1723,25157,0.34566,0.39022
117,117,2013,No migration background,5th Quintile,Never,0.47838,2447,25157,0.45718,0.49835
118,118,2013,Direct migration background,1st Quintile,Often,0.02513,45,25157,0.0129,0.04188
119,119,2013,Direct migration background,1st Quintile,Sometimes,0.17456,187,25157,0.13376,0.21812
120,120,2013,Direct migration background,1st Quintile,Seldom,0.22688,219,25157,0.17096,0.28003
121,121,2013,Direct migration background,1st Quintile,Never,0.57344,504,25157,0.51061,0.64595
122,122,2013,Direct migration background,2nd Quintile,Sometimes,0.17333,114,25157,0.12183,0.22477
123,123,2013,Direct migration background,2nd Quintile,Seldom,0.30208,194,25157,0.24637,0.35905
124,124,2013,Direct migration background,2nd Quintile,Never,0.52459,346,25157,0.46561,0.6215
125,125,2013,Direct migration background,3rd Quintile,Sometimes,0.16115,81,25157,0.11521,0.21597
126,126,2013,Direct migration background,3rd Quintile,Seldom,0.2951,136,25157,0.22,0.36115
127,127,2013,Direct migration background,3rd Quintile,Never,0.54375,218,25157,0.46263,0.64569
128,128,2013,Direct migration background,4th Quintile,Sometimes,0.17379,40,25157,0.12194,0.23561
129,129,2013,Direct migration background,4th Quintile,Seldom,0.35629,126,25157,0.29151,0.42216
130,130,2013,Direct migration background,4th Quintile,Never,0.46992,137,25157,0.39231,0.56248
131,131,2013,Direct migration background,5th Quintile,Sometimes,0.19483,54,25157,0.14178,0.26967
