year,quintil_oecd,regtyp,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Urban regions,Often,0.03585,76,2134,0.02796,0.04374
2003,1st Quintile,Urban regions,Sometimes,0.15714,340,2134,0.14169,0.17258
2003,1st Quintile,Urban regions,Seldom,0.24866,552,2134,0.23031,0.26700
2003,1st Quintile,Urban regions,Never,0.54791,1166,2134,0.52678,0.56903
2003,1st Quintile,Rural regions,Sometimes,0.12396,147,1185,0.10519,0.14273
2003,1st Quintile,Rural regions,Seldom,0.24035,314,1185,0.21601,0.26469
2003,1st Quintile,Rural regions,Never,0.61477,724,1185,0.58705,0.64249
2003,2nd Quintile,Urban regions,Often,0.03008,69,2259,0.02303,0.03712
2003,2nd Quintile,Urban regions,Sometimes,0.14914,327,2259,0.13445,0.16384
2003,2nd Quintile,Urban regions,Seldom,0.28124,640,2259,0.26270,0.29979
2003,2nd Quintile,Urban regions,Never,0.53077,1223,2259,0.51019,0.55136
2003,2nd Quintile,Rural regions,Sometimes,0.09872,155,1516,0.08370,0.11374
2003,2nd Quintile,Rural regions,Seldom,0.26485,433,1516,0.24263,0.28707
2003,2nd Quintile,Rural regions,Never,0.61137,928,1516,0.58682,0.63592
2003,3rd Quintile,Urban regions,Often,0.02461,67,2533,0.01857,0.03064
2003,3rd Quintile,Urban regions,Sometimes,0.12320,341,2533,0.11039,0.13600
2003,3rd Quintile,Urban regions,Seldom,0.30285,799,2533,0.28495,0.32075
2003,3rd Quintile,Urban regions,Never,0.54495,1326,2533,0.52556,0.56435
2003,3rd Quintile,Rural regions,Often,0.01995,32,1486,0.01283,0.02706
2003,3rd Quintile,Rural regions,Sometimes,0.10661,149,1486,0.09092,0.12231
2003,3rd Quintile,Rural regions,Seldom,0.28234,454,1486,0.25944,0.30523
2003,3rd Quintile,Rural regions,Never,0.58893,851,1486,0.56391,0.61396
2003,4th Quintile,Urban regions,Often,0.03668,110,2872,0.02981,0.04356
2003,4th Quintile,Urban regions,Sometimes,0.13300,395,2872,0.12058,0.14542
2003,4th Quintile,Urban regions,Seldom,0.36228,1027,2872,0.34470,0.37987
2003,4th Quintile,Urban regions,Never,0.46092,1340,2872,0.44269,0.47916
2003,4th Quintile,Rural regions,Often,0.01909,33,1543,0.01226,0.02592
2003,4th Quintile,Rural regions,Sometimes,0.12647,213,1543,0.10988,0.14306
2003,4th Quintile,Rural regions,Seldom,0.35274,532,1543,0.32889,0.37659
2003,4th Quintile,Rural regions,Never,0.49815,765,1543,0.47319,0.52311
2003,5th Quintile,Urban regions,Very often,0.00516,37,4753,0.00312,0.00720
2003,5th Quintile,Urban regions,Often,0.03111,164,4753,0.02618,0.03605
2003,5th Quintile,Urban regions,Sometimes,0.15017,686,4753,0.14001,0.16033
2003,5th Quintile,Urban regions,Seldom,0.35410,1718,4753,0.34050,0.36770
2003,5th Quintile,Urban regions,Never,0.45946,2148,4753,0.44529,0.47363
2003,5th Quintile,Rural regions,Often,0.02095,31,1561,0.01384,0.02805
2003,5th Quintile,Rural regions,Sometimes,0.12338,209,1561,0.10706,0.13970
2003,5th Quintile,Rural regions,Seldom,0.34662,560,1561,0.32301,0.37024
2003,5th Quintile,Rural regions,Never,0.50817,761,1561,0.48336,0.53298
2008,1st Quintile,Urban regions,Often,0.03698,61,1839,0.02835,0.04561
2008,1st Quintile,Urban regions,Sometimes,0.14749,269,1839,0.13128,0.16370
2008,1st Quintile,Urban regions,Seldom,0.26144,473,1839,0.24135,0.28153
2008,1st Quintile,Urban regions,Never,0.54504,1036,1839,0.52227,0.56780
2008,1st Quintile,Rural regions,Sometimes,0.08963,109,1057,0.07240,0.10686
2008,1st Quintile,Rural regions,Seldom,0.24157,259,1057,0.21575,0.26739
2008,1st Quintile,Rural regions,Never,0.63017,689,1057,0.60105,0.65929
2008,2nd Quintile,Urban regions,Often,0.02035,44,2034,0.01421,0.02649
2008,2nd Quintile,Urban regions,Sometimes,0.11832,222,2034,0.10428,0.13236
2008,2nd Quintile,Urban regions,Seldom,0.29859,621,2034,0.27869,0.31848
2008,2nd Quintile,Urban regions,Never,0.55765,1147,2034,0.53606,0.57924
2008,2nd Quintile,Rural regions,Sometimes,0.11571,121,1278,0.09816,0.13325
2008,2nd Quintile,Rural regions,Seldom,0.27165,362,1278,0.24725,0.29604
2008,2nd Quintile,Rural regions,Never,0.58913,795,1278,0.56214,0.61611
2008,3rd Quintile,Urban regions,Often,0.03663,60,2254,0.02887,0.04438
2008,3rd Quintile,Urban regions,Sometimes,0.13703,305,2254,0.12283,0.15123
2008,3rd Quintile,Urban regions,Seldom,0.31282,731,2254,0.29367,0.33196
2008,3rd Quintile,Urban regions,Never,0.51025,1158,2254,0.48961,0.53090
2008,3rd Quintile,Rural regions,Sometimes,0.08784,125,1506,0.07353,0.10214
2008,3rd Quintile,Rural regions,Seldom,0.32591,458,1506,0.30223,0.34959
2008,3rd Quintile,Rural regions,Never,0.56795,923,1506,0.54292,0.59298
