year,migback,sex,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,male,Very often,0.00489199320580977,46,21942,0.004865949406324402,0.0049180370052951386
2003,No migration background,male,Often,0.02900391218419241,250,21942,0.028941270512232307,0.029066553856152515
2003,No migration background,male,Sometimes,0.13260691609599287,1206,21942,0.13248032085636005,0.1327335113356257
2003,No migration background,male,Seldom,0.3318992950687484,3014,21942,0.3317235227669236,0.3320750673705732
2003,No migration background,male,Never,0.5015978834452565,4461,21942,0.5014112480131035,0.5017845188774094
2003,No migration background,female,Very often,0.003481715685689246,37,21942,0.003460349720707441,0.0035030816506710512
2003,No migration background,female,Often,0.01866019338681914,216,21942,0.018611108137367972,0.01870927863627031
2003,No migration background,female,Sometimes,0.10988634856424599,1098,21942,0.10977290553197006,0.10999979159652193
2003,No migration background,female,Seldom,0.29576135003440607,3052,21942,0.29559580587514983,0.2959268941936623
2003,No migration background,female,Never,0.5722103923288396,5254,21942,0.5720309287971853,0.572389855860494
2003,Direct migration background,male,Often,0.04886627168803095,56,21942,0.048658659556129386,0.04907388381993251
2003,Direct migration background,male,Sometimes,0.207321721707861,247,21942,0.20693133212873396,0.20771211128698805
2003,Direct migration background,male,Seldom,0.2822701043312054,351,21942,0.28183665304675104,0.2827035556156598
2003,Direct migration background,male,Never,0.46154190227290265,576,21942,0.46106182752963404,0.46202197701617126
2003,Direct migration background,female,Often,0.036127508693875786,42,21942,0.03595290162607433,0.036302115761677245
2003,Direct migration background,female,Sometimes,0.17931519294896137,217,21942,0.17895624641839672,0.179674139479526
2003,Direct migration background,female,Seldom,0.2555437116100969,349,21942,0.25513559410808095,0.2559518291121129
2003,Direct migration background,female,Never,0.5290135867470659,714,21942,0.5285465289550758,0.529480644539056
2003,Indirect migration background,male,Often,0.10925722206291366,37,21942,0.10863715941636765,0.10987728470945968
2003,Indirect migration background,male,Sometimes,0.27834734071695927,97,21942,0.2774565165629668,0.2792381648709517
2003,Indirect migration background,male,Seldom,0.3108245906392852,120,21942,0.3099046561331138,0.3117445251454566
2003,Indirect migration background,male,Never,0.3015708465808419,103,21942,0.30065864631427486,0.3024830468474089
2003,Indirect migration background,female,Often,0.08919469302048053,33,21942,0.08864505107237867,0.08974433496858238
2003,Indirect migration background,female,Sometimes,0.23608751300530978,97,21942,0.23526856581054673,0.23690646020007283
2003,Indirect migration background,female,Seldom,0.3709718872345262,144,21942,0.3700403437901124,0.37190343067893994
2003,Indirect migration background,female,Never,0.30374590673968355,125,21942,0.30285908427866415,0.30463272920070295
2008,No migration background,male,Very often,0.005272029416887053,36,19086,0.0052448386510099525,0.005299220182764153
2008,No migration background,male,Often,0.02814773066249059,197,19086,0.02808562914923515,0.02820983217574603
2008,No migration background,male,Sometimes,0.12418277532086243,918,19086,0.12405894762697343,0.12430660301475142
2008,No migration background,male,Seldom,0.3315688404658291,2616,19086,0.33139207575722307,0.3317456051744351
2008,No migration background,male,Never,0.5108286241339308,4139,19086,0.5106409309534617,0.5110163173143999
2008,No migration background,female,Very often,0.004869281480835355,40,19086,0.0048438408805808394,0.00489472208108987
2008,No migration background,female,Often,0.018631249704414224,149,19086,0.018581830932026765,0.018680668476801682
2008,No migration background,female,Sometimes,0.1034324017835853,885,19086,0.1033211070352406,0.10354369653193
2008,No migration background,female,Seldom,0.2946790513697308,2600,19086,0.2945124330040173,0.29484566973544435
2008,No migration background,female,Never,0.5783880156614343,4952,19086,0.5782075390352223,0.5785684922876463
2008,Direct migration background,male,Sometimes,0.18343249124924152,151,19086,0.1830511342754842,0.18381384822299884
2008,Direct migration background,male,Seldom,0.3211648652312907,278,19086,0.32070477428952576,0.3216249561730556
2008,Direct migration background,male,Never,0.4954026435194677,418,19086,0.49490998141452003,0.4958953056244154
2008,Direct migration background,female,Sometimes,0.15535143449433686,159,19086,0.15501109927140996,0.15569176971726376
2008,Direct migration background,female,Seldom,0.2985823276689601,278,19086,0.2981523641170646,0.2990122912208556
2008,Direct migration background,female,Never,0.5460662378367032,540,19086,0.5455984702271224,0.5465340054462839
2008,Indirect migration background,male,Often,0.09664697879197452,32,19086,0.0961821057150338,0.09711185186891524
2008,Indirect migration background,male,Sometimes,0.23434344113822633,86,19086,0.23367701057212506,0.2350098717043276
2008,Indirect migration background,male,Seldom,0.3693003060237252,139,19086,0.36854100734035083,0.3700596047070996
2008,Indirect migration background,male,Never,0.2997092740460739,98,19086,0.29898849727608806,0.3004300508160597
2008,Indirect migration background,female,Sometimes,0.206665763888695,87,19086,0.206008454295845,0.20732307348154502
2008,Indirect migration background,female,Seldom,0.3245748390099494,126,19086,0.32381476891406463,0.3253349091058341
2008,Indirect migration background,female,Never,0.46875939710135556,162,19086,0.4679493165095294,0.4695694776931817
2013,No migration background,male,Very often,0.002957735061334986,34,25354,0.002936803686276559,0.002978666436393413
2013,No migration background,male,Often,0.02888915299101102,287,25354,0.02882459304663056,0.028953712935391483
2013,No migration background,male,Sometimes,0.13062318851989999,1204,25354,0.13049329858262204,0.13075307845717793
2013,No migration background,male,Seldom,0.32956107413022667,3212,25354,0.32937989469303647,0.3297422535674169
2013,No migration background,male,Never,0.5079688492975274,5044,25354,0.5077761517531455,0.5081615468419093
2013,No migration background,female,Very often,0.001962740735078282,35,25354,0.0019462189934965099,0.0019792624766600537
2013,No migration background,female,Often,0.02034854688293103,232,25354,0.020295841681964705,0.020401252083897353
2013,No migration background,female,Sometimes,0.10335407170458394,1295,25354,0.103240433264052,0.10346771014511588
2013,No migration background,female,Seldom,0.299548285409691,3524,25354,0.29937729431213217,0.2997192765072498
2013,No migration background,female,Never,0.5747863552677158,6649,25354,0.574601807923102,0.5749709026123296
2013,Direct migration background,male,Often,0.04786260814371645,63,25354,0.04759878507292755,0.04812643121450535
2013,Direct migration background,male,Sometimes,0.20606444288573547,233,25354,0.20556457074125978,0.20656431503021117
2013,Direct migration background,male,Seldom,0.2995208464180567,346,25354,0.29895476888968137,0.30008692394643205
2013,Direct migration background,male,Never,0.44655210255249134,535,25354,0.4459377195096885,0.44716648559529415
2013,Direct migration background,female,Often,0.026485959000851673,51,25354,0.02629915088599853,0.026672767115704817
2013,Direct migration background,female,Sometimes,0.13745157353779283,243,25354,0.13705099896484324,0.13785214811074242
2013,Direct migration background,female,Seldom,0.27994655374274835,438,25354,0.27942423368192465,0.28046887380357205
2013,Direct migration background,female,Never,0.5561159137186071,816,25354,0.5555379052174563,0.556693922219758
2013,Indirect migration background,male,Often,0.06729737155169445,48,25354,0.06677822628379294,0.06781651681959595
2013,Indirect migration background,male,Sometimes,0.20199487578081102,120,25354,0.20116293720095163,0.2028268143606704
2013,Indirect migration background,male,Seldom,0.423091048626321,181,25354,0.4220673106700464,0.42411478658259566
2013,Indirect migration background,male,Never,0.30761670404117347,154,25354,0.30666039888706176,0.3085730091952852
2013,Indirect migration background,female,Often,0.0639252970693436,39,25354,0.06341040409112658,0.06444019004756063
2013,Indirect migration background,female,Sometimes,0.20414742926062152,116,25354,0.20329900396813513,0.2049958545531079
2013,Indirect migration background,female,Seldom,0.34202022896059076,211,25354,0.3410217072662023,0.3430187506549792
2013,Indirect migration background,female,Never,0.38990704470944415,244,25354,0.388880438507751,0.3909336509111373
2018,No migration background,male,Very often,0.005730830737666173,60,25479,0.0057020199942300325,0.005759641481102314
2018,No migration background,male,Often,0.03817526509624148,332,25479,0.038102128846100036,0.038248401346382924
2018,No migration background,male,Sometimes,0.16674928049201682,1430,25479,0.16660701043000617,0.16689155055402746
2018,No migration background,male,Seldom,0.3643854388134127,3188,25479,0.3642017549041821,0.36456912272264325
2018,No migration background,male,Never,0.42495918486066286,3993,25479,0.42477050887238477,0.42514786084894096
2018,No migration background,female,Very often,0.003489708109021603,59,25479,0.003467580290297246,0.0035118359277459604
2018,No migration background,female,Often,0.028847474999132015,309,25479,0.028784669049859726,0.028910280948404303
2018,No migration background,female,Sometimes,0.14642741366405862,1567,25479,0.1462947553161127,0.14656007201200455
