,Unnamed: 0,year,sampreg,sex,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,West,male,Very often,0.00783,61,21975,0.00606,0.00981
1,1,2003,West,male,Often,0.03675,284,21975,0.03321,0.04064
2,2,2003,West,male,Sometimes,0.15407,1270,21975,0.1475,0.16062
3,3,2003,West,male,Seldom,0.32929,2673,21975,0.31842,0.33982
4,4,2003,West,male,Never,0.47205,3731,21975,0.46144,0.48561
5,5,2003,West,female,Very often,0.00528,55,21975,0.00423,0.0063
6,6,2003,West,female,Often,0.02454,245,21975,0.02207,0.02705
7,7,2003,West,female,Sometimes,0.12896,1132,21975,0.1238,0.13551
8,8,2003,West,female,Seldom,0.29728,2735,21975,0.28978,0.30726
9,9,2003,West,female,Never,0.54395,4486,21975,0.53384,0.55487
10,10,2003,East,male,Often,0.02153,59,21975,0.01699,0.0258
11,11,2003,East,male,Sometimes,0.11245,280,21975,0.10167,0.12516
12,12,2003,East,male,Seldom,0.30307,812,21975,0.28617,0.31883
13,13,2003,East,male,Never,0.56295,1409,21975,0.5416,0.58234
14,14,2003,East,female,Often,0.01599,46,21975,0.01269,0.02014
15,15,2003,East,female,Sometimes,0.09312,280,21975,0.08465,0.10128
16,16,2003,East,female,Seldom,0.27167,810,21975,0.25954,0.28658
17,17,2003,East,female,Never,0.61923,1607,21975,0.59829,0.63852
18,18,2008,West,male,Very often,0.0067,41,19161,0.00489,0.0083
19,19,2008,West,male,Often,0.03537,218,19161,0.03097,0.0396
20,20,2008,West,male,Sometimes,0.14296,914,19161,0.13507,0.15085
21,21,2008,West,male,Seldom,0.32846,2297,19161,0.31447,0.34054
22,22,2008,West,male,Never,0.4865,3388,19161,0.4737,0.49957
23,23,2008,West,female,Very often,0.00447,36,19161,0.00338,0.00597
24,24,2008,West,female,Often,0.02324,166,19161,0.02043,0.02639
25,25,2008,West,female,Sometimes,0.11818,924,19161,0.11187,0.12582
26,26,2008,West,female,Seldom,0.29483,2289,19161,0.2847,0.30641
27,27,2008,West,female,Never,0.55928,4167,19161,0.54808,0.57167
28,28,2008,East,male,Often,0.02053,36,19161,0.01542,0.02792
29,29,2008,East,male,Sometimes,0.10518,241,19161,0.09215,0.11966
30,30,2008,East,male,Seldom,0.33749,736,19161,0.31371,0.36142
31,31,2008,East,male,Never,0.5368,1267,19161,0.51556,0.55774
32,32,2008,East,female,Often,0.01689,32,19161,0.0124,0.02223
33,33,2008,East,female,Sometimes,0.09284,207,19161,0.08091,0.10323
34,34,2008,East,female,Seldom,0.29333,715,19161,0.27532,0.31645
35,35,2008,East,female,Never,0.59694,1487,19161,0.5731,0.61887
36,36,2013,West,male,Very often,0.00386,44,25365,0.00239,0.00534
37,37,2013,West,male,Often,0.03591,351,25365,0.03195,0.04059
38,38,2013,West,male,Sometimes,0.14727,1309,25365,0.13893,0.15845
39,39,2013,West,male,Seldom,0.33064,2914,25365,0.31897,0.34654
40,40,2013,West,male,Never,0.48233,4264,25365,0.46732,0.49494
41,41,2013,West,female,Very often,0.00205,36,25365,0.00118,0.00303
42,42,2013,West,female,Often,0.02454,273,25365,0.02123,0.02817
43,43,2013,West,female,Sometimes,0.11613,1374,25365,0.10864,0.12317
44,44,2013,West,female,Seldom,0.30787,3363,25365,0.29354,0.31822
45,45,2013,West,female,Never,0.54941,5759,25365,0.53537,0.56425
46,46,2013,East,male,Often,0.01433,47,25365,0.01146,0.01765
47,47,2013,East,male,Sometimes,0.10619,248,25365,0.08896,0.12214
48,48,2013,East,male,Seldom,0.32574,825,25365,0.30259,0.35452
49,49,2013,East,male,Never,0.55375,1469,25365,0.52872,0.57979
50,50,2013,East,female,Often,0.01169,49,25365,0.00925,0.01466
51,51,2013,East,female,Sometimes,0.07972,280,25365,0.06876,0.09076
52,52,2013,East,female,Seldom,0.26073,810,25365,0.23987,0.28747
53,53,2013,East,female,Never,0.64786,1950,25365,0.61675,0.67696
54,54,2018,West,male,Very often,0.00845,96,25511,0.00706,0.01008
55,55,2018,West,male,Often,0.05188,489,25511,0.04685,0.05721
56,56,2018,West,male,Sometimes,0.19428,1772,25511,0.1837,0.2057
57,57,2018,West,male,Seldom,0.34755,3229,25511,0.33286,0.36009
58,58,2018,West,male,Never,0.39784,3660,25511,0.38482,0.41011
59,59,2018,West,female,Very often,0.00511,88,25511,0.0043,0.00614
60,60,2018,West,female,Often,0.04168,446,25511,0.03756,0.0469
61,61,2018,West,female,Sometimes,0.16794,1892,25511,0.15718,0.17892
62,62,2018,West,female,Seldom,0.30902,3516,25511,0.29845,0.32055
63,63,2018,West,female,Never,0.47624,4876,25511,0.46305,0.49073
64,64,2018,East,male,Often,0.03003,65,25511,0.02267,0.04007
65,65,2018,East,male,Sometimes,0.13617,316,25511,0.11984,0.15249
66,66,2018,East,male,Seldom,0.33623,780,25511,0.30724,0.36218
67,67,2018,East,male,Never,0.49756,1348,25511,0.46595,0.5313
68,68,2018,East,female,Often,0.01977,66,25511,0.01398,0.02698
69,69,2018,East,female,Sometimes,0.11474,356,25511,0.10168,0.12491
70,70,2018,East,female,Seldom,0.27891,826,25511,0.25738,0.30015
71,71,2018,East,female,Never,0.58658,1690,25511,0.55795,0.62498
