year,pld0044,regtyp,sampreg,proportion,n,lower_confidence,upper_confidence
2003,Very often,Urban regions,West,0.7706422018348624,27727,0.7656935399758957,0.7755908636938291
2003,Very often,Rural regions,West,0.14678899082568808,27727,0.14262337132444114,0.15095461032693502
2003,Very often,Urban regions,East,0.07339449541284404,27727,0.07032488109015911,0.07646410973552897
2003,Very often,Rural regions,East,0.009174311926605505,27727,0.008052060903630386,0.010296562949580625
2003,Often,Urban regions,West,0.6958041958041958,27727,0.690388867865642,0.7012195237427497
2003,Often,Rural regions,West,0.13986013986013987,27727,0.13577754629948954,0.1439427334207902
2003,Often,Rural regions,East,0.08741258741258741,27727,0.08408806813940381,0.09073710668577101
2003,Often,Urban regions,East,0.07692307692307693,27727,0.07378652919219775,0.08005962465395611
2003,Sometimes,Urban regions,West,0.6375348189415042,27727,0.6318764699312505,0.643193167951758
2003,Sometimes,Rural regions,West,0.17548746518105848,27727,0.17101006088300397,0.179964869479113
2003,Sometimes,Rural regions,East,0.11768802228412256,27727,0.11389503095417813,0.12148101361406699
2003,Sometimes,Urban regions,East,0.06928969359331476,27727,0.06630055389660147,0.07227883329002804
2003,Seldom,Urban regions,West,0.5939350180505415,27727,0.5881544320691401,0.5997156040319429
2003,Seldom,Rural regions,West,0.17660649819494584,27727,0.1721178901096861,0.1810951062802056
2003,Seldom,Rural regions,East,0.14902527075812275,27727,0.14483354441866408,0.1532169970975814
2003,Seldom,Urban regions,East,0.08043321299638989,27727,0.07723200437860253,0.08363442161417725
2003,Never,Urban regions,West,0.5581958393113343,27727,0.5523504582464123,0.5640412203762564
2003,Never,Rural regions,East,0.18597560975609756,27727,0.18139575890749468,0.19055546060470044
2003,Never,Rural regions,West,0.17413916786226685,27727,0.16967535173127862,0.17860298399325508
2003,Never,Urban regions,East,0.0816893830703013,27727,0.07846547803211625,0.08491328810848635
2008,Very often,Urban regions,West,0.6451612903225806,23673,0.639066215113548,0.6512563655316133
2008,Very often,Rural regions,West,0.1827956989247312,23673,0.1778721559771375,0.18771924187232486
2008,Very often,Urban regions,East,0.08602150537634409,23673,0.08244959190146824,0.08959341885121995
2008,Very often,Rural regions,East,0.08602150537634409,23673,0.08244959190146824,0.08959341885121995
2008,Often,Urban regions,West,0.6991150442477876,23673,0.6932724734594631,0.7049576150361121
