year,age_gr,sex,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,male,Very often,0.02474,43,1928,0.01780,0.03168
2003,17-29 y.,male,Often,0.10395,201,1928,0.09032,0.11758
2003,17-29 y.,male,Sometimes,0.28896,579,1928,0.26872,0.30920
2003,17-29 y.,male,Seldom,0.32560,656,1928,0.30467,0.34652
2003,17-29 y.,male,Never,0.25244,449,1928,0.23304,0.27184
2003,17-29 y.,female,Very often,0.01839,37,2069,0.01260,0.02418
2003,17-29 y.,female,Often,0.07598,172,2069,0.06456,0.08740
2003,17-29 y.,female,Sometimes,0.25414,520,2069,0.23538,0.27291
2003,17-29 y.,female,Seldom,0.36636,776,2069,0.34559,0.38713
2003,17-29 y.,female,Never,0.28200,564,2069,0.26261,0.30140
2003,30-45 y.,male,Often,0.02444,81,3297,0.01917,0.02971
2003,30-45 y.,male,Sometimes,0.17282,537,3297,0.15991,0.18573
2003,30-45 y.,male,Seldom,0.40305,1287,3297,0.38630,0.41979
2003,30-45 y.,male,Never,0.39143,1392,3297,0.37477,0.40809
2003,30-45 y.,female,Often,0.01888,67,3569,0.01441,0.02334
2003,30-45 y.,female,Sometimes,0.14187,462,3569,0.13042,0.15332
2003,30-45 y.,female,Seldom,0.37033,1334,3569,0.35448,0.38617
2003,30-45 y.,female,Never,0.45573,1706,3569,0.43938,0.47207
2003,46-65 y.,male,Often,0.02209,55,3714,0.01736,0.02682
2003,46-65 y.,male,Sometimes,0.10004,355,3714,0.09039,0.10969
2003,46-65 y.,male,Seldom,0.30458,1196,3714,0.28978,0.31938
2003,46-65 y.,male,Never,0.56212,2108,3714,0.54616,0.57808
2003,46-65 y.,female,Often,0.01301,42,3785,0.00940,0.01663
2003,46-65 y.,female,Sometimes,0.09534,344,3785,0.08598,0.10470
2003,46-65 y.,female,Seldom,0.27106,1096,3785,0.25690,0.28522
2003,46-65 y.,female,Never,0.61126,2303,3785,0.59573,0.62679
2003,66 and older,male,Sometimes,0.03955,79,1616,0.03004,0.04905
2003,66 and older,male,Seldom,0.20757,346,1616,0.18779,0.22735
2003,66 and older,male,Never,0.72746,1191,1616,0.70574,0.74918
2003,66 and older,female,Sometimes,0.04322,86,1945,0.03418,0.05226
2003,66 and older,female,Seldom,0.17008,339,1945,0.15338,0.18678
2003,66 and older,female,Never,0.76573,1520,1945,0.74691,0.78456
2008,17-29 y.,male,Often,0.09327,154,1480,0.07844,0.10809
2008,17-29 y.,male,Sometimes,0.25156,403,1480,0.22944,0.27367
2008,17-29 y.,male,Seldom,0.31909,553,1480,0.29534,0.34285
2008,17-29 y.,male,Never,0.24273,370,1480,0.22088,0.26458
2008,17-29 y.,female,Often,0.06003,107,1615,0.04844,0.07161
2008,17-29 y.,female,Sometimes,0.22762,397,1615,0.20716,0.24807
2008,17-29 y.,female,Seldom,0.35698,613,1615,0.33361,0.38036
2008,17-29 y.,female,Never,0.26437,498,1615,0.24285,0.28588
2008,30-45 y.,male,Often,0.02993,56,2443,0.02318,0.03669
2008,30-45 y.,male,Sometimes,0.15315,352,2443,0.13887,0.16744
2008,30-45 y.,male,Seldom,0.40524,992,2443,0.38577,0.42472
2008,30-45 y.,male,Never,0.40150,1043,2443,0.38206,0.42095
2008,30-45 y.,female,Often,0.01968,38,2682,0.01442,0.02494
2008,30-45 y.,female,Sometimes,0.12558,323,2682,0.11304,0.13812
2008,30-45 y.,female,Seldom,0.36930,982,2682,0.35103,0.38757
2008,30-45 y.,female,Never,0.47790,1339,2682,0.45899,0.49681
2008,46-65 y.,male,Often,0.01333,32,3165,0.00933,0.01733
2008,46-65 y.,male,Sometimes,0.09756,295,3165,0.08723,0.10790
2008,46-65 y.,male,Seldom,0.30637,1003,3165,0.29031,0.32243
2008,46-65 y.,male,Never,0.57119,1835,3165,0.55395,0.58844
2008,46-65 y.,female,Often,0.01541,41,3467,0.01131,0.01951
2008,46-65 y.,female,Sometimes,0.08546,303,3467,0.07615,0.09477
2008,46-65 y.,female,Seldom,0.28136,1025,3467,0.26639,0.29633
2008,46-65 y.,female,Never,0.60664,2098,3467,0.59037,0.62290
2008,66 and older,male,Sometimes,0.05143,105,1997,0.04174,0.06112
2008,66 and older,male,Seldom,0.23851,485,1997,0.21982,0.25721
2008,66 and older,male,Never,0.68861,1407,1997,0.66830,0.70893
2008,66 and older,female,Sometimes,0.04871,108,2211,0.03974,0.05769
