"pld0044","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","16","","",""
"Sehr oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Sehr oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","5","","",""
"Sehr oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Hauptschule","kein Migrationshintergrund","17","","",""
"Sehr oft","2003","Hauptschule","direkter Migrationshintergrund","13","","",""
"Sehr oft","2003","Hauptschule","indirekter Migrationshintergrund","2","","",""
"Sehr oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Realschule","kein Migrationshintergrund","20","","",""
"Sehr oft","2003","Realschule","direkter Migrationshintergrund","3","","",""
"Sehr oft","2003","Realschule","indirekter Migrationshintergrund","5","","",""
"Sehr oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","(Fach-)Abitur","kein Migrationshintergrund","20","","",""
"Sehr oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","5","","",""
"Sehr oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Sehr oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","AkademikerIn","kein Migrationshintergrund","8","","",""
"Sehr oft","2003","AkademikerIn","direkter Migrationshintergrund","4","","",""
"Sehr oft","2003","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","98","0.138391788210702","0.110313534102682","0.166470042318723"
"Oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","5","","",""
"Oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","16","","",""
"Oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Hauptschule","kein Migrationshintergrund","95","0.0149032533878063","0.0120178570251499","0.0177886497504627"
"Oft","2003","Hauptschule","direkter Migrationshintergrund","46","0.0393275377962708","0.0289203895428081","0.0497346860497336"
"Oft","2003","Hauptschule","indirekter Migrationshintergrund","17","","",""
"Oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Realschule","kein Migrationshintergrund","104","0.0213141985106582","0.0174375255272624","0.025190871494054"
"Oft","2003","Realschule","direkter Migrationshintergrund","6","","",""
"Oft","2003","Realschule","indirekter Migrationshintergrund","21","","",""
"Oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(Fach-)Abitur","kein Migrationshintergrund","86","0.043767011617188","0.0344749183377188","0.0530591048966572"
"Oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","21","","",""
"Oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"Oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","AkademikerIn","kein Migrationshintergrund","69","0.0195435257049543","0.0151974378158147","0.0238896135940938"
"Oft","2003","AkademikerIn","direkter Migrationshintergrund","15","","",""
"Oft","2003","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"Oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","(noch) kein Abschluss","kein Migrationshintergrund","171","0.29931521694487","0.262077266806711","0.336553167083028"
"Manchmal","2003","(noch) kein Abschluss","direkter Migrationshintergrund","40","0.164823927372749","0.116452041194153","0.213195813551345"
"Manchmal","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","25","","",""
"Manchmal","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Hauptschule","kein Migrationshintergrund","586","0.0853189376610307","0.0786664656160453","0.091971409706016"
"Manchmal","2003","Hauptschule","direkter Migrationshintergrund","217","0.176338989440801","0.155933636082031","0.19674434279957"
"Manchmal","2003","Hauptschule","indirekter Migrationshintergrund","38","0.162435635471555","0.116895158785723","0.207976112157386"
"Manchmal","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Realschule","kein Migrationshintergrund","629","0.119866602472186","0.111148411680108","0.128584793264263"
"Manchmal","2003","Realschule","direkter Migrationshintergrund","43","0.205032313707618","0.150166437690244","0.259898189724991"
"Manchmal","2003","Realschule","indirekter Migrationshintergrund","58","0.290736511218431","0.228269077971424","0.353203944465437"
"Manchmal","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","(Fach-)Abitur","kein Migrationshintergrund","386","0.203617853711452","0.185327296425681","0.221908410997223"
"Manchmal","2003","(Fach-)Abitur","direkter Migrationshintergrund","82","0.22730322272231","0.186436975727893","0.268169469716728"
"Manchmal","2003","(Fach-)Abitur","indirekter Migrationshintergrund","42","0.284996638817699","0.209407096080794","0.360586181554603"
"Manchmal","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","AkademikerIn","kein Migrationshintergrund","484","0.135328877624471","0.124588894336427","0.146068860912515"
"Manchmal","2003","AkademikerIn","direkter Migrationshintergrund","68","0.176968151785637","0.13776208482112","0.216174218750154"
"Manchmal","2003","AkademikerIn","indirekter Migrationshintergrund","19","","",""
"Manchmal","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(noch) kein Abschluss","kein Migrationshintergrund","163","0.260161950011565","0.224488078309365","0.295835821713765"
"Selten","2003","(noch) kein Abschluss","direkter Migrationshintergrund","54","0.224333830356712","0.169948886761808","0.278718773951617"
"Selten","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","19","","",""
"Selten","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Hauptschule","kein Migrationshintergrund","1704","0.244167226378902","0.233937075486681","0.254397377271124"
"Selten","2003","Hauptschule","direkter Migrationshintergrund","343","0.251836154385495","0.228595246465386","0.275077062305604"
"Selten","2003","Hauptschule","indirekter Migrationshintergrund","91","0.354593546745845","0.295528590555345","0.413658502936345"
"Selten","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Realschule","kein Migrationshintergrund","1916","0.358402667181894","0.345531441297104","0.371273893066685"
"Selten","2003","Realschule","direkter Migrationshintergrund","64","0.311308164035791","0.248383030481468","0.374233297590115"
"Selten","2003","Realschule","indirekter Migrationshintergrund","70","0.333163753208373","0.268324419367779","0.398003087048968"
"Selten","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(Fach-)Abitur","kein Migrationshintergrund","730","0.382237255541423","0.3601655640757","0.404308947007146"
"Selten","2003","(Fach-)Abitur","direkter Migrationshintergrund","117","0.254123890166017","0.211670389792764","0.29657739053927"
"Selten","2003","(Fach-)Abitur","indirekter Migrationshintergrund","58","0.419043893649235","0.336423125940257","0.501664661358213"
"Selten","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","AkademikerIn","kein Migrationshintergrund","1482","0.387719778676549","0.372422401269315","0.403017156083784"
"Selten","2003","AkademikerIn","direkter Migrationshintergrund","113","0.329449214167317","0.281164743456074","0.377733684878559"
"Selten","2003","AkademikerIn","indirekter Migrationshintergrund","21","","",""
"Selten","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(noch) kein Abschluss","kein Migrationshintergrund","133","0.279936063037529","0.243429161004217","0.316442965070841"
"Nie","2003","(noch) kein Abschluss","direkter Migrationshintergrund","124","0.582873501215644","0.518587721263878","0.64715928116741"
"Nie","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","15","","",""
"Nie","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Hauptschule","kein Migrationshintergrund","4372","0.6528265145709","0.641489527218699","0.664163501923101"
"Nie","2003","Hauptschule","direkter Migrationshintergrund","721","0.523198293301593","0.496456055167341","0.549940531435845"
"Nie","2003","Hauptschule","indirekter Migrationshintergrund","104","0.403720641029113","0.343142884461907","0.464298397596319"
"Nie","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Realschule","kein Migrationshintergrund","2663","0.496448861519401","0.483028566245782","0.509869156793021"
"Nie","2003","Realschule","direkter Migrationshintergrund","92","0.452516093061792","0.384873676148769","0.520158509974814"
"Nie","2003","Realschule","indirekter Migrationshintergrund","49","0.224449959129723","0.16705618953598","0.281843728723465"
"Nie","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(Fach-)Abitur","kein Migrationshintergrund","640","0.360395846923994","0.338588452477294","0.382203241370695"
"Nie","2003","(Fach-)Abitur","direkter Migrationshintergrund","179","0.43793284724356","0.3895540271974","0.48631166728972"
"Nie","2003","(Fach-)Abitur","indirekter Migrationshintergrund","29","","",""
"Nie","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","AkademikerIn","kein Migrationshintergrund","1854","0.455323550695754","0.439688033774111","0.470959067617396"
"Nie","2003","AkademikerIn","direkter Migrationshintergrund","164","0.439629403123558","0.388640175379825","0.490618630867291"
"Nie","2003","AkademikerIn","indirekter Migrationshintergrund","19","","",""
"Nie","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
