,Unnamed: 0,year,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Very often,0.00558,125,21984,0.00476,0.0065
1,1,2003,Often,0.02823,634,21984,0.02607,0.03011
2,2,2003,Sometimes,0.13381,2962,21984,0.12961,0.13805
3,3,2003,Seldom,0.30785,7030,21984,0.30196,0.3143
4,4,2003,Never,0.52454,11233,21984,0.51693,0.53206
5,5,2008,Very often,0.00524,93,19177,0.00438,0.00614
6,6,2008,Often,0.02716,452,19177,0.02513,0.02945
7,7,2008,Sometimes,0.12429,2286,19177,0.11972,0.12923
8,8,2008,Seldom,0.31166,6037,19177,0.30507,0.31823
9,9,2008,Never,0.53165,10309,19177,0.52356,0.53998
10,10,2013,Very often,0.00266,97,25382,0.00205,0.00346
11,11,2013,Often,0.02673,720,25382,0.02481,0.02929
12,12,2013,Sometimes,0.12371,3211,25382,0.11868,0.12917
13,13,2013,Seldom,0.31372,7912,25382,0.30635,0.32222
14,14,2013,Never,0.53318,13442,25382,0.52442,0.54307
15,15,2018,Very often,0.00615,211,25538,0.00533,0.00718
16,16,2018,Often,0.0429,1066,25538,0.0399,0.04539
17,17,2018,Sometimes,0.17121,4336,25538,0.16548,0.1774
18,18,2018,Seldom,0.32414,8351,25538,0.31613,0.33133
19,19,2018,Never,0.45559,11574,25538,0.44695,0.46481
